,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-10 09:07:35,2022-05-06,IRNT,Closser Donald,Chief Product Officer,S - Sale,2.84,-6563,969618,-1%,-18639.0,,,,,IRNT
1,,2022-05-10 09:07:01,2022-05-06,IRNT,Gerber James C,CFO,S - Sale,2.84,-2398,1143395,0%,-6810.0,,,,,IRNT
2,,2022-05-10 09:06:16,2022-05-06,IRNT,Welch William E,"Co-CEO, Dir",S - Sale,2.84,-29254,8893409,0%,-83081.0,,,,,IRNT
3,,2022-04-12 20:32:37,2022-04-12,IRNT,Gerber James C,CFO,S - Sale,3.17,-30000,1145793,-3%,-95100.0,,,,,IRNT
4,,2022-04-06 18:14:02,2022-04-01,IRNT,Closser Donald,Chief Product Officer,S - Sale,3.74,-9328,976181,-1%,-34887.0,,,,,IRNT
5,,2022-04-06 18:13:21,2022-04-01,IRNT,Gerber James C,CFO,S - Sale,3.74,-1905,1175793,0%,-7125.0,,,,,IRNT
6,,2022-04-06 18:12:38,2022-04-01,IRNT,Welch William E,"Co-CEO, Dir",S - Sale,3.74,-42035,8922663,0%,-157211.0,,,,,IRNT
7,,2022-03-29 16:00:57,2022-03-25,IRNT,Closser Donald,Chief Product Officer,S - Sale,4.0,-4304,985509,0%,-17216.0,,,,,IRNT
8,,2022-03-29 16:00:19,2022-03-25,IRNT,Gerber James C,CFO,S - Sale,4.0,-1678,1177698,0%,-6712.0,,,,,IRNT
9,,2022-03-23 16:00:23,2022-03-21,IRNT,Closser Donald,Chief Product Officer,S - Sale,4.0,-45000,989813,-4%,-180000.0,,,,,IRNT
10,M,2022-03-17 18:38:56,2022-03-15,IRNT,Welch William E,"Co-CEO, Dir",S - Sale,3.69,-1599931,7364767,-18%,-5910764.0,,,,,IRNT
11,,2022-03-11 16:40:15,2022-03-10,IRNT,Gerber James C,CFO,S - Sale,4.81,-19391,1179376,-2%,-93271.0,,,,,IRNT
12,,2022-03-10 16:58:34,2022-03-08,IRNT,Closser Donald,Chief Product Officer,S - Sale,4.15,-128376,1034813,-11%,-532760.0,,,,,IRNT
13,,2022-01-14 21:33:38,2022-01-14,IRNT,Rogers Michael J,Dir,P - Purchase,3.5,13297,400548,+3%,46540.0,,,,,IRNT
14,,2022-01-04 08:57:29,2022-01-03,IRNT,Keane John M,Dir,P - Purchase,4.24,25000,412251,+6%,106000.0,,,,,IRNT
15,,2021-11-23 16:29:39,2021-11-22,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,10.12,-24100,11053024,0%,-243892.0,,,,,IRNT
16,,2021-11-17 16:52:32,2021-11-15,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,10.34,-90000,11077124,-1%,-930600.0,,,,,IRNT
17,,2021-11-10 17:46:15,2021-11-08,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,11.03,-90000,11167124,-1%,-992700.0,,,,,IRNT
18,,2021-11-03 17:11:19,2021-11-01,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,12.01,-90000,11257124,-1%,-1081322.0,,,,,IRNT
19,,2021-10-27 17:34:01,2021-10-25,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,10.13,-90000,11347124,-1%,-911700.0,,,,,IRNT
20,,2021-10-20 16:23:56,2021-10-18,IRNT,Alexander Keith Brian,"Co-CEO, Pres, COB, 10%",S - Sale,10.25,-93525,11437124,-1%,-958631.0,,,,,IRNT
