,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-17 20:09:28,2022-08-17,JXN,Jackson Financial Inc.,Noles Russell G,Dir,P - Purchase,33.43,150,18608,+1%,5015.0,,,,,JXN+WI
1,,2022-08-05 16:05:54,2022-08-03,JXN,Jackson Financial Inc.,Prudential Plc,10%,S - Sale,27.0,-4500000,7635443,-37%,-121500000.0,,,,,JXN+WI
2,,2022-06-21 16:17:02,2022-06-16,JXN,Jackson Financial Inc.,Nerud Mark D,"Pres, CEO of JNAM",A - Grant,0.0,483,78244,+1%,0.0,,,,,JXN+WI
3,,2022-06-21 16:17:02,2022-05-05,JXN,Jackson Financial Inc.,Nerud Mark D,"Pres, CEO of JNAM",G - Gift,0.0,-12435,78244,-14%,-0.0,,,,,JXN+WI
4,D,2022-06-21 07:21:13,2022-06-16,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",A - Grant,0.0,5144,388635,+1%,0.0,,,,,JXN+WI
5,D,2022-06-21 07:20:37,2022-06-16,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",A - Grant,0.0,1246,87774,+1%,0.0,,,,,JXN+WI
6,D,2022-06-21 07:20:02,2022-06-16,JXN,Jackson Financial Inc.,Prieskorn Laura Louene,"CEO, Pres, Dir",A - Grant,0.0,4689,266203,+2%,0.0,,,,,JXN+WI
7,D,2022-06-21 07:19:15,2022-06-16,JXN,Jackson Financial Inc.,Wadsten Marcia Lynn,"EVP, CFO",A - Grant,0.0,2806,157019,+2%,0.0,,,,,JXN+WI
8,D,2022-06-21 07:16:12,2022-06-16,JXN,Jackson Financial Inc.,Harris Bradley Olan,"EVP, Chief Risk Officer",A - Grant,0.0,1419,90162,+2%,0.0,,,,,JXN+WI
9,D,2022-06-21 07:15:15,2022-06-16,JXN,Jackson Financial Inc.,Cummings Don W,"SVP, Controller, CAO",A - Grant,0.0,566,29115,+2%,0.0,,,,,JXN+WI
