,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2012-09-28 17:59:21,2012-09-25,KCP,Cole Kenneth D,"COB, Chief Creative Direc., 10%",D - Sale to issuer,0.0,-353653,0,-100%,-0.0,,,,,KCP
1,D,2012-09-28 12:43:42,2012-09-25,KDCOL,Blitzer Michael J,Dir,D - Sale to issuer,15.25,-15375,0,-100%,-234469.0,,,,,KCP
2,D,2012-09-28 12:25:34,2012-09-25,KCP,Kelly Denis F,Dir,D - Sale to issuer,15.25,-42091,0,-100%,-641888.0,,,,,KCP
3,D,2012-09-28 11:55:34,2012-09-25,KCP,Grayson Robert,Dir,D - Sale to issuer,15.25,-30375,0,-100%,-463219.0,,,,,KCP
4,D,2012-09-28 11:09:00,2012-09-25,KCP,Peller Philip,Dir,D - Sale to issuer,15.25,-16392,0,-100%,-249978.0,,,,,KCP
5,D,2012-09-27 17:47:11,2012-09-25,KCP,Edelman David,CFO,D - Sale to issuer,15.25,-19496,0,-100%,-297314.0,,,,,KCP
6,D,2012-09-27 17:11:52,2012-09-25,KCP,Blum Paul,CEO,D - Sale to issuer,15.25,-25630,0,-100%,-390858.0,,,,,KCP
7,D,2012-09-27 16:51:15,2012-09-25,KCP,Colosi Michael F,SVP,D - Sale to issuer,15.25,-2117,0,-100%,-32284.0,,,,,KCP
8,D,2012-09-27 14:29:44,2012-09-25,KCP,Devirgilio Michael,"Pres, Int'l, Licensing",D - Sale to issuer,15.25,0,0,-32768%,-0.0,,,,,KCP
9,D,2012-09-27 13:29:54,2012-09-25,KCP,Charles Peter J,Chief Supply Chain Officer,D - Sale to issuer,15.25,-3125,0,-100%,-47656.0,,,,,KCP
10,D,2012-09-27 11:34:47,2012-09-25,KCP,Nakatani Christopher I,"Pres, Wholesale",D - Sale to issuer,15.25,-4964,0,-100%,-75701.0,,,,,KCP
11,D,2012-09-26 16:38:17,2012-09-25,KCP,Massoni Carol,"Pres,Consumer Direct",D - Sale to issuer,15.25,-728,0,-100%,-11102.0,,,,,KCP
12,,2012-08-02 13:06:24,2012-07-28,KCP,Blum Paul,CEO,F - Tax,15.1,-9370,134353,-7%,-141487.0,,,,,KCP
13,DM,2012-06-26 13:01:11,2012-06-22,KCP,Wilts Ingo,"SVP, Creative Dir",M - OptEx,11.2,52500,0,-100%,588250.0,,,,,KCP
14,DM,2012-06-26 13:01:11,2012-06-22,KCP,Wilts Ingo,"SVP, Creative Dir",S - Sale+OE,15.06,-52500,0,-100%,-790792.0,,,,,KCP
15,,2012-05-29 16:05:20,2012-05-28,KCP,Nakatani Christopher I,Pres Wholesale,F - Tax,15.0,-2992,20701,-13%,-44880.0,,,,,KCP
16,,2012-05-29 15:18:17,2012-05-28,KCP,Cole Kenneth D,COB,F - Tax,15.0,-9680,353656,-3%,-145200.0,,,,,KCP
17,,2012-02-28 11:28:48,2012-02-23,KCP,Massoni Carol,"Pres, Consumer Direct",F - Tax,12.97,-522,65961,-1%,-6770.0,1.0,1.0,,,KCP
18,,2012-02-28 11:19:46,2012-02-23,KCP,Edelman David,CFO,F - Tax,12.97,-1328,19496,-6%,-17224.0,1.0,1.0,,,KCP
19,,2012-02-28 11:07:26,2012-02-23,KCP,Colosi Michael F,SVP,F - Tax,12.97,-1514,17854,-8%,-19637.0,1.0,1.0,,,KCP
20,,2012-02-08 14:28:23,2012-02-06,KCP,Colosi Michael F,SVP,S - Sale,13.0,-2987,19368,-13%,-38831.0,0.0,-1.0,23.0,,KCP
