,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-04-28 21:30:16,2021-04-26,KNL,Global Furniture Holdings S.A R.L,10%,S - Sale,23.83,-1186679,0,-100%,-28274090.0,,,,,KNL
1,M,2021-04-21 18:15:10,2021-04-19,KNL,Global Furniture Holdings S.A R.L,10%,S - Sale,23.27,-1217955,1186679,-51%,-28336360.0,,,,,KNL
2,,2020-09-02 16:47:01,2020-09-01,KNL,Nash Sarah E,Dir,S - Sale,13.1,-7000,33411,-17%,-91689.0,,,,,KNL
3,,2019-11-14 17:06:52,2019-11-12,KNL,Pollner Michael A,"SVP,CAO, GC, Sec.",S - Sale,27.31,-2500,44579,-5%,-68276.0,,,,,KNL
4,,2019-11-14 17:00:12,2019-11-12,KNL,Nash Sarah E,Dir,S - Sale,27.32,-4581,31407,-13%,-125138.0,,,,,KNL
5,,2019-11-08 16:46:08,2019-11-08,KNL,Cogan Andrew B,"COB, CEO",S - Sale,27.5,-8317,417595,-2%,-228727.0,,,,,KNL
6,,2019-11-07 16:33:50,2019-11-05,KNL,Cogan Andrew B,"COB, CEO",S - Sale,27.74,-8100,425912,-2%,-224671.0,,,,,KNL
7,,2019-11-06 16:29:32,2019-11-04,KNL,Fisher Stephen F,Dir,S - Sale,27.17,-5000,49409,-9%,-135844.0,,,,,KNL
8,,2019-11-05 16:32:09,2019-11-01,KNL,Schutte David L,"EVP - Lifestyle, 10%",S - Sale,26.91,-5000,38424,-12%,-134552.0,,,,,KNL
9,M,2019-10-30 16:17:52,2019-10-28,KNL,Schutte David L,"EVP - Lifestyle, 10%",S - Sale,26.5,-10000,43424,-19%,-265032.0,,,,,KNL
10,,2019-10-29 20:55:02,2019-10-25,KNL,Cogan Andrew B,"COB, CEO",S - Sale,26.26,-79126,434012,-15%,-2077509.0,,,,,KNL
11,,2019-10-29 20:53:22,2019-10-25,KNL,Pollner Michael A,"SVP,CAO, GC, Sec.",S - Sale,26.29,-5514,47079,-10%,-144975.0,,,,,KNL
12,,2019-08-09 16:31:21,2019-08-08,KNL,Cogan Andrew B,"COB, CEO",S - Sale,23.28,-10000,518713,-2%,-232759.0,,,,,KNL
13,M,2019-07-31 17:05:35,2019-07-29,KNL,Schutte David L,"EVP - Lifestyle, 10%",S - Sale,24.78,-10000,53424,-16%,-247759.0,,,,,KNL
14,,2019-07-31 17:04:55,2019-07-29,KNL,Cogan Andrew B,"COB, CEO",S - Sale,25.0,-4305,528713,-1%,-107626.0,,,,,KNL
15,,2019-05-23 17:03:06,2019-05-21,KNL,Cogan Andrew B,"COB, CEO",S - Sale,21.06,-2774,533018,-1%,-58420.0,,,,,KNL
16,,2019-05-20 17:01:09,2019-05-16,KNL,Cogan Andrew B,"COB, CEO",S - Sale,21.15,-10226,535792,-2%,-216229.0,,,,,KNL
17,,2019-05-07 16:46:43,2019-05-06,KNL,Schutte David L,"EVP - Lifestyle, 10%",S - Sale,21.61,-3500,63424,-5%,-75625.0,,,,,KNL
18,,2018-11-05 17:09:28,2018-11-02,KNL,Maypole John F,Dir,P - Purchase,20.01,1500,41444,+4%,30017.0,,,,,KNL
19,,2018-11-05 17:04:27,2018-11-01,KNL,Pardo Benjamin A,E.VP-Dir of Design,S - Sale,20.0,-1000,27622,-3%,-20000.0,,,,,KNL
20,M,2018-09-04 18:02:22,2018-08-31,KNL,Bradley Kathleen G,Dir,S - Sale,23.43,-20000,108042,-16%,-468640.0,,,,,KNL
21,M,2018-08-27 16:24:12,2018-08-23,KNL,Schutte David L,"EVP, Specialty Businesses",S - Sale,23.11,-5000,53735,-9%,-115548.0,,,,,KNL
22,,2018-08-22 16:25:12,2018-08-20,KNL,Klein Roxanne B,SVP-HR,S - Sale,22.9,-1835,16592,-10%,-42021.0,,,,,KNL
23,M,2018-08-10 17:15:41,2018-08-08,KNL,Cogan Andrew B,"COB, Pres, CEO",S - Sale,23.0,-18000,507831,-3%,-414000.0,,,,,KNL
