,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-08 16:22:14,2022-03-08,KW,Fairfax Financial Holdings Ltd/ Can,10%,P - Purchase,0.0,300000,13622009,+2%,0.0,,,,,KW
1,,2022-01-24 19:09:13,2022-01-20,KW,Windisch Matthew,EVP,A - Grant,0.0,162919,1007999,+19%,0.0,,,,,KW
2,M,2022-01-24 19:09:13,2022-01-21,KW,Windisch Matthew,EVP,F - Tax,22.12,-30613,1007999,-3%,-677049.0,,,,,KW
3,,2022-01-24 19:08:56,2022-01-20,KW,Boehly Todd L,Dir,A - Grant,0.0,7500,32500,+30%,0.0,,,,,KW
4,,2022-01-24 19:08:35,2022-01-20,KW,Mouton Kent Y,GC,A - Grant,0.0,78469,619985,+14%,0.0,,,,,KW
5,M,2022-01-24 19:08:35,2022-01-21,KW,Mouton Kent Y,GC,F - Tax,22.1,-21468,619985,-3%,-474366.0,,,,,KW
6,,2022-01-24 19:08:16,2022-01-20,KW,Minella David A.,Dir,A - Grant,0.0,7500,2416032,0%,0.0,,,,,KW
7,,2022-01-24 19:07:59,2022-01-20,KW,Bowen Trevor,Dir,A - Grant,0.0,7500,64409,+13%,0.0,,,,,KW
8,,2022-01-24 19:07:42,2022-01-20,KW,Zaimi Sanaz,Dir,A - Grant,0.0,7500,53000,+16%,0.0,,,,,KW
9,,2022-01-24 19:07:18,2022-01-20,KW,Lee In Ku,"SVP, Deputy GC",A - Grant,0.0,19318,135050,+17%,0.0,,,,,KW
10,,2022-01-24 19:06:57,2022-01-20,KW,Ricks Mary,Pres,A - Grant,0.0,240361,2204483,+12%,0.0,,,,,KW
11,M,2022-01-24 19:06:57,2022-01-21,KW,Ricks Mary,Pres,F - Tax,22.11,-54420,2204483,-2%,-1202984.0,,,,,KW
12,,2022-01-24 19:06:33,2022-01-20,KW,Zax Stanley R,Dir,A - Grant,0.0,7500,423800,+2%,0.0,,,,,KW
13,,2022-01-24 19:06:13,2022-01-20,KW,McMorrow William J,"COB, CEO",A - Grant,0.0,313516,12606691,+3%,0.0,,,,,KW
14,M,2022-01-24 19:06:13,2022-01-21,KW,McMorrow William J,"COB, CEO",F - Tax,22.11,-67236,12606691,-1%,-1486487.0,,,,,KW
15,,2022-01-24 19:05:52,2022-01-20,KW,Hendrickson Cathy,Dir,A - Grant,0.0,7500,93194,+9%,0.0,,,,,KW
16,,2022-01-24 19:05:33,2022-01-20,KW,Boucher Richard Aidan Hugh,Dir,A - Grant,0.0,7500,47600,+19%,0.0,,,,,KW
17,,2022-01-24 19:05:15,2022-01-20,KW,Creighton Norman,Dir,A - Grant,0.0,7500,357074,+2%,0.0,,,,,KW
18,,2022-01-24 19:04:57,2022-01-20,KW,Enbody Justin,CFO,A - Grant,0.0,97352,552327,+21%,0.0,,,,,KW
19,M,2022-01-24 19:04:57,2022-01-21,KW,Enbody Justin,CFO,F - Tax,22.11,-22130,552327,-4%,-489191.0,,,,,KW
20,,2022-01-18 18:10:23,2022-01-16,KW,Ricks Mary,Pres,F - Tax,23.94,-11007,2018542,-1%,-263508.0,,,,,KW
21,,2022-01-18 18:10:05,2022-01-16,KW,Windisch Matthew,EVP,F - Tax,23.94,-4677,875693,-1%,-111967.0,,,,,KW
22,,2022-01-18 18:09:48,2022-01-16,KW,Enbody Justin,CFO,F - Tax,23.94,-3742,477105,-1%,-89583.0,,,,,KW
23,,2022-01-18 18:09:29,2022-01-16,KW,McMorrow William J,CEO,F - Tax,23.94,-14817,12360411,0%,-354719.0,,,,,KW
24,,2022-01-18 18:09:05,2022-01-16,KW,Mouton Kent Y,GC,F - Tax,23.94,-3912,562984,-1%,-93653.0,,,,,KW
25,,2021-11-17 16:54:27,2021-11-17,KW,Zax Stanley R,Dir,P - Purchase,23.18,17500,416300,+4%,405650.0,,,,,KW
26,,2021-08-10 20:07:15,2021-08-10,KW,McMorrow William J,CEO,P - Purchase,21.1,100000,12625228,+1%,2110000.0,,,,,KW
27,,2021-04-26 18:08:33,2021-04-26,KW,Enbody Justin,CFO,F - Tax,20.74,-6464,480847,-1%,-134063.0,,,,,KW
28,,2021-04-26 18:08:10,2021-04-26,KW,McMorrow William J,CEO,F - Tax,20.74,-19098,12525228,0%,-396093.0,,,,,KW
29,,2021-04-26 18:07:49,2021-04-26,KW,Mouton Kent Y,GC,F - Tax,20.74,-6758,566896,-1%,-140161.0,,,,,KW
30,,2021-04-26 18:07:31,2021-04-26,KW,Ricks Mary,Pres,F - Tax,20.74,-15827,2029549,-1%,-328252.0,,,,,KW
31,,2021-04-26 18:07:12,2021-04-26,KW,Windisch Matthew,EVP,F - Tax,20.74,-8080,884665,-1%,-167579.0,,,,,KW
32,,2021-04-13 19:05:19,2021-04-13,KW,Enbody Justin,CFO,A - Grant,0.0,29579,487311,+6%,0.0,,,,,KW
33,M,2021-04-13 19:05:19,2021-04-12,KW,Enbody Justin,CFO,S - Sale,20.62,-56586,487311,-10%,-1166926.0,,,,,KW
34,,2021-04-13 19:04:58,2021-04-13,KW,McMorrow William J,CEO,A - Grant,0.0,87398,12544326,+1%,0.0,,,,,KW
35,,2021-04-13 19:04:36,2021-04-13,KW,Mouton Kent Y,GC,A - Grant,0.0,30925,573654,+6%,0.0,,,,,KW
36,,2021-04-13 19:04:18,2021-04-13,KW,Ricks Mary,Pres,A - Grant,0.0,72780,2045376,+4%,0.0,,,,,KW
37,,2021-04-13 19:03:59,2021-04-13,KW,Windisch Matthew,EVP,A - Grant,0.0,36976,892745,+4%,0.0,,,,,KW
38,,2021-04-06 18:31:11,2021-04-05,KW,Mouton Kent Y,GC,S - Sale,20.45,-37000,542729,-6%,-756650.0,,,,,KW
39,,2021-03-09 16:42:46,2021-03-09,KW,Zax Stanley R,Dir,P - Purchase,20.14,50000,398800,+14%,1007000.0,,,,,KW
40,,2021-03-03 18:15:58,2021-03-03,KW,McMorrow William J,CEO,P - Purchase,19.41,50000,12456928,0%,970500.0,,,,,KW
41,,2021-01-25 16:36:28,2021-01-21,KW,Creighton Norman,Dir,A - Grant,0.0,10000,349574,+3%,0.0,,,,,KW
42,,2021-01-25 16:36:10,2021-01-21,KW,Enbody Justin,CFO,A - Grant,0.0,102573,514318,+25%,0.0,,,,,KW
43,,2021-01-25 16:36:10,2021-01-24,KW,Enbody Justin,CFO,F - Tax,17.73,-15858,514318,-3%,-281162.0,,,,,KW
44,,2021-01-25 16:35:53,2021-01-21,KW,Minella David A.,Dir,A - Grant,0.0,10000,2408532,0%,0.0,,,,,KW
45,,2021-01-25 16:35:36,2021-01-21,KW,Zax Stanley R,Dir,A - Grant,0.0,10000,348800,+3%,0.0,,,,,KW
46,,2021-01-25 16:35:21,2021-01-21,KW,Boehly Todd L,Dir,A - Grant,0.0,10000,25000,+67%,0.0,,,,,KW
47,,2021-01-25 16:35:06,2021-01-21,KW,Ricks Mary,Pres,A - Grant,0.0,238811,1972596,+14%,0.0,,,,,KW
48,,2021-01-25 16:35:06,2021-01-24,KW,Ricks Mary,Pres,F - Tax,17.73,-38925,1972596,-2%,-690140.0,,,,,KW
49,,2021-01-25 16:34:48,2021-01-21,KW,Windisch Matthew,EVP,A - Grant,0.0,163062,855769,+24%,0.0,,,,,KW
50,,2021-01-25 16:34:48,2021-01-24,KW,Windisch Matthew,EVP,F - Tax,17.73,-19823,855769,-2%,-351462.0,,,,,KW
51,,2021-01-25 16:34:30,2021-01-21,KW,Zaimi Sanaz,Dir,A - Grant,0.0,10000,45500,+28%,0.0,,,,,KW
52,,2021-01-25 16:32:10,2021-01-21,KW,Lee In Ku,"SVP, Deputy GC",A - Grant,0.0,8230,115732,+8%,0.0,,,,,KW
53,,2021-01-25 16:31:53,2021-01-21,KW,Mouton Kent Y,GC,A - Grant,0.0,85987,579729,+17%,0.0,,,,,KW
54,,2021-01-25 16:31:53,2021-01-24,KW,Mouton Kent Y,GC,F - Tax,17.73,-16580,579729,-3%,-293963.0,,,,,KW
55,,2021-01-25 16:31:37,2021-01-21,KW,Boucher Richard Aidan Hugh,Dir,A - Grant,0.0,10000,40100,+33%,0.0,,,,,KW
56,,2021-01-25 16:31:20,2021-01-21,KW,McMorrow William J,CEO,A - Grant,0.0,327995,12406928,+3%,0.0,,,,,KW
57,,2021-01-25 16:31:20,2021-01-24,KW,McMorrow William J,CEO,F - Tax,17.73,-46855,12406928,0%,-830739.0,,,,,KW
58,,2021-01-25 16:31:02,2021-01-21,KW,Hendrickson Cathy,Dir,A - Grant,0.0,10000,85694,+13%,0.0,,,,,KW
59,,2021-01-25 16:30:46,2021-01-21,KW,Taylor John,Dir,A - Grant,0.0,10000,45500,+28%,0.0,,,,,KW
60,,2021-01-25 16:30:29,2021-01-21,KW,Bowen Trevor,Dir,A - Grant,0.0,10000,56909,+21%,0.0,,,,,KW
61,,2021-01-19 16:39:46,2021-01-16,KW,Windisch Matthew,EVP,F - Tax,17.91,-5015,712530,-1%,-89819.0,,,,,KW
62,,2021-01-19 16:39:29,2021-01-16,KW,Mouton Kent Y,GC,F - Tax,17.91,-4236,510322,-1%,-75867.0,,,,,KW
63,,2021-01-19 16:39:09,2021-01-16,KW,McMorrow William J,CEO,F - Tax,17.91,-11207,12125788,0%,-200717.0,,,,,KW
64,,2021-01-19 16:38:53,2021-01-16,KW,Enbody Justin,CFO,F - Tax,17.91,-4104,427603,-1%,-73503.0,,,,,KW
65,,2021-01-19 16:38:37,2021-01-16,KW,Ricks Mary,Pres,F - Tax,17.91,-9392,1772710,-1%,-168211.0,,,,,KW
