,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-01 16:59:16,2022-02-25,KWR,Slinkman David,SVP - CTO,F - Tax,189.45,-204,3822,-5%,-38648.0,,,,,KWR
1,,2022-03-01 16:57:18,2022-02-25,KWR,Hostetter Shane,"SVP, CFO",F - Tax,189.45,-115,2466,-4%,-21787.0,,,,,KWR
2,,2022-03-01 16:54:28,2022-02-25,KWR,Berquist Joseph A,"EVP, CSO, MD-GL SPEC BUS",F - Tax,189.45,-166,13775,-1%,-31449.0,,,,,KWR
3,,2022-03-01 16:52:56,2022-02-25,KWR,Barry Michael F,Dir,F - Tax,189.45,-1785,105799,-2%,-338168.0,,,,,KWR
4,,2022-01-03 16:27:11,2021-12-21,KWR,Frisby Jeffry D,Dir,G - Gift,0.0,-167,7479,-2%,-0.0,,,,,KWR
5,M,2022-01-03 16:23:03,2021-06-22,KWR,Rock Robert H,Dir,G - Gift,0.0,-520,12255,-4%,-0.0,,,,,KWR
6,,2022-01-03 16:18:26,2022-01-01,KWR,Barry Michael F,Dir,A - Grant,0.0,198,107520,0%,0.0,,,,,KWR
7,M,2022-01-03 16:18:26,2021-12-29,KWR,Barry Michael F,Dir,S - Sale,231.21,-15000,107520,-12%,-3468155.0,,,,,KWR
8,,2021-11-18 16:24:14,2021-11-16,KWR,Shannon Michael J,Dir,S - Sale,268.53,-620,1366,-31%,-166489.0,,,,,KWR
9,,2021-11-12 16:24:22,2021-11-11,KWR,Platzer L Wilbert,"SVP, Global Ops, EHS, Prcmt",S - Sale,269.27,-673,2118,-24%,-181219.0,,,,,KWR
10,,2021-11-12 16:18:48,2021-11-09,KWR,Laininger Dieter,"SVP, MD - APAC",S - Sale,270.23,-2808,2689,-51%,-758806.0,,,,,KWR
11,,2021-10-15 16:33:45,2021-10-13,KWR,Tometich Andrew E.,"CEO, Pres-Elect",A - Grant,0.0,3775,3775,New,0.0,,,,,KWR
12,,2021-10-15 16:18:03,2021-10-13,KWR,Bijlani Jeewat,"SVP - MD, Ams.",A - Grant,0.0,431,5735,+8%,0.0,,,,,KWR
13,,2021-10-15 16:15:05,2021-10-13,KWR,Berquist Joseph A,"SVP, GL SPEC BUS, CSO",A - Grant,0.0,992,13940,+8%,0.0,,,,,KWR
14,,2021-10-14 16:16:30,2021-10-13,KWR,Steeples Adrian,"SVP, MD - EMEA",A - Grant,0.0,194,7036,+3%,0.0,,,,,KWR
15,,2021-10-14 16:13:08,2021-10-13,KWR,Laininger Dieter,"SVP, MD - APAC",A - Grant,0.0,194,5497,+4%,0.0,,,,,KWR
16,,2021-08-20 16:12:37,2021-08-18,KWR,Will David,"VP, Global Controller & PAO",S - Sale,243.85,-119,1128,-10%,-29018.0,,,,,KWR
17,D,2021-08-12 16:28:24,2021-08-10,KWR,Platzer L Wilbert,"SVP, Global Ops, EHS, Prcmt",M - OptEx,147.01,2378,2791,+576%,349584.0,,,,,KWR
18,D,2021-08-12 16:28:24,2021-08-10,KWR,Platzer L Wilbert,"SVP, Global Ops, EHS, Prcmt",S - Sale+OE,257.88,-3078,2791,-52%,-793757.0,,,,,KWR
19,D,2021-08-12 16:26:26,2021-08-10,KWR,Laininger Dieter,"SVP, MD - APAC",M - OptEx,147.01,2378,5303,+81%,349584.0,,,,,KWR
20,D,2021-08-12 16:26:26,2021-08-10,KWR,Laininger Dieter,"SVP, MD - APAC",S - Sale+OE,255.05,-2811,5303,-35%,-716946.0,,,,,KWR
21,D,2021-08-12 16:23:21,2021-08-10,KWR,Berquist Joseph A,"SVP, GL SPEC BUS, CSO",M - OptEx,149.25,3437,12948,+36%,512957.0,,,,,KWR
22,D,2021-08-12 16:23:21,2021-08-10,KWR,Berquist Joseph A,"SVP, GL SPEC BUS, CSO",S - Sale+OE,256.0,-3437,12948,-21%,-879872.0,,,,,KWR
23,,2021-08-03 16:22:01,2021-08-01,KWR,Will David,"VP, Global Controller & PAO",F - Tax,251.74,-15,1247,-1%,-3776.0,,,,,KWR
24,,2021-08-03 16:20:26,2021-08-01,KWR,Hostetter Shane,"SVP, CFO",F - Tax,251.74,-69,2595,-3%,-17370.0,,,,,KWR
25,,2021-06-03 17:08:55,2021-06-01,KWR,West Fay,Dir,A - Grant,0.0,446,4465,+11%,0.0,,,,,KWR
26,,2021-06-03 17:06:53,2021-06-01,KWR,Shannon Michael J,Dir,A - Grant,0.0,446,1986,+29%,0.0,,,,,KWR
27,,2021-06-03 17:04:51,2021-06-01,KWR,Seshasayee Ramaswami,Dir,A - Grant,0.0,446,1893,+31%,0.0,,,,,KWR
28,,2021-06-03 17:03:25,2021-06-01,KWR,Rock Robert H,Dir,A - Grant,0.0,446,12772,+4%,0.0,,,,,KWR
29,,2021-06-03 17:03:25,2021-02-09,KWR,Rock Robert H,Dir,G - Gift,0.0,-174,12772,-1%,-0.0,,,,,KWR
30,,2021-06-03 17:02:14,2021-06-01,KWR,Osborne William H,Dir,A - Grant,0.0,446,4867,+10%,0.0,,,,,KWR
31,,2021-06-03 16:59:47,2021-06-01,KWR,Hinduja Sanjay,Dir,A - Grant,0.0,446,1887,+31%,0.0,,,,,KWR
32,,2021-06-03 16:58:22,2021-06-01,KWR,Frisby Jeffry D,Dir,A - Grant,0.0,446,7646,+6%,0.0,,,,,KWR
33,M,2021-06-03 16:58:22,2021-04-07,KWR,Frisby Jeffry D,Dir,G - Gift,0.0,-450,7646,-6%,-0.0,,,,,KWR
34,,2021-06-03 16:56:51,2021-06-01,KWR,Douglas Mark,Dir,A - Grant,0.0,446,2206,+25%,0.0,,,,,KWR
35,,2021-06-03 16:56:51,2021-05-26,KWR,Douglas Mark,Dir,G - Gift,0.0,-248,2206,-10%,-0.0,,,,,KWR
