,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-09 18:40:56,2022-03-07,LC,Armstrong Annie,Chief Risk Officer,S - Sale,15.47,-3317,78376,-4%,-51314.0,,,,,LC
1,D,2022-03-01 19:52:01,2022-02-25,LC,Kay Valerie,Bank-Chief Capital Officer,M - OptEx,0.0,23511,116555,+25%,0.0,,,,,LC
2,D,2022-03-01 19:52:01,2022-02-28,LC,Kay Valerie,Bank-Chief Capital Officer,S - Sale+OE,18.59,-12688,116555,-10%,-235837.0,,,,,LC
3,D,2022-03-01 19:50:10,2022-02-25,LC,Casey Thomas W,CFO,F - Tax,18.06,-19327,41316,-32%,-349046.0,,,,,LC
4,D,2022-03-01 19:50:10,2022-02-25,LC,Casey Thomas W,CFO,M - OptEx,0.0,44971,41316,-1230%,0.0,,,,,LC
5,D,2022-03-01 19:47:56,2022-02-25,LC,Sanborn Scott,CEO,D - Sale to issuer,18.06,-13496,880341,-2%,-243738.0,,,,,LC
6,D,2022-03-01 19:47:56,2022-02-25,LC,Sanborn Scott,CEO,F - Tax,18.06,-16360,880341,-2%,-295462.0,,,,,LC
7,D,2022-03-01 19:47:56,2022-02-25,LC,Sanborn Scott,CEO,M - OptEx,0.0,44567,880341,+5%,0.0,,,,,LC
8,D,2022-03-01 19:46:02,2022-02-25,LC,Momen Ronnie,Bank-Chief of Consumer Banking,M - OptEx,0.0,33857,120158,+39%,0.0,,,,,LC
9,D,2022-03-01 19:46:02,2022-02-28,LC,Momen Ronnie,Bank-Chief of Consumer Banking,S - Sale+OE,18.58,-17327,120158,-13%,-322017.0,,,,,LC
10,D,2022-03-01 19:43:58,2022-02-25,LC,Stack Fergal,"SVP, Corporate Controller",M - OptEx,0.0,15484,117852,+15%,0.0,,,,,LC
11,D,2022-03-01 19:43:58,2022-02-28,LC,Stack Fergal,"SVP, Corporate Controller",S - Sale+OE,18.58,-6127,117852,-5%,-113862.0,,,,,LC
