,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-07-18 16:00:24,2022-07-14,LFG,Bellah Chad,Chief Accounting Officer,A - Grant,0.0,590,17942,+3%,0.0,,,,,LFG
1,,2022-05-04 21:31:26,2022-05-02,LFG,Parkes Scott,Dir,A - Grant,0.0,6838,6838,New,0.0,,,,,LFG
2,,2022-04-05 21:03:12,2022-04-01,LFG,Bellah Chad,Chief Accounting Officer,A - Grant,0.0,17352,17352,New,0.0,,,,,LFG
3,,2022-04-05 21:02:22,2022-04-01,LFG,Taibi Edward P.,"GC, EVP Strat Init, Gov Aff",A - Grant,0.0,79326,79326,New,0.0,,,,,LFG
4,,2022-04-05 21:01:49,2022-04-01,LFG,Walton Richard,Pres,A - Grant,0.0,74368,124368,+149%,0.0,,,,,LFG
5,,2022-04-05 21:01:16,2022-04-01,LFG,Stork Nicholas,CEO,A - Grant,0.0,123946,173946,+248%,0.0,,,,,LFG
6,,2022-04-05 21:00:33,2022-04-01,LFG,McCarthy Brian F,"Interim CFO, Chief Inv. Ofcr.",A - Grant,0.0,81804,93804,+682%,0.0,,,,,LFG
7,D,2022-03-28 21:49:59,2022-03-25,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",C - Converted deriv,0.0,14942643,0,-100%,0.0,,,,,LFG
8,D,2022-03-28 21:49:59,2022-03-25,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",S - Sale+OE,17.04,-14942643,0,-100%,-254622637.0,,,,,LFG
9,D,2022-03-28 21:49:20,2022-03-25,LFG,Ares Management LLC,"Dir, 10%",C - Converted deriv,0.0,14942643,1877,-100%,0.0,,,,,LFG
10,D,2022-03-28 21:49:20,2022-03-25,LFG,Ares Management LLC,"Dir, 10%",S - Sale+OE,17.04,-14942643,1877,-100%,-254622637.0,,,,,LFG
11,M,2022-01-03 17:02:58,2021-12-29,LFG,Parkes Scott,Dir,A - Grant,0.0,8715,6838,-464%,0.0,,,,,LFG
12,M,2022-01-03 17:02:12,2021-12-29,LFG,Ares Management LLC,"Dir, 10%",A - Grant,0.0,8715,14951358,0%,0.0,,,,,LFG
13,M,2022-01-03 16:19:06,2021-12-29,LFG,Torgerson James P,Dir,A - Grant,0.0,8715,8715,New,0.0,,,,,LFG
14,M,2022-01-03 16:18:19,2021-12-29,LFG,Rice Daniel J. IV,"Dir, 10%",A - Grant,0.0,8715,11215,+349%,0.0,,,,,LFG
15,M,2022-01-03 16:17:40,2021-12-29,LFG,Malchow Joseph Ian,Dir,A - Grant,0.0,8715,8715,New,0.0,,,,,LFG
16,M,2022-01-03 16:17:11,2021-12-29,LFG,Jackson Kathryn Jean,Dir,A - Grant,0.0,8715,8715,New,0.0,,,,,LFG
17,M,2022-01-03 16:16:22,2021-12-29,LFG,Derham Kyle,Dir,A - Grant,0.0,8715,41215,+27%,0.0,,,,,LFG
18,,2022-01-03 16:15:37,2021-12-29,LFG,Ellis Lindsay,"GC, Secretary",A - Grant,0.0,33333,33333,New,0.0,,,,,LFG
19,,2022-01-03 16:15:33,2021-12-29,LFG,Bellah Chad,Chief Accounting Officer,A - Grant,0.0,33333,33333,New,0.0,,,,,LFG
20,,2022-01-03 16:15:24,2021-12-29,LFG,Javidi Eric M,CFO,A - Grant,0.0,202750,147660,-368%,0.0,,,,,LFG
21,,2022-01-03 16:15:24,2021-12-29,LFG,Javidi Eric M,CFO,F - Tax,17.23,-55090,147660,-27%,-949201.0,,,,,LFG
22,D,2021-12-15 17:14:40,2021-12-13,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",C - Converted deriv,0.0,4230696,14942643,-22%,0.0,,,,,LFG
23,D,2021-12-15 17:14:40,2021-12-13,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",D - Sale to issuer,17.65,-4230696,14942643,-22%,-74671784.0,,,,,LFG
24,D,2021-12-15 17:13:15,2021-12-13,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",C - Converted deriv,0.0,4230696,14942643,-22%,0.0,,,,,LFG
25,D,2021-12-15 17:13:15,2021-12-13,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",D - Sale to issuer,17.65,-4230696,14942643,-22%,-74671784.0,,,,,LFG
26,D,2021-12-13 16:47:41,2021-12-13,LFG,Aria Renewable Energy Systems LLC,"Dir, 10%",C - Converted deriv,0.0,656300,19173339,-3%,0.0,,,,,LFG
