,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-04 12:04:24,2022-03-03,LMT,Hill Stephanie C.,EVP,S - Sale,449.8,-1418,15862,-8%,-637819.0,,,,,LMT
1,,2022-03-03 19:43:18,2022-03-01,LMT,Mollard John W,"VP, Treasurer",S - Sale,451.4,-5000,3245,-61%,-2256988.0,,,,,LMT
2,D,2022-03-03 19:43:17,2022-03-01,LMT,St John Frank A,COO,S - Sale+OE,435.91,-8063,0,-100%,-3514923.0,,,,,LMT
3,,2022-03-02 16:57:44,2022-02-28,LMT,Lavan Maryanne,"SVP, GC",S - Sale,426.27,-5832,24,-100%,-2486059.0,,,,,LMT
4,,2022-03-02 16:57:20,2022-02-28,LMT,Colan Brian P,"VP, Controller",S - Sale,426.45,-1937,569,-77%,-826176.0,,,,,LMT
5,D,2022-02-23 18:06:02,2022-02-21,LMT,Colan Brian P,"VP, Controller",A - Grant,0.0,476,2506,+23%,0.0,,,,,LMT
6,D,2022-02-23 18:06:02,2022-02-21,LMT,Colan Brian P,"VP, Controller",F - Tax,386.46,-803,2506,-24%,-310327.0,,,,,LMT
7,D,2022-02-23 18:06:02,2022-02-21,LMT,Colan Brian P,"VP, Controller",M - OptEx,0.0,1354,2506,+118%,0.0,,,,,LMT
8,D,2022-02-23 18:05:55,2022-02-21,LMT,Greene Scott T,EVP,A - Grant,0.0,333,7537,+5%,0.0,,,,,LMT
9,D,2022-02-23 18:05:55,2022-02-21,LMT,Greene Scott T,EVP,F - Tax,386.46,-486,7537,-6%,-187820.0,,,,,LMT
10,D,2022-02-23 18:05:55,2022-02-21,LMT,Greene Scott T,EVP,M - OptEx,0.0,955,7537,+15%,0.0,,,,,LMT
11,D,2022-02-23 18:05:45,2022-02-21,LMT,St John Frank A,COO,A - Grant,0.0,10823,8072,-393%,0.0,,,,,LMT
12,D,2022-02-23 18:05:45,2022-02-21,LMT,St John Frank A,COO,F - Tax,386.46,-6467,8072,-44%,-2499237.0,,,,,LMT
13,D,2022-02-23 18:05:45,2022-02-21,LMT,St John Frank A,COO,M - OptEx,0.0,3707,8072,+85%,0.0,,,,,LMT
14,D,2022-02-23 18:05:43,2022-02-21,LMT,Mollard John W,"VP, Treasurer",A - Grant,0.0,415,8244,+5%,0.0,,,,,LMT
15,D,2022-02-23 18:05:43,2022-02-21,LMT,Mollard John W,"VP, Treasurer",F - Tax,386.46,-697,8244,-8%,-269363.0,,,,,LMT
16,D,2022-02-23 18:05:43,2022-02-21,LMT,Mollard John W,"VP, Treasurer",M - OptEx,0.0,1190,8244,+17%,0.0,,,,,LMT
17,D,2022-02-23 18:05:39,2022-02-21,LMT,Ulmer Gregory M,EVP,A - Grant,0.0,499,8166,+7%,0.0,,,,,LMT
18,D,2022-02-23 18:05:39,2022-02-21,LMT,Ulmer Gregory M,EVP,F - Tax,386.46,-727,8166,-8%,-280956.0,,,,,LMT
19,D,2022-02-23 18:05:39,2022-02-21,LMT,Ulmer Gregory M,EVP,M - OptEx,0.0,1432,8166,+21%,0.0,,,,,LMT
20,D,2022-02-23 18:05:26,2022-02-21,LMT,Lavan Maryanne,"SVP, GC",A - Grant,0.0,8273,5856,-342%,0.0,,,,,LMT
21,D,2022-02-23 18:05:26,2022-02-21,LMT,Lavan Maryanne,"SVP, GC",F - Tax,386.46,-5268,5856,-47%,-2035871.0,,,,,LMT
22,D,2022-02-23 18:05:26,2022-02-21,LMT,Lavan Maryanne,"SVP, GC",M - OptEx,0.0,2827,5856,+93%,0.0,,,,,LMT
23,D,2022-02-23 18:05:15,2022-02-21,LMT,Hill Stephanie C.,EVP,A - Grant,0.0,580,17279,+3%,0.0,,,,,LMT
24,D,2022-02-23 18:05:15,2022-02-21,LMT,Hill Stephanie C.,EVP,F - Tax,386.46,-1033,17279,-6%,-399213.0,,,,,LMT
25,D,2022-02-23 18:05:15,2022-02-21,LMT,Hill Stephanie C.,EVP,M - OptEx,0.0,1649,17279,+11%,0.0,,,,,LMT
26,D,2021-12-07 18:57:40,2021-12-03,LMT,Greene Scott T,EVP,F - Tax,333.81,-131,6721,-2%,-43729.0,,,,,LMT
27,D,2021-12-07 18:57:40,2021-12-03,LMT,Greene Scott T,EVP,M - OptEx,0.0,131,6721,+2%,0.0,,,,,LMT
28,D,2021-12-07 18:57:37,2021-12-03,LMT,St John Frank A,COO,F - Tax,333.81,-508,0,-100%,-169575.0,,,,,LMT
29,D,2021-12-07 18:57:37,2021-12-03,LMT,St John Frank A,COO,M - OptEx,0.0,508,0,-100%,0.0,,,,,LMT
