,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-15 18:00:47,2022-03-11,LTH,Javaheri Parham,See Remarks,A - Grant,0.0,55556,122699,+83%,0.0,,,,,LTH
1,,2022-03-15 18:00:42,2022-03-11,LTH,Bergmann Thomas E,"Pres, CFO",A - Grant,0.0,11111,109682,+11%,0.0,,,,,LTH
2,,2022-03-15 18:00:32,2022-03-11,LTH,Singh Ritadhwaja Jebens,"EVP, Chief Digital Officer",A - Grant,0.0,5556,94445,+6%,0.0,,,,,LTH
3,,2022-03-15 18:00:26,2022-03-11,LTH,Zwiefel Jeffrey G,"Pres, COO",A - Grant,0.0,11111,109682,+11%,0.0,,,,,LTH
4,,2022-03-15 18:00:15,2022-03-11,LTH,Buss Eric J,"EVP, Chief Admin. Officer",A - Grant,0.0,11111,169921,+7%,0.0,,,,,LTH
5,AD,2021-12-17 12:55:20,2021-10-12,LTH,Jss Ltf Holdings Ltd,10%,C - Converted deriv,0.0,150787,3378564,-4%,0.0,,,,,LTH
6,AD,2021-12-17 12:55:20,2021-10-12,LTH,Jss Ltf Holdings Ltd,10%,P - Purchase,18.0,227777,3378564,+7%,4099986.0,,,,,LTH
7,,2021-12-13 16:30:14,2021-12-09,LTH,Javaheri Parham,See Remarks,A - Grant,0.0,29643,67143,+79%,0.0,,,,,LTH
8,AD,2021-10-22 18:56:10,2021-10-12,LTH,"Partners Group Private Equity (Master Fund), LLC",Member of 10% Owner Group,C - Converted deriv,0.0,301571,6579348,-4%,0.0,,,,,LTH
9,AD,2021-10-22 18:56:10,2021-10-12,LTH,"Partners Group Private Equity (Master Fund), LLC",Member of 10% Owner Group,P - Purchase,18.0,277777,6579348,+4%,4999986.0,,,,,LTH
10,D,2021-10-14 20:37:22,2021-10-12,LTH,Simon Property Group Inc /De/,10%,C - Converted deriv,0.0,99014,2611834,-4%,0.0,,,,,LTH
11,D,2021-10-14 20:37:22,2021-10-12,LTH,Simon Property Group Inc /De/,10%,P - Purchase,18.0,512820,2611834,+24%,9230760.0,,,,,LTH
12,D,2021-10-14 17:46:40,2021-10-12,LTH,Green Ltf Holdings II LP,"Dir, 10%",C - Converted deriv,0.0,2241700,57670520,-4%,0.0,,,,,LTH
13,D,2021-10-14 17:46:40,2021-10-12,LTH,Green Ltf Holdings II LP,"Dir, 10%",P - Purchase,18.0,5000000,57670520,+9%,90000000.0,,,,,LTH
