,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-06-23 17:16:40,2022-06-21,LVOX,Siegel Laurence Hillard,EVP of Products,F - Tax,1.55,-8614,445103,-2%,-13352.0,,,,,LVOX
1,,2022-06-23 17:15:25,2022-06-21,LVOX,Fowler Erik James,Chief Revenue Officer,F - Tax,1.55,-6087,357589,-2%,-9435.0,,,,,LVOX
2,,2022-06-23 17:14:51,2022-06-21,LVOX,Clevenger S Gregory,"EVP, CFO",F - Tax,1.55,-6969,486121,-1%,-10802.0,,,,,LVOX
3,,2022-06-23 17:14:00,2022-06-21,LVOX,Bloom Stewart Michael,Dir,F - Tax,1.55,-4098,133321,-3%,-6352.0,,,,,LVOX
4,,2022-05-09 17:07:18,2022-05-05,LVOX,Summe Louis Edward,CEO,A - Grant,0.0,200000,1300656,+18%,0.0,,,,,LVOX
5,,2022-05-09 16:16:50,2022-05-05,LVOX,Siegel Laurence Hillard,EVP of Products,A - Grant,0.0,93389,453717,+26%,0.0,,,,,LVOX
6,,2022-05-09 16:15:53,2022-05-05,LVOX,Fowler Erik James,Chief Revenue Officer,A - Grant,0.0,93389,457065,+26%,0.0,,,,,LVOX
7,,2022-05-09 16:15:19,2022-05-05,LVOX,Clevenger S Gregory,"EVP, CFO",A - Grant,0.0,150590,493090,+44%,0.0,,,,,LVOX
8,,2022-03-16 16:15:28,2022-03-14,LVOX,Clevenger S Gregory,"EVP, CFO",P - Purchase,2.71,10000,342500,+3%,27128.0,,,,,LVOX
9,,2022-02-22 16:49:04,2022-02-11,LVOX,Ross Aaron,GC,A - Grant,0.0,200000,200000,New,0.0,,,,,LVOX
10,M,2021-12-17 06:05:15,2021-12-15,LVOX,"Golden Gate Private Equity, Inc.",10%,P - Purchase,4.89,382083,72052784,+1%,1867898.0,,,,,LVOX
11,,2021-11-23 17:37:07,2021-11-23,LVOX,Fowler Erik James,Chief Revenue Officer,P - Purchase,4.48,3348,363776,+1%,14994.0,,,,,LVOX
12,,2021-11-02 21:23:10,2021-11-02,LVOX,"Golden Gate Private Equity, Inc.",10%,A - Grant,10.0,33609,71670701,0%,336090.0,,,,,LVOX
13,,2021-08-20 16:27:47,2021-08-18,LVOX,Siegel Laurence Hillard,EVP of Products,A - Grant,0.0,200000,1164952,+21%,0.0,,,,,LVOX
14,,2021-08-20 16:27:11,2021-08-18,LVOX,Mallah Mark Edward,GC,A - Grant,0.0,100000,180164,+125%,0.0,,,,,LVOX
15,,2021-08-20 16:26:34,2021-08-18,LVOX,Fowler Erik James,Chief Revenue Officer,A - Grant,0.0,200000,360328,+125%,0.0,,,,,LVOX
16,,2021-08-20 16:26:01,2021-08-18,LVOX,Clevenger S Gregory,"EVP, CFO",A - Grant,0.0,322500,332500,>999%,0.0,,,,,LVOX
