,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-13 16:16:51,2022-05-12,MS,Luczo Stephen J,Dir,P - Purchase,79.3,25000,237336,+12%,1982425.0,,,,,MS
1,,2022-02-09 16:16:51,2022-02-08,MS,Saperstein Andrew M,"Co-Pres, Head of WM",S - Sale,105.7,-17162,180567,-9%,-1813998.0,,,,,MS
2,,2022-02-09 16:14:14,2022-02-07,MS,Hotsuki Keishi,Chief Risk Officer,S - Sale,105.0,-24500,270986,-8%,-2572500.0,,,,,MS
3,,2022-02-02 16:12:25,2022-01-31,MS,Simkowitz Daniel A,Head of Investment Management,S - Sale,102.56,-18414,304572,-6%,-1888525.0,,,,,MS
4,,2022-01-28 16:17:50,2022-01-26,MS,Pruzan Jonathan,COO,S - Sale,101.05,-18414,293600,-6%,-1860705.0,,,,,MS
5,,2022-01-21 16:24:58,2022-01-20,MS,Saperstein Andrew M,"Co-Pres, Head of WM",S - Sale,96.8,-15471,197729,-7%,-1497593.0,,,,,MS
6,,2022-01-21 16:17:04,2022-01-20,MS,Grossman Eric F,GC,S - Sale,101.63,-33209,289476,-10%,-3375130.0,,,,,MS
7,,2022-01-21 16:16:03,2022-01-21,MS,Crawley Mandell,CHRO,S - Sale,98.57,-7475,36308,-17%,-736812.0,,,,,MS
8,,2021-11-12 16:13:23,2021-11-09,MS,Darling Alistair,Dir,S - Sale,99.46,-1000,32675,-3%,-99460.0,,,,,MS
9,,2021-07-23 16:17:29,2021-07-21,MS,Yeshaya Sharon,CFO,S - Sale,95.64,-2500,23724,-10%,-239104.0,,,,,MS
10,,2021-07-16 16:28:37,2021-07-16,MS,Saperstein Andrew M,"Co-Pres, Head of WM",S - Sale,92.97,-11465,174213,-6%,-1065901.0,,,,,MS
11,A,2021-06-03 17:46:41,2020-04-17,MS,Luczo Stephen J,Dir,P - Purchase,38.59,29000,211616,+16%,1119229.0,,,,,MS
12,,2021-04-21 16:06:16,2021-04-19,MS,Simkowitz Daniel A,Head of Investment Management,S - Sale,80.06,-73162,269464,-21%,-5856984.0,,,,,MS
13,,2021-02-18 16:17:37,2021-02-16,MS,Hotsuki Keishi,Chief Risk Officer,S - Sale,76.25,-22746,256786,-8%,-1734383.0,,,,,MS
14,,2021-02-11 16:08:35,2021-02-09,MS,Rooney Robert P,"Head of Tech, Ops, Resilience",S - Sale,74.36,-15169,230896,-6%,-1128012.0,,,,,MS
15,,2021-01-22 16:39:31,2021-01-21,MS,Brodsky Jeffrey S,CHRO,S - Sale,74.57,-18500,154387,-11%,-1379545.0,,,,,MS
16,,2021-01-22 16:37:07,2021-01-21,MS,Grossman Eric F,GC,S - Sale,74.74,-29000,264661,-10%,-2167567.0,,,,,MS
17,M,2021-01-22 16:35:43,2021-01-21,MS,Saperstein Andrew M,Head of Wealth Management,S - Sale,73.05,-30050,157368,-16%,-2195061.0,,,,,MS
18,,2021-01-22 16:34:56,2021-01-21,MS,Pick Edward N,Head of Inst'l Securities,S - Sale,75.1,-100000,522992,-16%,-7510200.0,,,,,MS
19,,2021-01-22 16:33:45,2021-01-22,MS,Pruzan Jonathan,CFO,S - Sale,74.53,-18880,259357,-7%,-1407060.0,,,,,MS
20,,2021-01-22 16:29:50,2021-01-22,MS,Gorman James P,"COB, CEO",S - Sale,73.12,-175000,1075922,-14%,-12796122.0,,,,,MS
21,,2020-11-16 16:44:44,2020-11-12,MS,Olayan Hutham S,Dir,P - Purchase,55.4,25000,218478,+13%,1385000.0,,,,,MS
