,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-25 16:12:20,2022-02-23,MSCI,Crum Scott A,CHRO,S - Sale,508.8,-850,32408,-3%,-432480.0,,,,,MSCI
1,,2021-12-08 16:01:13,2021-12-06,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,599.33,-2500,240020,-1%,-1498312.0,,,,,MSCI
2,,2021-12-01 16:03:34,2021-11-29,MSCI,Gutowski Robert J.,GC,S - Sale,646.04,-800,14544,-5%,-516832.0,,,,,MSCI
3,,2021-11-08 16:15:23,2021-11-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,658.6,-2500,242520,-1%,-1646511.0,,,,,MSCI
4,,2021-10-06 16:01:29,2021-10-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,604.05,-2500,245020,-1%,-1510117.0,,,,,MSCI
5,,2021-09-08 16:03:17,2021-09-07,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,647.91,-2500,247520,-1%,-1619773.0,,,,,MSCI
6,,2021-08-10 16:01:23,2021-08-06,MSCI,Mak Jennifer H,Global Controller,S - Sale,622.38,-300,5048,-6%,-186714.0,,,,,MSCI
7,,2021-08-05 16:03:34,2021-08-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,622.95,-2500,250020,-1%,-1557386.0,,,,,MSCI
8,,2021-07-07 16:09:30,2021-07-06,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,543.81,-2500,252520,-1%,-1359519.0,,,,,MSCI
9,,2021-06-08 16:00:45,2021-06-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,463.86,-2500,255020,-1%,-1159638.0,,,,,MSCI
10,,2021-05-06 16:00:44,2021-05-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,484.11,-2500,257520,-1%,-1210286.0,,,,,MSCI
11,,2021-04-07 16:17:22,2021-04-05,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,430.66,-2500,260020,-1%,-1076638.0,,,,,MSCI
12,,2021-03-08 16:03:08,2021-03-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,407.77,-2500,262520,-1%,-1019421.0,,,,,MSCI
13,,2021-03-03 16:02:29,2021-03-01,MSCI,Mak Jennifer H,Global Controller,S - Sale,421.38,-596,8288,-7%,-251142.0,,,,,MSCI
14,,2021-02-08 16:14:20,2021-02-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,420.52,-2500,266145,-1%,-1051294.0,,,,,MSCI
15,,2020-12-08 16:00:26,2020-12-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,424.17,-2500,268645,-1%,-1060419.0,,,,,MSCI
16,,2020-11-18 09:00:24,2020-11-17,MSCI,Crum Scott A,CHRO,S - Sale,395.0,-1000,28279,-3%,-395000.0,,,,,MSCI
17,,2020-11-05 13:35:51,2020-11-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,378.24,-2500,271145,-1%,-945606.0,,,,,MSCI
18,,2020-10-07 11:32:09,2020-10-05,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,350.38,-2500,273645,-1%,-875937.0,,,,,MSCI
19,,2020-09-09 16:43:29,2020-09-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,353.42,-2500,276145,-1%,-883548.0,,,,,MSCI
20,,2020-08-06 16:38:47,2020-08-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,367.31,-2500,278645,-1%,-918279.0,,,,,MSCI
21,,2020-07-31 16:57:46,2020-07-30,MSCI,Crum Scott A,CHRO,S - Sale,376.69,-3500,29279,-11%,-1318415.0,,,,,MSCI
22,,2020-07-08 16:45:06,2020-07-06,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,347.47,-2500,281145,-1%,-868664.0,,,,,MSCI
23,,2020-06-08 16:38:20,2020-06-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,317.15,-2500,283645,-1%,-792885.0,,,,,MSCI
24,,2020-05-06 16:49:34,2020-05-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,316.09,-2500,286145,-1%,-790212.0,,,,,MSCI
25,,2020-04-08 18:11:14,2020-04-06,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,286.9,-2500,288645,-1%,-717247.0,,,,,MSCI
26,,2020-03-06 16:46:18,2020-03-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,315.11,-2500,291145,-1%,-787775.0,,,,,MSCI
27,,2020-02-06 16:37:43,2020-02-04,MSCI,Pettit Cd Baer,"Pres, COO",S - Sale,297.56,-2500,299318,-1%,-743890.0,,,,,MSCI
28,D,2019-11-26 16:31:31,2019-11-22,MSCI,Fernandez Henry A,"COB, CEO",S - Sale+OE,256.64,-29873,2014674,-1%,-7666448.0,,,,,MSCI
29,,2019-11-22 16:36:56,2019-11-20,MSCI,Seyer Laurent,COO,S - Sale,256.16,-6000,105787,-5%,-1536960.0,,,,,MSCI
30,,2019-11-14 16:36:59,2019-11-12,MSCI,Seyer Laurent,COO,S - Sale,245.58,-10000,111787,-8%,-2455800.0,,,,,MSCI
31,,2019-11-06 17:19:48,2019-11-05,MSCI,Dupont Benjamin F,Dir,S - Sale,238.51,-8000,17095,-32%,-1908080.0,,,,,MSCI
32,,2019-02-15 18:07:18,2019-02-15,MSCI,Crum Scott A,CHRO,S - Sale,175.14,-19000,33235,-36%,-3327660.0,,,,,MSCI
