,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2020-09-24 16:37:11,2020-09-22,MSGN,Burian Lawrence J.,"EVP, GC",S - Sale,10.0,-6714,0,-100%,-67140.0,,,,,MSGN
1,D,2020-09-17 16:44:21,2020-09-15,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",F - Tax,9.42,-2359,24886,-9%,-22222.0,,,,,MSGN
2,D,2020-09-17 16:44:21,2020-09-15,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",M - OptEx,0.0,6947,24886,+39%,0.0,,,,,MSGN
3,D,2020-09-17 16:42:57,2020-09-15,MSGN,Burian Lawrence J.,"EVP, GC",F - Tax,9.42,-3452,6714,-34%,-32518.0,,,,,MSGN
4,D,2020-09-17 16:42:57,2020-09-15,MSGN,Burian Lawrence J.,"EVP, GC",M - OptEx,0.0,10166,6714,-294%,0.0,,,,,MSGN
5,D,2020-09-17 16:41:56,2020-09-15,MSGN,Richter Bret,"EVP, CFO, Treasurer",F - Tax,9.42,-10820,91810,-11%,-101924.0,,,,,MSGN
6,D,2020-09-17 16:41:56,2020-09-15,MSGN,Richter Bret,"EVP, CFO, Treasurer",M - OptEx,0.0,20333,91810,+28%,0.0,,,,,MSGN
7,D,2020-09-17 16:40:55,2020-09-15,MSGN,Greenberg Andrea,"Pres, CEO",F - Tax,9.42,-28211,173485,-14%,-265748.0,,,,,MSGN
8,D,2020-09-17 16:40:55,2020-09-15,MSGN,Greenberg Andrea,"Pres, CEO",M - OptEx,0.0,57610,173485,+50%,0.0,,,,,MSGN
9,M,2020-09-10 16:37:28,2020-09-08,MSGN,Burian Lawrence J.,"EVP, GC",S - Sale,10.34,-9560,0,-100%,-98850.0,,,,,MSGN
10,D,2020-09-03 16:52:18,2020-09-01,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",F - Tax,9.58,-1123,20298,-5%,-10758.0,,,,,MSGN
11,D,2020-09-03 16:52:18,2020-09-01,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",M - OptEx,0.0,3307,20298,+19%,0.0,,,,,MSGN
12,D,2020-09-03 16:50:44,2020-09-01,MSGN,Burian Lawrence J.,"EVP, GC",F - Tax,9.58,-1233,9560,-11%,-11812.0,,,,,MSGN
13,D,2020-09-03 16:50:44,2020-09-01,MSGN,Burian Lawrence J.,"EVP, GC",M - OptEx,0.0,3630,9560,+61%,0.0,,,,,MSGN
14,D,2020-09-03 16:49:42,2020-09-01,MSGN,Richter Bret,"EVP, CFO, Treasurer",F - Tax,9.58,-2620,82297,-3%,-25100.0,,,,,MSGN
15,D,2020-09-03 16:49:42,2020-09-01,MSGN,Richter Bret,"EVP, CFO, Treasurer",M - OptEx,0.0,6857,82297,+9%,0.0,,,,,MSGN
16,D,2020-09-03 16:47:27,2020-09-01,MSGN,Greenberg Andrea,"Pres, CEO",F - Tax,9.58,-8217,144086,-5%,-78719.0,,,,,MSGN
17,D,2020-09-03 16:47:27,2020-09-01,MSGN,Greenberg Andrea,"Pres, CEO",M - OptEx,0.0,24190,144086,+20%,0.0,,,,,MSGN
18,D,2020-08-28 16:26:09,2020-08-26,MSGN,Burian Lawrence J.,"EVP, GC",A - Grant,0.0,10847,7163,-294%,0.0,,,,,MSGN
19,D,2020-08-28 16:26:09,2020-08-26,MSGN,Burian Lawrence J.,"EVP, GC",F - Tax,10.22,-3684,7163,-34%,-37650.0,,,,,MSGN
20,D,2020-08-28 16:24:33,2020-08-26,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",A - Grant,0.0,9881,18114,+120%,0.0,,,,,MSGN
21,D,2020-08-28 16:24:33,2020-08-26,MSGN,Darino-Gorski Dawn,"SVP, Controller, PAO",F - Tax,10.22,-3356,18114,-16%,-34298.0,,,,,MSGN
22,D,2020-08-28 16:23:37,2020-08-26,MSGN,Richter Bret,"EVP, CFO, Treasurer",A - Grant,0.0,20488,78060,+36%,0.0,,,,,MSGN
