,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-17 17:22:37,2021-12-16,MTN,Schneider Hilary,Dir,S - Sale,318.22,-4000,16694,-19%,-1272880.0,,,,,MTN
1,D,2021-12-15 18:05:53,2021-12-13,MTN,Katz Robert A,Exec. Chair of the Board,S - Sale+OE,330.6,-98209,240101,-29%,-32468052.0,,,,,MTN
2,D,2021-12-15 17:53:13,2021-12-13,MTN,Barkin Michael Z,"EVP, CFO",S - Sale+OE,335.35,-1836,18324,-9%,-615707.0,,,,,MTN
3,,2021-12-14 17:50:39,2021-12-13,MTN,Sorte John F,Dir,S - Sale,338.66,-1832,44080,-4%,-620424.0,,,,,MTN
4,,2021-10-01 17:50:48,2021-09-29,MTN,Vaughn Peter A,Dir,S - Sale,343.77,-975,6922,-12%,-335176.0,,,,,MTN
5,D,2021-09-30 16:56:41,2021-09-29,MTN,Gronberg Nathan Mark,"VP, Controller, CAO",S - Sale+OE,343.89,-175,121,-59%,-60181.0,,,,,MTN
6,DM,2021-09-29 16:59:28,2021-09-27,MTN,O'Donnell James C.,"EVP, Hospitality, Retail, RE",S - Sale+OE,345.7,-4922,7262,-40%,-1701517.0,,,,,MTN
7,D,2021-09-29 16:57:19,2021-09-27,MTN,Barkin Michael Z,"EVP, CFO",S - Sale+OE,345.26,-2391,18324,-12%,-825527.0,,,,,MTN
8,D,2021-09-29 16:55:27,2021-09-27,MTN,Shapiro David T,"EVP, GC, Sec.",S - Sale+OE,345.19,-4576,2964,-61%,-1579590.0,,,,,MTN
9,,2021-06-16 19:00:53,2021-06-15,MTN,Vaughn Peter A,Dir,S - Sale,321.93,-1000,7025,-12%,-321930.0,,,,,MTN
10,,2021-06-15 17:16:50,2021-06-14,MTN,Katz Robert A,"Chief Exec.Officer, COB",S - Sale,321.76,-91661,262524,-26%,-29492578.0,,,,,MTN
11,D,2021-06-11 16:22:58,2021-06-10,MTN,Barkin Michael Z,"EVP, CFO",S - Sale+OE,317.94,-1492,17556,-8%,-474360.0,,,,,MTN
12,D,2021-06-11 16:19:38,2021-06-09,MTN,Lynch Kirsten A.,"EVP, CMO",S - Sale+OE,320.46,-6344,21250,-23%,-2033020.0,,,,,MTN
13,D,2021-03-29 16:23:05,2021-03-25,MTN,Barkin Michael Z,"EVP, CFO",S - Sale+OE,279.32,-3297,17556,-16%,-920922.0,,,,,MTN
14,,2020-10-07 18:03:03,2020-10-06,MTN,Vaughn Peter A,Dir,S - Sale,231.45,-1000,8025,-11%,-231450.0,,,,,MTN
15,D,2020-10-01 16:55:58,2020-09-29,MTN,O'Donnell James C.,"EVP, Hospitality, Retail, RE",S - Sale+OE,210.85,-1067,7262,-13%,-224973.0,,,,,MTN
16,D,2020-09-30 16:17:10,2020-09-28,MTN,Campbell Patricia A,Pres-Mountain Division,S - Sale+OE,225.59,-5435,16819,-24%,-1226064.0,,,,,MTN
17,D,2020-09-30 16:13:36,2020-09-28,MTN,Lynch Kirsten A.,"EVP, CMO",S - Sale+OE,228.68,-5524,19593,-22%,-1263246.0,,,,,MTN
18,D,2020-09-30 16:11:02,2020-09-28,MTN,Siurek Ryan H,"SVP, Controller, CAO",S - Sale+OE,227.68,-709,609,-54%,-161425.0,,,,,MTN
19,D,2020-09-29 17:41:24,2020-09-28,MTN,Sorte John F,Dir,S - Sale+OE,228.11,-2743,44990,-6%,-625717.0,,,,,MTN
