,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-07-19 18:33:43,2022-07-15,MTTR,Pittman Raymond J,CEO,M - OptEx,0.0,466952,2186330,+27%,0.0,,,,,MTTR
1,D,2022-07-19 18:32:59,2022-07-15,MTTR,Fay James Daniel,CFO,M - OptEx,0.0,217565,741035,+42%,0.0,,,,,MTTR
2,D,2022-07-19 18:29:41,2022-07-15,MTTR,Remley Jay,Chief Revenue Officer,M - OptEx,0.0,130539,570668,+30%,0.0,,,,,MTTR
3,D,2022-07-19 18:28:37,2022-07-15,MTTR,Tulsi Japjit,CTO,M - OptEx,0.0,108783,455269,+31%,0.0,,,,,MTTR
4,,2022-06-15 11:20:31,2022-06-14,MTTR,Tulsi Japjit,CTO,S - Sale,3.89,-60000,346486,-15%,-233460.0,,,,,MTTR
5,M,2022-06-09 18:13:18,2022-06-07,MTTR,Fay James Daniel,CFO,S - Sale,5.07,-300000,523470,-36%,-1522089.0,,,,,MTTR
6,M,2022-05-26 18:03:45,2022-05-24,MTTR,Krikorian Jason,Dir,S - Sale,5.09,-577239,19856310,-3%,-2939078.0,,,,,MTTR
7,M,2022-05-24 16:38:00,2022-05-20,MTTR,Krikorian Jason,Dir,S - Sale,5.4,-1628907,20433549,-7%,-8795663.0,,,,,MTTR
8,D,2022-04-20 16:31:22,2022-04-15,MTTR,Fay James Daniel,CFO,M - OptEx,0.0,217564,820470,+36%,0.0,,,,,MTTR
9,D,2022-04-19 20:00:44,2022-04-15,MTTR,Tulsi Japjit,CTO,M - OptEx,0.0,108782,403486,+37%,0.0,,,,,MTTR
10,D,2022-04-19 19:59:06,2022-04-15,MTTR,Remley Jay,Chief Revenue Officer,M - OptEx,0.0,130539,437129,+43%,0.0,,,,,MTTR
11,D,2022-04-19 19:57:51,2022-04-15,MTTR,Pittman Raymond J,CEO,M - OptEx,0.0,466952,1716378,+37%,0.0,,,,,MTTR
12,M,2022-02-28 19:41:36,2022-02-24,MTTR,Pittman Raymond J,CEO,P - Purchase,6.8,40000,1249426,+3%,272130.0,,,,,MTTR
13,,2022-02-28 19:41:23,2022-02-24,MTTR,Hebert Peter,Dir,P - Purchase,6.38,20000,229793,+10%,127500.0,,,,,MTTR
14,D,2022-02-04 18:15:23,2022-02-01,MTTR,Krikorian Jason,Dir,C - Converted deriv,0.0,2204400,22062456,-9%,0.0,,,,,MTTR
15,D,2022-02-04 17:46:20,2022-02-01,MTTR,Gustafson Michael B,Dir,C - Converted deriv,0.0,65197,176680,-27%,0.0,,,,,MTTR
16,D,2022-02-04 17:46:20,2021-07-22,MTTR,Gustafson Michael B,Dir,A - Grant,0.0,29724,176680,+20%,0.0,,,,,MTTR
17,D,2022-02-03 21:57:41,2022-02-01,MTTR,Fay James Daniel,CFO,F - Tax,9.59,-93370,611350,-13%,-895418.0,,,,,MTTR
18,D,2022-02-03 21:57:41,2022-02-01,MTTR,Fay James Daniel,CFO,C - Converted deriv,0.0,239154,611350,-28%,0.0,,,,,MTTR
19,D,2022-02-03 21:57:39,2022-02-01,MTTR,Pittman Raymond J,CEO,F - Tax,9.59,-715432,1209426,-37%,-6860993.0,,,,,MTTR
20,D,2022-02-03 21:57:39,2022-02-01,MTTR,Pittman Raymond J,CEO,C - Converted deriv,0.0,1442984,1209426,-54%,0.0,,,,,MTTR
21,D,2022-02-03 21:57:24,2022-02-01,MTTR,Remley Jay,Chief Revenue Officer,C - Converted deriv,0.0,226121,306590,-42%,0.0,,,,,MTTR
22,D,2022-02-03 21:57:24,2022-02-01,MTTR,Remley Jay,Chief Revenue Officer,F - Tax,9.59,-88979,306590,-22%,-853309.0,,,,,MTTR
23,D,2022-02-03 21:57:09,2022-02-01,MTTR,Tulsi Japjit,CTO,F - Tax,9.59,-151243,294704,-34%,-1450420.0,,,,,MTTR
24,D,2022-02-03 21:57:09,2022-02-01,MTTR,Tulsi Japjit,CTO,C - Converted deriv,0.0,320091,294704,-52%,0.0,,,,,MTTR
25,DM,2022-01-20 17:17:29,2021-10-15,MTTR,Remley Jay,Chief Revenue Officer,M - OptEx,0.0,261077,169448,-285%,0.0,,,,,MTTR
26,D,2022-01-20 17:17:29,2022-01-18,MTTR,Remley Jay,Chief Revenue Officer,F - Tax,12.89,-91629,169448,-35%,-1181098.0,,,,,MTTR
27,DM,2022-01-20 17:14:59,2021-10-15,MTTR,Pittman Raymond J,CEO,M - OptEx,0.0,933903,481874,-207%,0.0,,,,,MTTR
28,D,2022-01-20 17:14:59,2022-01-18,MTTR,Pittman Raymond J,CEO,F - Tax,12.89,-452029,481874,-48%,-5826654.0,,,,,MTTR
