,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-01 16:43:26,2022-02-25,MUSA,Hatten Terry P.,"SVP, HR",S - Sale,180.03,-2910,4492,-39%,-523879.0,,,,,MUSA
1,D,2022-02-11 16:52:53,2022-02-09,MUSA,West Malynda K,"EVP, Fuels, CFO, Treasurer",F - Tax,181.18,-5454,92330,-6%,-988156.0,,,,,MUSA
2,D,2022-02-11 16:52:53,2022-02-09,MUSA,West Malynda K,"EVP, Fuels, CFO, Treasurer",M - OptEx,0.0,12912,92330,+16%,0.0,,,,,MUSA
3,D,2022-02-11 16:46:35,2022-02-09,MUSA,Hatten Terry P.,"SVP, HR",F - Tax,181.18,-1748,7402,-19%,-316703.0,,,,,MUSA
4,D,2022-02-11 16:46:35,2022-02-09,MUSA,Hatten Terry P.,"SVP, HR",M - OptEx,0.0,5448,7402,+279%,0.0,,,,,MUSA
5,D,2022-02-11 16:37:56,2022-02-09,MUSA,Chumley Robert J,"SVP, Marketing",F - Tax,181.18,-2898,5792,-33%,-525060.0,,,,,MUSA
6,D,2022-02-11 16:37:56,2022-02-09,MUSA,Chumley Robert J,"SVP, Marketing",M - OptEx,0.0,6456,5792,-973%,0.0,,,,,MUSA
7,D,2022-02-11 16:35:32,2022-02-09,MUSA,Bacon Renee M,"SVP, Sales, Ops",F - Tax,181.18,-2354,7194,-25%,-426498.0,,,,,MUSA
8,D,2022-02-11 16:35:32,2022-02-09,MUSA,Bacon Renee M,"SVP, Sales, Ops",M - OptEx,0.0,5248,7194,+270%,0.0,,,,,MUSA
9,D,2022-02-09 17:52:26,2022-02-07,MUSA,Murphy Robert Madison,Dir,D - Sale to issuer,155.77,-1,605821,0%,-135.0,,,,,MUSA
10,D,2022-02-09 17:52:26,2022-02-07,MUSA,Murphy Robert Madison,Dir,M - OptEx,0.0,1467,605821,0%,0.0,,,,,MUSA
11,D,2022-02-09 17:50:37,2022-02-07,MUSA,Taylor Jack T,Dir,D - Sale to issuer,155.77,-1,18666,0%,-135.0,,,,,MUSA
12,D,2022-02-09 17:50:37,2022-02-07,MUSA,Taylor Jack T,Dir,M - OptEx,0.0,1467,18666,+9%,0.0,,,,,MUSA
13,D,2022-02-09 17:48:04,2022-02-07,MUSA,Phillips Jeanne Linder,Dir,D - Sale to issuer,155.77,-1,2093,0%,-135.0,,,,,MUSA
14,D,2022-02-09 17:48:04,2022-02-07,MUSA,Phillips Jeanne Linder,Dir,M - OptEx,0.0,1467,2093,+234%,0.0,,,,,MUSA
15,D,2022-02-09 17:45:26,2022-02-07,MUSA,Miller David B,Dir,D - Sale to issuer,155.77,-1,41878,0%,-135.0,,,,,MUSA
16,D,2022-02-09 17:45:26,2022-02-07,MUSA,Miller David B,Dir,M - OptEx,0.0,1467,41878,+4%,0.0,,,,,MUSA
17,D,2022-02-09 17:43:58,2022-02-07,MUSA,Landen Diane N,Dir,D - Sale to issuer,155.77,-1,146349,0%,-135.0,,,,,MUSA
18,D,2022-02-09 17:43:58,2022-02-07,MUSA,Landen Diane N,Dir,M - OptEx,0.0,1467,146349,+1%,0.0,,,,,MUSA
19,D,2022-02-09 17:42:35,2022-02-07,MUSA,Keyes James W,Dir,D - Sale to issuer,155.77,-1,17666,0%,-135.0,,,,,MUSA
20,D,2022-02-09 17:42:35,2022-02-07,MUSA,Keyes James W,Dir,M - OptEx,0.0,1467,17666,+9%,0.0,,,,,MUSA
21,D,2022-02-09 17:40:47,2022-02-07,MUSA,Holliger Fred L,Dir,D - Sale to issuer,155.77,-1,14666,0%,-135.0,,,,,MUSA
22,D,2022-02-09 17:40:47,2022-02-07,MUSA,Holliger Fred L,Dir,M - OptEx,0.0,1467,14666,+11%,0.0,,,,,MUSA
23,D,2022-02-09 17:39:15,2022-02-07,MUSA,Deming Claiborne P,Dir,D - Sale to issuer,155.77,-1,700970,0%,-135.0,,,,,MUSA
24,D,2022-02-09 17:39:15,2022-02-07,MUSA,Deming Claiborne P,Dir,M - OptEx,0.0,1467,700970,0%,0.0,,,,,MUSA
25,D,2022-02-08 18:51:42,2022-02-04,MUSA,West Malynda K,"EVP, Fuels, CFO, Treasurer",F - Tax,183.48,-1471,84872,-2%,-269899.0,,,,,MUSA
26,D,2022-02-08 18:51:42,2022-02-04,MUSA,West Malynda K,"EVP, Fuels, CFO, Treasurer",M - OptEx,0.0,3228,84872,+4%,0.0,,,,,MUSA
27,D,2022-02-08 18:49:22,2022-02-04,MUSA,Smith Donald R Jr,"VP, Corporate Controller",F - Tax,0.0,-351,16994,-2%,-0.0,,,,,MUSA
28,D,2022-02-08 18:49:22,2022-02-04,MUSA,Smith Donald R Jr,"VP, Corporate Controller",M - OptEx,0.0,706,16994,+4%,0.0,,,,,MUSA
29,D,2022-02-08 18:45:38,2022-02-04,MUSA,Hatten Terry P.,"SVP, HR",F - Tax,183.48,-417,3702,-10%,-76511.0,,,,,MUSA
30,D,2022-02-08 18:45:38,2022-02-04,MUSA,Hatten Terry P.,"SVP, HR",M - OptEx,0.0,1362,3702,+58%,0.0,,,,,MUSA
31,D,2022-02-08 18:42:16,2022-02-04,MUSA,Clyde R Andrew,"Pres, CEO",F - Tax,183.48,-4576,176517,-3%,-839604.0,,,,,MUSA
32,D,2022-02-08 18:42:16,2022-02-04,MUSA,Clyde R Andrew,"Pres, CEO",M - OptEx,0.0,12005,176517,+7%,0.0,,,,,MUSA
33,D,2022-02-08 18:38:58,2022-02-04,MUSA,Chumley Robert J,"SVP, Marketing",F - Tax,183.48,-754,2234,-25%,-138344.0,,,,,MUSA
34,D,2022-02-08 18:38:58,2022-02-04,MUSA,Chumley Robert J,"SVP, Marketing",M - OptEx,0.0,1614,2234,+260%,0.0,,,,,MUSA
35,D,2022-02-08 18:34:38,2022-02-04,MUSA,Bacon Renee M,"SVP, Sales, Ops",F - Tax,183.48,-618,4312,-13%,-113391.0,,,,,MUSA
36,D,2022-02-08 18:34:38,2022-02-04,MUSA,Bacon Renee M,"SVP, Sales, Ops",M - OptEx,0.0,1312,4312,+44%,0.0,,,,,MUSA
37,D,2021-11-12 16:31:11,2021-11-09,MUSA,Hatten Terry P.,"SVP, HR",F - Tax,177.22,-1334,2757,-33%,-236411.0,,,,,MUSA
38,D,2021-11-12 16:31:11,2021-11-09,MUSA,Hatten Terry P.,"SVP, HR",M - OptEx,72.8,2000,2757,+264%,145600.0,,,,,MUSA
39,D,2021-11-12 16:31:11,2021-11-09,MUSA,Hatten Terry P.,"SVP, HR",S - Sale+OE,179.52,-666,2757,-19%,-119560.0,,,,,MUSA
40,,2021-08-04 16:45:44,2021-08-02,MUSA,Chumley Robert J,"SVP, Marketing",S - Sale,148.11,-2750,1374,-67%,-407303.0,,,,,MUSA
41,D,2021-06-15 16:45:33,2021-06-11,MUSA,Hatten Terry P.,"SVP, HR",F - Tax,137.99,-437,2757,-14%,-60302.0,,,,,MUSA
42,D,2021-06-15 16:45:33,2021-06-11,MUSA,Hatten Terry P.,"SVP, HR",M - OptEx,0.0,1006,2757,+57%,0.0,,,,,MUSA
43,D,2021-05-13 16:37:20,2021-05-11,MUSA,Smith Donald R Jr,"VP, Corporate Controller",F - Tax,143.12,-1949,16636,-10%,-278941.0,,,,,MUSA
