,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-24 17:49:59,2022-03-23,NOVA,Hayden Chris,See Remarks,S - Sale+OE,25.05,-342,12480,-3%,-8567.0,,,,,NOVA
1,D,2022-03-24 17:47:43,2022-03-23,NOVA,Hultberg Kelsey,See Remarks,S - Sale+OE,25.05,-290,15560,-2%,-7265.0,,,,,NOVA
2,D,2022-03-24 17:45:44,2022-03-23,NOVA,Nutting Meghan,See Remarks,S - Sale+OE,25.05,-775,31967,-2%,-19414.0,,,,,NOVA
3,D,2022-03-24 17:41:28,2022-03-23,NOVA,Santo Salvo John T,See Remarks,S - Sale+OE,25.05,-1325,65028,-2%,-33191.0,,,,,NOVA
4,D,2022-03-24 17:39:26,2022-03-23,NOVA,Grasso Michael P,See Remarks,S - Sale+OE,25.05,-2515,39619,-6%,-63001.0,,,,,NOVA
5,D,2022-03-24 17:37:29,2022-03-23,NOVA,Hillstrand Kris W,See Remarks,S - Sale+OE,25.05,-2070,67309,-3%,-51854.0,,,,,NOVA
6,D,2022-03-24 17:35:08,2022-03-23,NOVA,Baker Walter A,See Remarks,S - Sale+OE,25.05,-1400,121138,-1%,-35070.0,,,,,NOVA
7,D,2022-03-24 17:32:43,2022-03-23,NOVA,Lane Robert Lawrence,See Remarks,S - Sale+OE,25.05,-1850,93764,-2%,-46343.0,,,,,NOVA
8,,2022-03-17 16:52:56,2022-03-16,NOVA,Hayden Chris,See Remarks,S - Sale,23.62,-145,11929,-1%,-3425.0,,,,,NOVA
9,,2022-03-17 16:50:51,2022-03-16,NOVA,Hultberg Kelsey,See Remarks,S - Sale,23.45,-101,15058,-1%,-2368.0,,,,,NOVA
10,,2022-03-17 16:48:41,2022-03-16,NOVA,Nutting Meghan,See Remarks,S - Sale,23.08,-260,30706,-1%,-6001.0,,,,,NOVA
11,,2022-03-17 16:46:00,2022-03-16,NOVA,Hillstrand Kris W,See Remarks,S - Sale,23.35,-3807,64828,-6%,-88893.0,,,,,NOVA
