,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-03-04 14:32:34,2022-03-02,NPTN,Ramaswami Rajiv,Dir,M - OptEx,4.5,4400,44838,+11%,19800.0,,,,,NPTN
1,,2022-02-15 19:29:32,2022-02-14,NPTN,Jenks Timothy Storrs,CEO,S - Sale,15.5,-17009,538075,-3%,-263634.0,,,,,NPTN
2,D,2022-01-03 16:23:58,2021-12-29,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,M - OptEx,5.11,7000,173897,+4%,35770.0,,,,,NPTN
3,M,2021-12-29 16:37:14,2021-12-27,NPTN,Jenks Timothy Storrs,CEO,G - Gift,0.0,-2250,555084,0%,-0.0,,,,,NPTN
4,D,2021-12-13 16:45:37,2021-12-09,NPTN,Li Yanbing,Dir,M - OptEx,6.27,31445,8586,-138%,197113.0,,,,,NPTN
5,D,2021-12-13 16:45:37,2021-12-09,NPTN,Li Yanbing,Dir,S - Sale+OE,15.33,-38842,8586,-82%,-595270.0,,,,,NPTN
6,D,2021-12-10 18:19:03,2021-12-09,NPTN,Cheung Chiyue,COO,D - Sale to issuer,15.32,-75000,0,-100%,-1149000.0,,,,,NPTN
7,D,2021-12-10 18:19:03,2021-12-09,NPTN,Cheung Chiyue,COO,M - OptEx,5.11,75000,0,-100%,383250.0,,,,,NPTN
8,D,2021-11-17 16:51:43,2021-11-15,NPTN,Jenks Timothy Storrs,CEO,M - OptEx,5.8,98136,557334,+21%,569097.0,,,,,NPTN
9,D,2021-11-08 18:30:25,2021-11-04,NPTN,Sophie Michael J,Dir,M - OptEx,8.56,5228,11662,+81%,44752.0,,,,,NPTN
10,D,2021-11-08 18:30:25,2021-11-04,NPTN,Sophie Michael J,Dir,S - Sale+OE,15.04,-17388,11662,-60%,-261516.0,,,,,NPTN
11,D,2021-11-08 18:24:26,2021-11-04,NPTN,Cheung Chiyue,COO,M - OptEx,9.27,92000,0,-100%,852600.0,,,,,NPTN
12,D,2021-11-08 18:24:26,2021-11-04,NPTN,Cheung Chiyue,COO,S - Sale+OE,15.04,-92000,0,-100%,-1383680.0,,,,,NPTN
13,,2021-11-08 18:20:11,2021-11-04,NPTN,Eby Elizabeth Lynne,"SVP, CFO",S - Sale,15.04,-50000,366334,-12%,-752000.0,,,,,NPTN
14,,2021-11-08 18:14:50,2021-11-04,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,S - Sale,15.04,-48587,166897,-23%,-730748.0,,,,,NPTN
15,,2021-11-08 18:05:35,2021-11-04,NPTN,Jenks Timothy Storrs,CEO,S - Sale,15.04,-129261,459198,-22%,-1944085.0,,,,,NPTN
16,,2021-08-24 16:42:52,2021-08-20,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,S - Sale,8.2,-27072,215484,-11%,-221920.0,,,,,NPTN
17,D,2021-08-17 21:30:40,2021-08-16,NPTN,Eby Elizabeth Lynne,"SVP, CFO",M - OptEx,0.0,30750,416334,+8%,0.0,,,,,NPTN
18,D,2021-08-03 18:23:30,2021-07-30,NPTN,Cheung Chiyue,COO,M - OptEx,0.0,12667,0,-100%,0.0,,,,,NPTN
19,D,2021-08-03 18:23:30,2021-08-02,NPTN,Cheung Chiyue,COO,S - Sale+OE,9.41,-12667,0,-100%,-119232.0,,,,,NPTN
20,D,2021-08-03 18:15:53,2021-07-30,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,D - Sale to issuer,9.7,-6281,242556,-3%,-60926.0,,,,,NPTN
21,D,2021-08-03 18:15:53,2021-07-30,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,M - OptEx,0.0,12667,242556,+6%,0.0,,,,,NPTN
22,D,2021-08-03 18:08:03,2021-07-30,NPTN,Eby Elizabeth Lynne,"SVP, CFO",D - Sale to issuer,9.7,-6281,385584,-2%,-60926.0,,,,,NPTN
23,D,2021-08-03 18:08:03,2021-07-30,NPTN,Eby Elizabeth Lynne,"SVP, CFO",M - OptEx,0.0,12667,385584,+3%,0.0,,,,,NPTN
24,D,2021-08-03 17:46:51,2021-07-30,NPTN,Jenks Timothy Storrs,CEO,D - Sale to issuer,9.7,-12395,588459,-2%,-120232.0,,,,,NPTN
25,D,2021-08-03 17:46:51,2021-07-30,NPTN,Jenks Timothy Storrs,CEO,M - OptEx,0.0,31667,588459,+6%,0.0,,,,,NPTN
26,D,2021-07-06 16:49:39,2021-07-01,NPTN,Cheung Chiyue,COO,M - OptEx,0.0,16250,0,-100%,0.0,,,,,NPTN
27,D,2021-07-06 16:49:39,2021-07-02,NPTN,Cheung Chiyue,COO,S - Sale+OE,10.12,-16250,0,-100%,-164421.0,,,,,NPTN
28,D,2021-07-02 17:16:46,2021-07-01,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,D - Sale to issuer,10.21,-6911,236170,-3%,-70561.0,,,,,NPTN
29,D,2021-07-02 17:16:46,2021-07-01,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,M - OptEx,0.0,16250,236170,+7%,0.0,,,,,NPTN
30,D,2021-07-02 17:11:19,2021-07-01,NPTN,Eby Elizabeth Lynne,"SVP, CFO",D - Sale to issuer,10.21,-8058,379198,-2%,-82272.0,,,,,NPTN
31,D,2021-07-02 17:11:19,2021-07-01,NPTN,Eby Elizabeth Lynne,"SVP, CFO",M - OptEx,0.0,16250,379198,+4%,0.0,,,,,NPTN
32,D,2021-07-02 17:04:58,2021-07-01,NPTN,Jenks Timothy Storrs,CEO,D - Sale to issuer,10.21,-16115,569187,-3%,-164534.0,,,,,NPTN
33,D,2021-07-02 17:04:58,2021-07-01,NPTN,Jenks Timothy Storrs,CEO,M - OptEx,0.0,32500,569187,+6%,0.0,,,,,NPTN
34,D,2021-06-08 18:01:39,2021-06-04,NPTN,Cheung Chiyue,COO,M - OptEx,0.0,14400,0,-100%,0.0,,,,,NPTN
35,D,2021-06-08 18:01:39,2021-06-07,NPTN,Cheung Chiyue,COO,S - Sale+OE,10.52,-14400,0,-100%,-151455.0,,,,,NPTN
36,D,2021-06-08 17:44:38,2021-06-04,NPTN,Li Yanbing,Dir,M - OptEx,0.0,5228,15983,+49%,0.0,,,,,NPTN
37,D,2021-06-08 17:37:55,2021-06-04,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,D - Sale to issuer,10.65,-4980,226831,-2%,-53037.0,,,,,NPTN
38,D,2021-06-08 17:37:55,2021-06-04,NPTN,Wupen Yuen,VP GLOBAL PRODUCT,M - OptEx,0.0,14400,226831,+7%,0.0,,,,,NPTN
39,D,2021-06-08 17:23:15,2021-06-04,NPTN,Jenks Timothy Storrs,CEO,D - Sale to issuer,10.65,-17849,552802,-3%,-190092.0,,,,,NPTN
40,D,2021-06-08 17:23:15,2021-06-04,NPTN,Jenks Timothy Storrs,CEO,M - OptEx,0.0,36000,552802,+7%,0.0,,,,,NPTN
