,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-10 13:55:43,2022-05-06,PNC,Niblock Robert A,Dir,P - Purchase,167.07,2000,6063,+49%,334145.0,,,,,PNC
1,,2022-05-05 13:48:18,2022-05-03,PNC,Deborah Guild,EVP,S - Sale,170.56,-1257,23360,-5%,-214398.0,,,,,PNC
2,,2022-03-16 15:07:25,2022-03-14,PNC,Lyons Michael P.,EVP,S - Sale,182.59,-5500,178151,-3%,-1004229.0,,,,,PNC
3,,2022-02-17 16:20:49,2022-02-16,PNC,Hannon Michael J,EVP,S - Sale,208.36,-3000,44991,-6%,-625083.0,,,,,PNC
4,,2021-12-17 15:55:46,2021-12-15,PNC,Pfinsgraff Martin,Dir,S - Sale,199.31,-7,1550,0%,-1395.0,,,,,PNC
5,,2021-12-17 15:52:18,2021-02-22,PNC,Pfinsgraff Martin,Dir,P - Purchase,172.01,7,1557,0%,1204.0,,,,,PNC
6,,2021-12-15 14:17:26,2021-12-14,PNC,Lyons Michael P.,EVP,S - Sale,198.61,-5000,158820,-3%,-993025.0,,,,,PNC
7,,2021-12-02 15:02:29,2021-12-01,PNC,Fallon Kieran John,EVP,S - Sale,202.02,-125,7178,-2%,-25253.0,,,,,PNC
8,,2021-11-17 11:26:10,2021-11-16,PNC,Fallon Kieran John,EVP,S - Sale,204.99,-125,7303,-2%,-25624.0,,,,,PNC
9,,2021-11-03 14:21:15,2021-11-01,PNC,Fallon Kieran John,EVP,S - Sale,213.28,-125,7428,-2%,-26660.0,,,,,PNC
10,,2021-10-27 09:27:02,2021-10-25,PNC,Hannon Michael J,EVP,S - Sale,216.2,-3000,44325,-6%,-648597.0,,,,,PNC
11,,2021-10-19 11:19:48,2021-10-18,PNC,Fallon Kieran John,EVP,S - Sale,197.79,-125,7553,-2%,-24724.0,,,,,PNC
