,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2017-07-18 17:48:22,2017-07-18,PNRA,Shaich Ronald M,"COB, CEO, 10%",D - Sale to issuer,315.0,-1040924,0,-100%,-327891060.0,,,,,PNRA
1,,2017-07-18 17:43:00,2017-07-18,PNRA,Wooldridge Mark D.,"VP, Controller, CAO",D - Sale to issuer,315.0,-1399,0,-100%,-440685.0,,,,,PNRA
2,,2017-07-18 17:33:54,2017-07-18,PNRA,Simpson William Henry Jr.,"SVP, Chief Development Officer",D - Sale to issuer,315.0,-4908,0,-100%,-1546020.0,,,,,PNRA
3,,2017-07-18 17:33:04,2017-07-18,PNRA,Blair Scott G,"SVP, Chief Legal, Franch. Offi",D - Sale to issuer,315.0,-5587,0,-100%,-1759905.0,,,,,PNRA
4,,2017-07-18 17:31:13,2017-07-18,PNRA,Meister John,"SVP, CIO",D - Sale to issuer,315.0,-7992,0,-100%,-2517480.0,,,,,PNRA
5,D,2017-07-18 17:29:40,2017-07-18,PNRA,Koziol Kenneth M,"EVP, Sourcing, Dist., Mfg.",D - Sale to issuer,315.0,-4562,0,-100%,-1437030.0,,,,,PNRA
6,,2017-07-18 17:28:54,2017-07-18,PNRA,Bufano Michael J,"SVP, CFO",D - Sale to issuer,315.0,-5191,0,-100%,-1635165.0,,,,,PNRA
7,,2017-07-18 17:27:57,2017-07-18,PNRA,Hurst Blaine,Pres,D - Sale to issuer,315.0,-14635,0,-100%,-4610025.0,,,,,PNRA
8,,2017-07-18 17:26:56,2017-07-18,PNRA,Chapman Charles J III,"EVP, COO",D - Sale to issuer,315.0,-16743,0,-100%,-5274045.0,,,,,PNRA
9,D,2017-07-18 17:26:01,2017-07-18,PNRA,White James D,Dir,D - Sale to issuer,315.0,-140,0,-100%,-44100.0,,,,,PNRA
10,D,2017-07-18 17:24:54,2017-07-18,PNRA,Stoever Mark,Dir,D - Sale to issuer,315.0,-140,0,-100%,-44100.0,,,,,PNRA
11,D,2017-07-18 17:23:42,2017-07-18,PNRA,Hessan Diane,Dir,D - Sale to issuer,315.0,-706,0,-100%,-222390.0,,,,,PNRA
12,D,2017-07-18 17:22:41,2017-07-18,PNRA,Lynch Thomas E,Dir,D - Sale to issuer,315.0,-6662,0,-100%,-2098530.0,,,,,PNRA
13,D,2017-07-18 17:21:48,2017-07-18,PNRA,Colasacco Domenic,Dir,D - Sale to issuer,315.0,-215492,0,-100%,-67879980.0,,,,,PNRA
14,D,2017-07-18 17:20:47,2017-07-18,PNRA,Foulkes Fred K,Dir,D - Sale to issuer,315.0,-16807,0,-100%,-5294205.0,,,,,PNRA
15,D,2017-07-18 17:19:13,2017-07-18,PNRA,Franklin Larry J,Dir,D - Sale to issuer,315.0,-15906,0,-100%,-5010390.0,,,,,PNRA
16,,2017-07-18 17:16:04,2017-07-18,PNRA,Moreton William W.,Exec Vice-COB,D - Sale to issuer,315.0,-9874,0,-100%,-3110310.0,,,,,PNRA
17,,2017-06-02 14:43:23,2017-05-31,PNRA,Foulkes Fred K,Dir,G - Gift,0.0,-1500,16807,-8%,-0.0,,,,,PNRA
18,M,2017-06-02 13:44:16,2017-01-13,PNRA,Colasacco Domenic,Dir,G - Gift,0.0,9071,215492,-4%,0.0,,,,,PNRA
19,,2017-05-25 16:49:52,2017-05-23,PNRA,Shaich Ronald M,"COB, CEO, 10%",C - Converted deriv,0.0,382000,1040924,-27%,0.0,,,,,PNRA
20,M,2017-05-25 16:49:52,2017-01-13,PNRA,Shaich Ronald M,"COB, CEO, 10%",G - Gift,0.0,-199196,1040924,-16%,-0.0,,,,,PNRA
21,,2017-05-23 16:38:29,2017-05-19,PNRA,Simpson William Henry Jr.,"SVP, Chief Development Officer",F - Tax,313.05,-267,4908,-5%,-83584.0,,,,,PNRA
22,,2017-05-23 16:37:39,2017-05-19,PNRA,Koziol Kenneth M,EVP,F - Tax,313.05,-176,4562,-4%,-55097.0,,,,,PNRA
