,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2015-11-10 16:23:58,2015-11-10,REMY,Poppas Debra E,"SVP Global Engineering, IT",D - Sale to issuer,29.5,-31834,0,-100%,-939103.0,,,,,REMY
1,D,2015-11-10 16:23:43,2015-11-10,REMY,Polen Victor A.,"SVP, Chief Operations Officer",D - Sale to issuer,29.5,-12861,0,-100%,-379400.0,,,,,REMY
2,D,2015-11-10 16:23:30,2015-11-10,REMY,Pallagi Shawn,"SVP, CHRO",D - Sale to issuer,29.5,-38084,0,-100%,-1123478.0,,,,,REMY
3,D,2015-11-10 16:23:12,2015-11-10,REMY,Ammerman Douglas K,Dir,D - Sale to issuer,29.5,-13103,0,-100%,-386539.0,,,,,REMY
4,D,2015-11-10 16:22:53,2015-11-10,REMY,Bitzer Barbara J,"VP, Global Controller",D - Sale to issuer,29.5,-12806,0,-100%,-377777.0,,,,,REMY
5,D,2015-11-10 16:22:34,2015-11-10,REMY,Stout Norman,Dir,D - Sale to issuer,29.5,-52790,0,-100%,-1557305.0,,,,,REMY
6,D,2015-11-10 16:22:34,2015-11-06,REMY,Stout Norman,Dir,G - Gift,0.0,-3390,0,-100%,-0.0,,,,,REMY
7,,2015-11-10 16:22:14,2015-11-10,REMY,Ruchim Arik W,Dir,D - Sale to issuer,29.5,-2801264,0,-100%,-82637288.0,,,,,REMY
8,D,2015-11-10 16:21:56,2015-11-10,REMY,Weber John Howard,Dir,D - Sale to issuer,29.5,-219079,0,-100%,-6462831.0,,,,,REMY
9,D,2015-11-10 16:21:56,2015-11-04,REMY,Weber John Howard,Dir,G - Gift,0.0,-3390,0,-100%,-0.0,,,,,REMY
10,D,2015-11-10 16:21:33,2015-11-10,REMY,Pittas John J.,"Pres, CEO",D - Sale to issuer,29.5,-338759,0,-100%,-9993391.0,,,,,REMY
11,D,2015-11-10 16:21:18,2015-11-10,REMY,Glassman Karl G,Dir,D - Sale to issuer,29.5,-3042,0,-100%,-89739.0,,,,,REMY
12,D,2015-11-10 16:21:00,2015-11-10,REMY,McClure Charles G,Dir,D - Sale to issuer,29.5,-3042,0,-100%,-89739.0,,,,,REMY
13,D,2015-11-10 16:20:47,2015-11-10,REMY,Krall David G,"SVP, GC",D - Sale to issuer,29.5,-14469,0,-100%,-426836.0,,,,,REMY
14,D,2015-11-10 16:20:28,2015-11-10,REMY,Scanlon George P,Dir,D - Sale to issuer,29.5,-22262,0,-100%,-656729.0,,,,,REMY
15,D,2015-11-10 16:20:13,2015-11-10,REMY,Hagenbuch Lawrence F,Dir,D - Sale to issuer,29.5,-56180,0,-100%,-1657310.0,,,,,REMY
16,D,2015-11-10 16:19:59,2015-11-10,REMY,Vandenbergh Albert E.,"SVP, CFO",D - Sale to issuer,29.5,-41069,0,-100%,-1211536.0,,,,,REMY
17,D,2015-05-13 20:08:49,2015-05-11,REMY,Polen Victor A.,"SVP, Chief Operations Officer",A - Grant,0.0,12861,12861,New,0.0,,,,,REMY
18,D,2015-05-13 20:08:36,2015-05-11,REMY,Krall David G,"SVP, GC",A - Grant,0.0,14469,14469,New,0.0,,,,,REMY
19,A,2015-04-24 17:10:11,2014-12-31,REMY,Ammerman Douglas K,Dir,A - Grant,0.0,3090,10059,+44%,0.0,,,,,REMY
20,AM,2015-04-24 17:09:59,2015-02-23,REMY,Ammerman Douglas K,Dir,A - Grant,0.0,3044,13103,+30%,0.0,,,,,REMY
21,ADM,2015-03-04 19:32:43,2015-02-27,REMY,McFeely Mark R.,"SVP, Chief Operations Officer",D - Sale to issuer,0.0,-24645,32600,-43%,-0.0,,,,,REMY
22,ADM,2015-03-04 19:32:43,2015-02-27,REMY,McFeely Mark R.,"SVP, Chief Operations Officer",F - Tax,22.91,-2409,32600,-7%,-55194.0,,,,,REMY
23,,2015-03-04 19:32:27,2015-03-02,REMY,Bitzer Barbara J,"VP, Global Controller",D - Sale to issuer,0.0,-760,12806,-6%,-0.0,,,,,REMY
24,,2015-03-04 19:32:27,2015-03-02,REMY,Bitzer Barbara J,"VP, Global Controller",F - Tax,22.97,-248,12806,-2%,-5697.0,,,,,REMY
25,,2015-03-04 19:32:14,2015-03-02,REMY,Pittas John J.,"Pres, CEO",D - Sale to issuer,0.0,-24815,338759,-7%,-0.0,,,,,REMY
26,,2015-03-04 19:32:14,2015-03-02,REMY,Pittas John J.,"Pres, CEO",F - Tax,22.97,-2531,338759,-1%,-58137.0,,,,,REMY
27,,2015-03-04 19:32:00,2015-03-02,REMY,Weber John Howard,Dir,D - Sale to issuer,0.0,-28571,222469,-11%,-0.0,,,,,REMY
28,,2015-03-04 19:31:42,2015-03-02,REMY,Pallagi Shawn,"SVP, CHRO",D - Sale to issuer,0.0,-5726,38084,-13%,-0.0,,,,,REMY
29,,2015-03-04 19:31:42,2015-03-02,REMY,Pallagi Shawn,"SVP, CHRO",F - Tax,22.97,-562,38084,-1%,-12909.0,,,,,REMY
30,DM,2015-03-03 18:16:16,2015-02-27,REMY,McFeely Mark R.,"SVP, Chief Operations Officer",D - Sale to issuer,0.0,-24823,32479,-43%,-0.0,,,,,REMY
31,DM,2015-03-03 18:16:16,2015-02-27,REMY,McFeely Mark R.,"SVP, Chief Operations Officer",F - Tax,22.91,-2352,32479,-7%,-53884.0,,,,,REMY
32,D,2015-02-25 20:30:00,2015-02-23,REMY,Scanlon George P,Dir,A - Grant,0.0,3042,22262,+16%,0.0,,,,,REMY
33,D,2015-02-25 20:29:46,2015-02-23,REMY,Pallagi Shawn,"SVP, CHRO",A - Grant,0.0,13385,44372,+43%,0.0,,,,,REMY
34,DM,2015-02-25 20:29:46,2015-02-23,REMY,Pallagi Shawn,"SVP, CHRO",F - Tax,23.0,-1727,44372,-4%,-39729.0,,,,,REMY
