,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2018-02-28 16:10:28,2018-02-28,RGC,Anschutz Philip F,10%,D - Sale to issuer,0.0,-36148639,0,-100%,-0.0,,,,,RGC
1,,2018-02-28 13:58:12,2018-02-28,RGC,Campbell Michael L,Dir,D - Sale to issuer,23.0,-703660,0,-100%,-16184180.0,,,,,RGC
2,,2018-02-28 13:50:08,2018-02-28,RGC,Yemenidjian Alex,Dir,D - Sale to issuer,23.0,-21880,0,-100%,-503240.0,,,,,RGC
3,,2018-02-28 13:48:33,2018-02-28,RGC,Tyrrell Jack,Dir,D - Sale to issuer,23.0,-280211,0,-100%,-6444853.0,,,,,RGC
4,,2018-02-28 13:47:38,2018-02-28,RGC,Thomas Lee M,Dir,D - Sale to issuer,23.0,-90211,0,-100%,-2074853.0,,,,,RGC
5,,2018-02-28 13:41:13,2018-02-28,RGC,Keyte David H,Dir,D - Sale to issuer,23.0,-85157,0,-100%,-1958611.0,,,,,RGC
6,,2018-02-28 13:38:53,2018-02-28,RGC,Kaplan Stephen A,Dir,D - Sale to issuer,23.0,-161033,0,-100%,-3703759.0,,,,,RGC
7,,2018-02-28 13:31:03,2018-02-28,RGC,Brymer Charles E,Dir,D - Sale to issuer,23.0,-75777,0,-100%,-1742871.0,,,,,RGC
8,,2018-02-28 13:28:41,2018-02-28,RGC,Bell Thomas D Jr,Dir,D - Sale to issuer,23.0,-132400,0,-100%,-3045200.0,,,,,RGC
9,,2018-02-28 13:26:18,2018-02-28,RGC,Brandow Peter B,"EVP, GC, Sec.",D - Sale to issuer,23.0,-236515,0,-100%,-5439845.0,,,,,RGC
10,,2018-02-28 13:23:40,2018-02-28,RGC,Ownby David,"EVP, CFO, Treasurer",D - Sale to issuer,23.0,-256761,0,-100%,-5905503.0,,,,,RGC
11,,2018-02-28 13:20:41,2018-02-28,RGC,Dunn Gregory W,"Pres, COO",D - Sale to issuer,23.0,-98400,0,-100%,-2263200.0,,,,,RGC
12,,2018-02-28 13:18:38,2018-02-28,RGC,Miles Amy E,CEO,D - Sale to issuer,23.0,-740753,0,-100%,-17037319.0,,,,,RGC
13,,2018-01-30 17:09:14,2018-01-28,RGC,Brandow Peter B,"EVP, GC, Sec.",A - Grant,0.0,17298,236515,+8%,0.0,,,,,RGC
14,,2018-01-30 17:09:14,2018-01-28,RGC,Brandow Peter B,"EVP, GC, Sec.",F - Tax,22.95,-1283,236515,-1%,-29445.0,,,,,RGC
15,,2018-01-30 17:07:14,2018-01-28,RGC,Ownby David,"EVP, CFO, Treasurer",A - Grant,0.0,19416,256761,+8%,0.0,,,,,RGC
16,,2018-01-30 17:07:14,2018-01-28,RGC,Ownby David,"EVP, CFO, Treasurer",F - Tax,22.95,-1440,256761,-1%,-33048.0,,,,,RGC
17,,2018-01-30 17:04:52,2018-01-28,RGC,Dunn Gregory W,"Pres, COO",A - Grant,0.0,23429,98400,+31%,0.0,,,,,RGC
18,,2018-01-30 17:04:52,2018-01-28,RGC,Dunn Gregory W,"Pres, COO",F - Tax,22.95,-1738,98400,-2%,-39887.0,,,,,RGC
19,,2018-01-30 17:02:27,2018-01-28,RGC,Miles Amy E,CEO,A - Grant,0.0,60795,740753,+9%,0.0,,,,,RGC
20,,2018-01-30 17:02:27,2018-01-28,RGC,Miles Amy E,CEO,F - Tax,22.95,-4511,740753,-1%,-103527.0,,,,,RGC
21,M,2018-01-16 17:12:31,2018-01-11,RGC,Brandow Peter B,"EVP, GC, Sec.",F - Tax,22.95,-2861,220500,-1%,-65665.0,,,,,RGC
22,M,2018-01-16 17:10:03,2018-01-11,RGC,Ownby David,"EVP, CFO, Treasurer",F - Tax,22.95,-3210,238785,-1%,-73676.0,,,,,RGC
23,M,2018-01-16 17:07:24,2018-01-11,RGC,Dunn Gregory W,"Pres, COO",F - Tax,22.95,-3873,76709,-5%,-88893.0,,,,,RGC
24,M,2018-01-16 17:04:47,2018-01-11,RGC,Miles Amy E,CEO,F - Tax,22.95,-10047,684469,-1%,-230598.0,,,,,RGC
25,,2018-01-12 17:35:50,2018-01-10,RGC,Dunn Gregory W,"Pres, COO",A - Grant,22.89,23341,80582,+41%,534275.0,,,,,RGC
26,,2018-01-12 17:33:20,2018-01-10,RGC,Brymer Charles E,Dir,A - Grant,22.89,5461,75777,+8%,125002.0,,,,,RGC
27,,2018-01-12 17:30:45,2018-01-10,RGC,Kaplan Stephen A,Dir,A - Grant,22.89,5461,161033,+4%,125002.0,,,,,RGC
28,,2018-01-12 17:28:41,2018-01-10,RGC,Thomas Lee M,Dir,A - Grant,22.89,5461,90211,+6%,125002.0,,,,,RGC
29,,2018-01-12 17:26:52,2018-01-10,RGC,Keyte David H,Dir,A - Grant,22.89,5461,85157,+7%,125002.0,,,,,RGC
30,,2018-01-12 17:24:45,2018-01-10,RGC,Tyrrell Jack,Dir,A - Grant,22.89,5461,280211,+2%,125002.0,,,,,RGC
31,,2018-01-12 17:22:44,2018-01-10,RGC,Bell Thomas D Jr,Dir,A - Grant,22.89,5461,132400,+4%,125002.0,,,,,RGC
32,,2018-01-12 17:20:08,2018-01-10,RGC,Yemenidjian Alex,Dir,A - Grant,22.89,5461,21880,+33%,125002.0,,,,,RGC
33,,2018-01-12 17:18:24,2018-01-10,RGC,Campbell Michael L,Dir,A - Grant,22.89,5461,703660,+1%,125002.0,,,,,RGC
34,,2018-01-12 17:16:07,2018-01-10,RGC,Brandow Peter B,"EVP, GC, Sec.",A - Grant,22.89,17941,223361,+9%,410669.0,,,,,RGC
35,,2018-01-12 17:11:56,2018-01-10,RGC,Ownby David,"EVP, CFO, Treasurer",A - Grant,22.89,20162,241995,+9%,461508.0,,,,,RGC
36,,2018-01-12 17:04:47,2018-01-10,RGC,Miles Amy E,CEO,A - Grant,22.89,81116,694516,+13%,1856745.0,,,,,RGC
37,,2018-01-10 17:15:42,2018-01-08,RGC,Brandow Peter B,"EVP, GC, Sec.",F - Tax,22.87,-7295,205420,-3%,-166837.0,,,,,RGC
