,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-07-19 19:40:48,2021-07-15,RH,Schlesinger Leonard A,Dir,A - Grant,0.0,180,13140,+1%,0.0,,,,,RH
1,,2021-07-19 19:39:43,2021-07-15,RH,Belling Keith,Dir,A - Grant,0.0,180,10639,+2%,0.0,,,,,RH
2,,2021-07-19 19:38:34,2021-07-15,RH,Mitic Kathleen C.,Dir,A - Grant,0.0,180,9905,+2%,0.0,,,,,RH
3,,2021-07-19 19:36:40,2021-07-15,RH,Krane Hilary K,Dir,A - Grant,0.0,180,7254,+3%,0.0,,,,,RH
4,,2021-07-19 19:35:15,2021-07-15,RH,Rowghani Ali,Dir,A - Grant,0.0,180,8591,+2%,0.0,,,,,RH
5,,2021-07-19 19:33:09,2021-07-15,RH,Alberini Carlos,Dir,A - Grant,0.0,180,45982,0%,0.0,,,,,RH
6,,2021-07-19 19:31:34,2021-07-15,RH,Demilio Mark S,Dir,A - Grant,0.0,180,42744,0%,0.0,,,,,RH
7,D,2021-06-21 09:15:04,2021-06-16,RH,Lee Edward T,SEE REMARKS,F - Tax,657.77,-880,2624,-25%,-578838.0,,,,,RH
8,D,2021-06-21 09:15:04,2021-06-16,RH,Lee Edward T,SEE REMARKS,M - OptEx,0.0,2000,2624,+321%,0.0,,,,,RH
9,D,2021-06-21 09:13:33,2021-06-16,RH,Citragno Glenda M,CHIEF ACCOUNTING OFFICER,F - Tax,657.77,-312,1286,-20%,-205224.0,,,,,RH
10,D,2021-06-21 09:13:33,2021-06-16,RH,Citragno Glenda M,CHIEF ACCOUNTING OFFICER,M - OptEx,0.0,840,1286,+188%,0.0,,,,,RH
11,D,2021-06-21 09:12:51,2021-06-16,RH,Preston Jack M,CFO,F - Tax,657.77,-1432,11401,-11%,-941927.0,,,,,RH
12,D,2021-06-21 09:12:51,2021-06-16,RH,Preston Jack M,CFO,M - OptEx,0.0,3000,11401,+36%,0.0,,,,,RH
13,D,2021-06-21 09:11:24,2021-06-16,RH,Price Demonty,See Remarks,F - Tax,657.77,-2847,63911,-4%,-1872671.0,,,,,RH
14,D,2021-06-21 09:11:24,2021-06-16,RH,Price Demonty,See Remarks,M - OptEx,0.0,6000,63911,+10%,0.0,,,,,RH
15,D,2021-05-06 19:48:49,2021-05-04,RH,Chaya Eri,See Remarks,F - Tax,687.2,-6198,73643,-8%,-4259266.0,,,,,RH
16,D,2021-05-06 19:48:49,2021-05-04,RH,Chaya Eri,See Remarks,M - OptEx,0.0,12500,73643,+20%,0.0,,,,,RH
17,D,2021-05-06 19:45:46,2021-05-04,RH,Price Demonty,See Remarks,F - Tax,687.2,-3066,60758,-5%,-2106955.0,,,,,RH
18,D,2021-05-06 19:45:46,2021-05-04,RH,Price Demonty,See Remarks,M - OptEx,0.0,6500,60758,+12%,0.0,,,,,RH
19,D,2020-09-15 20:00:14,2020-09-14,RH,Price Demonty,See Remarks,F - Tax,380.53,-475,57324,-1%,-180752.0,,,,,RH
20,D,2020-09-15 20:00:14,2020-09-14,RH,Price Demonty,See Remarks,M - OptEx,0.0,1000,57324,+2%,0.0,,,,,RH
21,,2020-07-27 06:05:57,2020-07-22,RH,Alberini Carlos,Dir,A - Grant,0.0,456,45802,+1%,0.0,,,,,RH
22,,2020-07-24 20:12:13,2020-07-22,RH,Schlesinger Leonard A,Dir,A - Grant,0.0,456,12960,+4%,0.0,,,,,RH
23,,2020-07-24 20:11:20,2020-07-22,RH,Rowghani Ali,Dir,A - Grant,0.0,456,8411,+6%,0.0,,,,,RH
24,,2020-07-24 20:10:16,2020-07-22,RH,Mitic Kathleen C.,Dir,A - Grant,0.0,456,9725,+5%,0.0,,,,,RH
25,,2020-07-24 20:09:27,2020-07-22,RH,Krane Hilary K,Dir,A - Grant,0.0,456,7074,+7%,0.0,,,,,RH
26,,2020-07-24 20:08:30,2020-07-22,RH,Demilio Mark S,Dir,A - Grant,0.0,456,42564,+1%,0.0,,,,,RH
27,,2020-07-24 20:06:48,2020-07-22,RH,Belling Keith,Dir,A - Grant,0.0,456,10459,+5%,0.0,,,,,RH
28,,2020-07-14 20:02:39,2020-07-13,RH,Stanchak David,See Remarks,G - Gift,0.0,-13452,22726,+145%,-0.0,,,,,RH
29,D,2020-06-18 20:04:53,2020-06-16,RH,Stanchak David,See Remarks,F - Tax,254.9,-1274,22726,-5%,-324743.0,,,,,RH
30,D,2020-06-18 20:04:53,2020-06-16,RH,Stanchak David,See Remarks,M - OptEx,0.0,3000,22726,+15%,0.0,,,,,RH
31,D,2020-06-18 20:03:33,2020-06-16,RH,Price Demonty,See Remarks,F - Tax,254.9,-3278,56799,-5%,-835562.0,,,,,RH
