,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-10 16:26:22,2022-05-06,SLB,Kasibhatla Vijay,"Dir, M, A",S - Sale,43.32,-20000,46529,-30%,-866460.0,,,,,SLB
1,,2022-03-31 16:52:08,2022-03-30,SLB,Jaramillo Claudia,"VP, Treasurer",S - Sale,43.0,-11628,41483,-22%,-500004.0,,,,,SLB
2,,2022-03-04 16:51:36,2022-03-02,SLB,Fyfe Kevin,VP Controller,S - Sale,38.5,-20708,33168,-38%,-797299.0,,,,,SLB
3,,2022-02-22 17:12:53,2022-02-17,SLB,Chereque Pierre,"VP, Dir of Tax",S - Sale,41.03,-10000,120452,-8%,-410323.0,,,,,SLB
4,,2022-02-17 16:50:42,2022-02-15,SLB,Al Mogharbel Khaled,"EVP, Geographies",S - Sale,39.64,-29366,205751,-12%,-1164068.0,,,,,SLB
5,,2022-02-04 17:01:09,2022-02-02,SLB,Chereque Pierre,"VP, Dir of Tax",S - Sale,39.31,-8249,130452,-6%,-324268.0,,,,,SLB
6,,2022-01-28 11:31:43,2022-01-26,SLB,Guild Howard,Chief Accounting Officer,S - Sale,39.02,-25500,47988,-35%,-995010.0,,,,,SLB
7,DM,2022-01-21 20:39:21,2021-04-06,SLB,Le Peuch Olivier,CEO,P - Purchase,29.64,1506,227889,+1%,44637.0,,,,,SLB
8,,2021-12-09 14:17:30,2021-12-08,SLB,Ralston Dianne B.,"GC, Sec",S - Sale,31.04,-12885,12886,-50%,-399963.0,,,,,SLB
9,,2021-05-07 17:56:47,2021-05-06,SLB,Gharbi Hinda,"EVP, Services, Equipment",S - Sale,30.1,-30000,129480,-19%,-902910.0,,,,,SLB
10,,2021-05-07 17:54:03,2021-05-05,SLB,Al Mogharbel Khaled,"EVP, Geographies",S - Sale,30.32,-44632,106897,-29%,-1353242.0,,,,,SLB
11,,2021-03-10 15:19:09,2021-03-09,SLB,Merad Abdellah,"EVP, Performance Management",S - Sale,29.44,-40000,22078,-64%,-1177560.0,,,,,SLB
12,,2021-02-08 15:21:22,2021-02-05,SLB,Guild Howard,Chief Accounting Officer,S - Sale,24.96,-10000,44463,-18%,-249550.0,,,,,SLB
13,,2020-12-08 15:42:21,2020-12-07,SLB,Jaramillo Claudia,"VP, Treasurer",S - Sale,23.11,-4061,15614,-21%,-93861.0,,,,,SLB
14,,2020-12-04 13:30:32,2020-12-03,SLB,Laureles Saul R.,"Dir, Corporate Legal",S - Sale,21.85,-5000,15143,-25%,-109250.0,,,,,SLB
15,M,2020-12-04 13:28:20,2020-12-02,SLB,Belani Ashok,EVP New Energy,S - Sale,21.76,-25000,264724,-9%,-543895.0,,,,,SLB
16,,2020-11-30 18:08:52,2020-11-25,SLB,Fyfe Kevin,VP Controller,S - Sale,22.07,-2981,18773,-14%,-65776.0,,,,,SLB
17,,2020-09-15 14:33:14,2020-09-14,SLB,Le Peuch Olivier,CEO,P - Purchase,17.95,25000,191770,+15%,448850.0,,,,,SLB
18,,2020-08-06 17:07:54,2020-08-05,SLB,Papa Mark G,Dir,P - Purchase,19.46,15000,50131,+43%,291875.0,,,,,SLB
19,,2020-05-29 15:50:36,2020-05-28,SLB,Merad Abdellah,"EVP, Performance Management",S - Sale,19.19,-14822,54750,-21%,-284449.0,,,,,SLB
20,,2020-05-21 16:15:06,2020-05-20,SLB,Schorn Patrick,EVP Wells,S - Sale,17.83,-34468,80000,-30%,-614537.0,,,,,SLB
21,,2020-05-11 17:39:45,2020-05-08,SLB,Juden Alexander C.,"Secretary, GC",S - Sale,17.35,-35000,92103,-28%,-607215.0,,,,,SLB
22,,2020-04-01 14:57:47,2020-03-31,SLB,Le Peuch Olivier,CEO,P - Purchase,13.77,10000,163612,+7%,137650.0,,,,,SLB
23,,2020-03-10 17:32:57,2020-03-09,SLB,Kasibhatla Vijay,"Dir, M, A",P - Purchase,17.05,2000,29762,+7%,34090.0,,,,,SLB
24,,2020-02-05 10:00:55,2020-02-03,SLB,Sonthalia Rajeev,"Pres, IPM",P - Purchase,33.4,1000,13829,+8%,33400.0,,,,,SLB
25,,2019-12-26 16:14:12,2019-12-24,SLB,Ayat Simon,CFO,S - Sale,40.61,-52486,203827,-20%,-2131456.0,,,,,SLB
26,,2019-11-27 11:29:11,2019-11-25,SLB,Al Mogharbel Khaled,"EVP, Operations",S - Sale,37.07,-21385,69872,-23%,-792686.0,,,,,SLB
27,,2019-11-19 17:28:20,2019-11-18,SLB,Laureles Saul R.,"Dir, Corporate Legal",S - Sale,34.72,-4350,5459,-44%,-151032.0,,,,,SLB
