,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-01-24 07:00:11,2022-01-21,IDEX,Poor Alfred,CEO,P - Purchase,1.01,19775,1489125,+1%,19973.0,,,,,SSC
1,,2022-01-21 08:06:10,2022-01-20,IDEX,Poor Alfred,CEO,P - Purchase,1.07,14500,1469350,+1%,15515.0,,,,,SSC
2,,2022-01-13 07:30:25,2022-01-12,IDEX,Poor Alfred,CEO,P - Purchase,1.19,62975,1454850,+5%,75000.0,,,,,SSC
3,D,2021-09-28 18:42:13,2021-07-23,IDEX,McMahon Shane,Exec COB,M - OptEx,0.0,250000,7916208,+3%,0.0,,,,,SSC
4,D,2021-09-28 18:42:13,2021-09-24,IDEX,McMahon Shane,Exec COB,S - Sale+OE,2.06,-500000,7916208,-6%,-1030000.0,,,,,SSC
5,D,2021-01-13 17:09:18,2021-01-13,IDEX,Poor Alfred,CEO,M - OptEx,0.53,125000,125000,New,66250.0,,,,,SSC
6,D,2020-11-09 17:00:40,2020-11-07,IDEX,Poor Alfred,CEO,M - OptEx,0.53,125000,125000,New,66250.0,,,,,SSC
7,,2020-08-26 09:38:06,2020-08-19,IDEX,Wallace John,Dir,D - Sale to issuer,1.24,-320000,806577,-28%,-396800.0,,,,,SSC
8,,2015-06-16 21:24:58,2015-06-12,YOD,Wong Arthur Lap Tat,Dir,P - Purchase,2.32,7298,7298,New,16931.0,1.0,-4.0,-10.0,-16.0,SSC
9,,2014-05-22 15:46:11,2014-05-22,YOD,McMahon Shane,"COB (prin. exec. officer), 10%",P - Purchase,2.19,24600,2324600,+1%,53859.0,2.0,55.0,60.0,0.0,SSC
10,A,2013-04-11 17:59:05,2012-12-19,YOD,McMahon Shane,"CEO, 10%",P - Purchase,1.5,166667,2300000,+8%,250000.0,-3.0,-1.0,15.0,11.0,SSC
11,,2013-01-17 17:26:09,2012-12-19,YOD,McMahon Shane,"CEO, 10%",P - Purchase,1.5,166667,2333334,+8%,250000.0,2.0,1.0,0.0,34.0,SSC
12,,2008-01-15 20:32:02,2008-01-11,CBBD,Ng Clive,"COB, Dir, 10%",S - Sale,0.01,-7017814,26098153,-21%,-70178.0,,,,,SSC
