,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2011-09-22 16:41:49,2011-09-13,TBL,Swartz Jeffrey B,"Pres, CEO, 10%",D - Sale to issuer,43.0,-1132604,0,-100%,-48701972.0,,,,,TBL
1,D,2011-09-22 16:23:09,2011-09-13,TBL,Ussery Terdema L II,Dir,D - Sale to issuer,43.0,-4434,0,-100%,-190662.0,,,,,TBL
2,D,2011-09-22 16:14:39,2011-09-13,TBL,Teffner Carrie W.,CFO,D - Sale to issuer,43.0,-2451,0,-100%,-105393.0,,,,,TBL
3,D,2011-09-22 16:07:56,2011-09-13,TBL,O'Rourke Richard Charles,SVP Interntl,D - Sale to issuer,43.0,-12518,0,-100%,-538274.0,,,,,TBL
4,D,2011-09-22 15:47:52,2011-09-13,TBL,Fitzgerald John J. Jr.,VP - Corp Controller - CAO,D - Sale to issuer,43.0,-11037,0,-100%,-474591.0,,,,,TBL
5,D,2011-09-22 15:37:12,2011-09-13,TBL,Wineberg Danette,"VP, GC, Sec",D - Sale to issuer,43.0,-22541,0,-100%,-969263.0,,,,,TBL
6,D,2011-09-22 15:31:31,2011-09-13,TBL,Welsh Carden N,SVP Chief Admin Officer,D - Sale to issuer,43.0,-16444,0,-100%,-707092.0,,,,,TBL
7,D,2011-09-22 15:31:31,2011-09-09,TBL,Welsh Carden N,SVP Chief Admin Officer,G - Gift,0.0,-6884,0,-100%,-0.0,,,,,TBL
8,D,2011-09-22 15:06:22,2011-09-13,TBL,Harrison Michael J,Chief Brand Officer,D - Sale to issuer,43.0,-66359,0,-100%,-2853437.0,,,,,TBL
9,,2011-09-15 18:56:24,2011-09-13,TBL,Sidney W. Swartz 1982 Family Trust A For Jeffrey Swartz,"CEO, 10%",D - Sale to issuer,43.0,-278204,0,-100%,-11962772.0,,,,,TBL
10,D,2011-09-15 18:15:05,2011-09-13,TBL,Shore Bill,Dir,D - Sale to issuer,43.0,-27738,0,-100%,-1192734.0,,,,,TBL
11,D,2011-09-15 18:05:20,2011-09-13,TBL,Moore Peter R,Dir,D - Sale to issuer,43.0,-8688,0,-100%,-373584.0,,,,,TBL
12,D,2011-09-15 17:59:27,2011-09-13,TBL,Moneypenny Edward W,Dir,D - Sale to issuer,43.0,-9323,0,-100%,-400889.0,,,,,TBL
13,D,2011-09-15 17:53:38,2011-09-13,TBL,Lombard Kenneth T,Dir,D - Sale to issuer,43.0,-12168,0,-100%,-523224.0,,,,,TBL
14,D,2011-09-15 17:47:39,2011-09-13,TBL,Kent Virginia H,Dir,D - Sale to issuer,43.0,-10801,0,-100%,-464443.0,,,,,TBL
15,,2011-08-09 16:47:21,2011-08-09,TBL,Diery Ian W,Dir,S - Sale,42.67,-5000,0,-100%,-213350.0,,,,,TBL
16,D,2011-07-29 14:02:46,2011-07-27,TBL,Diery Ian W,Dir,M - OptEx,23.18,10000,5000,-200%,231800.0,,,,,TBL
17,D,2011-07-29 14:02:46,2011-07-27,TBL,Diery Ian W,Dir,S - Sale+OE,42.79,-10000,5000,-67%,-427900.0,,,,,TBL
18,D,2011-06-20 16:51:33,2011-06-17,TBL,Fitzsimmons John A,Dir,M - OptEx,35.82,8996,0,-100%,322237.0,,,,,TBL
19,D,2011-06-20 16:51:33,2011-06-17,TBL,Fitzsimmons John A,Dir,S - Sale+OE,43.01,-8996,0,-100%,-386918.0,,,,,TBL
20,,2011-06-17 09:31:39,2011-06-15,TBL,Diery Ian W,Dir,S - Sale,43.0,-12168,5000,-71%,-523258.0,,,,,TBL
21,D,2011-06-16 12:49:57,2011-06-14,TBL,Kent Virginia H,Dir,M - OptEx,22.14,10000,10801,>999%,221375.0,,,,,TBL
22,D,2011-06-16 12:49:57,2011-06-14,TBL,Kent Virginia H,Dir,S - Sale+OE,43.0,-10000,10801,-48%,-430002.0,,,,,TBL
23,,2011-06-10 14:08:26,2011-06-03,TBL,Kent Virginia H,Dir,G - Gift,0.0,-10000,10801,>999%,-0.0,,,,,TBL
24,,2011-06-10 14:08:26,2011-06-09,TBL,Kent Virginia H,Dir,S - Sale,30.0,-2500,10801,-19%,-75000.0,,,,,TBL
25,D,2011-05-20 14:06:39,2011-05-19,TBL,Kent Virginia H,Dir,M - OptEx,24.23,5000,13301,+60%,121125.0,,,,,TBL
26,,2011-05-19 14:09:55,2011-05-17,TBL,Fitzsimmons John A,Dir,S - Sale,32.98,-4434,0,-100%,-146249.0,,,,,TBL
27,D,2011-05-17 16:31:40,2011-05-13,TBL,Diery Ian W,Dir,M - OptEx,28.76,9434,17168,+122%,271326.0,,,,,TBL
28,D,2011-05-17 11:24:28,2011-05-13,TBL,Kent Virginia H,Dir,M - OptEx,33.7,4434,8301,+115%,149426.0,,,,,TBL
29,D,2011-05-17 11:18:59,2011-05-13,TBL,Moneypenny Edward W,Dir,M - OptEx,33.7,4434,9323,+91%,149426.0,,,,,TBL
30,D,2011-05-17 11:13:51,2011-05-13,TBL,Lombard Kenneth T,Dir,M - OptEx,33.7,4434,12168,+57%,149426.0,,,,,TBL
31,D,2011-05-17 11:07:15,2011-05-13,TBL,Shore Bill,Dir,M - OptEx,33.7,4434,27738,+19%,149426.0,,,,,TBL
32,D,2011-05-17 11:00:33,2011-05-13,TBL,Ussery Terdema L II,Dir,M - OptEx,33.7,4434,4434,New,149426.0,,,,,TBL
33,D,2011-05-17 10:56:00,2011-05-13,TBL,Fitzsimmons John A,Dir,M - OptEx,33.7,4434,4434,New,149426.0,,,,,TBL
34,D,2011-05-17 10:49:36,2011-05-13,TBL,Moore Peter R,Dir,M - OptEx,33.7,4434,8688,+104%,149426.0,,,,,TBL
35,D,2011-05-10 14:40:09,2011-05-09,TBL,Fitzsimmons John A,Dir,M - OptEx,23.72,58237,0,-100%,1381094.0,,,,,TBL
36,D,2011-05-10 14:40:09,2011-05-09,TBL,Fitzsimmons John A,Dir,S - Sale+OE,32.16,-58237,0,-100%,-1872902.0,,,,,TBL
37,D,2011-04-22 10:35:41,2011-04-20,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,13.0,5913,65396,+10%,76893.0,,,,,TBL
38,D,2011-04-22 10:35:41,2011-04-20,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,44.0,-5913,65396,-8%,-260172.0,,,,,TBL
39,D,2011-04-04 16:46:29,2011-04-01,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,13.0,5913,65396,+10%,76887.0,,,,,TBL
40,D,2011-04-04 16:46:29,2011-04-01,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,42.5,-5913,65396,-8%,-251303.0,,,,,TBL
41,D,2011-03-31 12:02:03,2011-03-30,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,26.87,55913,65396,+590%,1502307.0,,,,,TBL
42,D,2011-03-31 12:02:03,2011-03-31,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,41.01,-55913,65396,-46%,-2292718.0,,,,,TBL
43,D,2011-03-18 09:11:16,2011-03-17,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,25.5,16200,65396,+33%,413019.0,,,,,TBL
44,D,2011-03-18 09:11:16,2011-03-17,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,39.58,-16200,65396,-20%,-641228.0,,,,,TBL
45,D,2011-03-17 09:35:11,2011-03-16,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,25.5,7500,65396,+13%,191213.0,,,,,TBL
46,D,2011-03-17 09:35:11,2011-03-16,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,39.54,-7500,65396,-10%,-296536.0,,,,,TBL
47,D,2011-03-16 14:16:55,2011-03-14,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,13.35,6213,65396,+10%,82919.0,,,,,TBL
48,D,2011-03-16 14:16:55,2011-03-14,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,39.5,-6213,65396,-9%,-245414.0,,,,,TBL
49,,2011-03-09 15:17:29,2011-03-07,TBL,Swartz Jeffrey B,"Pres, CEO, 10%",F - Tax,37.96,-6513,1132604,-1%,-247233.0,,,,,TBL
50,,2011-03-09 14:55:13,2011-03-07,TBL,Harrison Michael J,Chief Brand Officer,F - Tax,37.96,-1238,65396,-2%,-46994.0,,,,,TBL
51,,2011-03-09 14:38:04,2011-03-07,TBL,Welsh Carden N,SVP Chief Admin Officer,F - Tax,37.96,-1238,22854,-5%,-46994.0,,,,,TBL
52,D,2011-03-09 14:16:29,2011-03-07,TBL,Fitzgerald John J. Jr.,VP - Corp Controller - CAO,F - Tax,37.96,-315,10436,-3%,-11957.0,,,,,TBL
53,D,2011-03-09 14:16:29,2011-03-07,TBL,Fitzgerald John J. Jr.,VP - Corp Controller - CAO,M - OptEx,37.96,1190,10436,+13%,45172.0,,,,,TBL
54,D,2011-03-09 14:08:08,2011-03-07,TBL,O'Rourke Richard Charles,SVP Interntl,F - Tax,37.96,-507,12518,-4%,-19246.0,,,,,TBL
55,D,2011-03-09 14:08:08,2011-03-07,TBL,O'Rourke Richard Charles,SVP Interntl,M - OptEx,37.96,994,12518,+9%,37732.0,,,,,TBL
56,D,2011-03-09 13:55:56,2011-03-07,TBL,Wineberg Danette,"VP, GC, Sec",F - Tax,37.96,-342,22324,-2%,-12982.0,,,,,TBL
57,D,2011-03-09 13:55:56,2011-03-07,TBL,Wineberg Danette,"VP, GC, Sec",M - OptEx,37.96,1290,22324,+6%,48968.0,,,,,TBL
58,D,2011-03-04 16:03:04,2011-03-03,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,23.03,29913,66634,+81%,688767.0,,,,,TBL
59,D,2011-03-04 16:03:04,2011-03-03,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,31.11,-29913,66634,-31%,-930483.0,,,,,TBL
60,D,2011-03-02 13:35:57,2011-03-01,TBL,Harrison Michael J,Chief Brand Officer,M - OptEx,25.5,48000,66634,+258%,1223760.0,,,,,TBL
61,D,2011-03-02 13:35:57,2011-03-01,TBL,Harrison Michael J,Chief Brand Officer,S - Sale+OE,37.01,-48000,66634,-42%,-1776523.0,,,,,TBL
62,D,2011-03-01 14:09:40,2011-02-28,TBL,Shore Bill,Dir,M - OptEx,28.5,20000,23304,+605%,570000.0,,,,,TBL
