,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-23 16:40:38,2022-02-18,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale,68.32,-5000,85659,-6%,-341600.0,,,,,TKR
1,D,2021-11-09 16:32:13,2021-11-05,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale+OE,72.71,-9220,77913,-11%,-670386.0,,,,,TKR
2,,2021-05-28 16:15:40,2021-05-27,TKR,Woods Jacqueline F,Dir,S - Sale,87.22,-2300,18088,-11%,-200606.0,,,,,TKR
3,D,2021-05-19 16:56:03,2021-05-18,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,88.96,-37635,296388,-11%,-3348148.0,,,,,TKR
4,,2021-05-17 16:35:20,2021-05-14,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale,89.17,-5000,77913,-6%,-445850.0,,,,,TKR
5,,2021-05-17 16:22:51,2021-05-13,TKR,Landin Bo Hans Olof,Group VP,S - Sale,89.0,-2500,29229,-8%,-222500.0,,,,,TKR
6,,2021-05-13 16:58:30,2021-05-12,TKR,Landin Bo Hans Olof,Group VP,S - Sale,88.56,-2500,31729,-7%,-221400.0,,,,,TKR
7,D,2021-05-11 16:10:47,2021-05-10,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,91.52,-36304,296388,-11%,-3322541.0,,,,,TKR
8,D,2021-05-11 16:09:56,2021-05-10,TKR,Patel Hansal N.,"VP, GC,, Secretary",S - Sale+OE,91.66,-2707,3983,-40%,-248129.0,,,,,TKR
9,D,2021-05-06 17:14:38,2021-05-05,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale+OE,88.41,-12443,82913,-13%,-1100082.0,,,,,TKR
10,D,2021-05-05 16:21:13,2021-05-03,TKR,Myers Ronald J,EVP - HR,S - Sale+OE,85.78,-6283,25561,-20%,-538956.0,,,,,TKR
11,D,2021-05-05 16:20:45,2021-05-03,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,85.14,-36975,296388,-11%,-3148052.0,,,,,TKR
12,D,2021-05-03 17:32:19,2021-04-30,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,84.27,-35546,296388,-11%,-2995523.0,,,,,TKR
13,D,2021-02-26 16:23:52,2021-02-25,TKR,Timken Ward J Jr,Dir,S - Sale+OE,79.3,-73497,574212,-11%,-5828479.0,,,,,TKR
14,D,2021-02-25 16:41:53,2021-02-24,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale+OE,79.4,-3608,87913,-4%,-286475.0,,,,,TKR
15,D,2021-02-23 17:17:11,2021-02-19,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale+OE,74.67,-3653,87913,-4%,-272770.0,,,,,TKR
16,D,2021-02-23 17:16:47,2021-02-22,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,75.08,-23505,296388,-7%,-1764788.0,,,,,TKR
17,D,2021-02-18 16:17:15,2021-02-16,TKR,Myers Ronald J,EVP - HR,S - Sale+OE,74.36,-8537,31844,-21%,-634821.0,,,,,TKR
18,D,2021-02-11 17:02:08,2021-02-09,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,73.84,-57221,234080,-20%,-4224975.0,,,,,TKR
19,D,2020-11-23 16:44:24,2020-11-19,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,71.45,-24712,234080,-10%,-1765598.0,,,,,TKR
20,D,2020-11-17 17:15:49,2020-11-16,TKR,Fracassa Philip D.,"EVP, CFO",S - Sale+OE,72.99,-15514,70681,-18%,-1132293.0,,,,,TKR
21,D,2020-11-17 17:15:32,2020-11-16,TKR,Coughlin Christopher A,"EVP, Group Pres",S - Sale+OE,73.1,-48280,68682,-41%,-3529129.0,,,,,TKR
22,D,2020-11-12 17:37:39,2020-11-10,TKR,Landin Bo Hans Olof,Group VP,S - Sale+OE,70.48,-2830,28926,-9%,-199458.0,,,,,TKR
23,,2020-11-10 17:32:30,2020-11-09,TKR,Woods Jacqueline F,Dir,S - Sale,67.29,-1600,17228,-8%,-107664.0,,,,,TKR
24,D,2020-11-10 17:32:11,2020-11-09,TKR,Kyle Richard G,"Pres, CEO",S - Sale+OE,67.94,-33295,234080,-12%,-2262062.0,,,,,TKR
25,D,2020-11-10 17:31:54,2020-11-09,TKR,Patel Hansal N.,"VP, GC,, Secretary",S - Sale+OE,67.58,-2087,2251,-48%,-141042.0,,,,,TKR
26,D,2020-11-05 17:18:13,2020-11-04,TKR,Myers Ronald J,EVP - HR,S - Sale+OE,61.83,-7760,24002,-24%,-479801.0,,,,,TKR
