,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2018-02-02 16:02:36,2018-01-31,TNH,Bailey Coley L,Dir,D - Sale to issuer,84.27,-874,0,-100%,-73666.0,,,,,TNH
1,D,2018-02-02 16:02:36,2018-01-31,TNH,Bailey Coley L,Dir,A - Grant,84.27,874,0,-100%,73666.0,,,,,TNH
2,D,2017-02-07 16:22:51,2017-02-03,TNH,Lloyd Anne H,Dir,D - Sale to issuer,108.76,-460,0,-100%,-49978.0,0.0,1.0,-12.0,,TNH
3,D,2017-02-07 16:22:51,2017-02-03,TNH,Lloyd Anne H,Dir,A - Grant,108.76,460,0,-100%,49978.0,0.0,1.0,-12.0,,TNH
4,D,2017-02-07 16:22:06,2017-02-03,TNH,Bailey Coley L,Dir,D - Sale to issuer,108.76,-919,0,-100%,-99957.0,0.0,1.0,-12.0,,TNH
5,D,2017-02-07 16:22:06,2017-02-03,TNH,Bailey Coley L,Dir,A - Grant,108.76,919,0,-100%,99957.0,0.0,1.0,-12.0,,TNH
6,D,2016-02-09 16:32:05,2016-02-05,TNH,Bailey Coley L,Dir,D - Sale to issuer,97.84,-745,0,-100%,-72905.0,0.0,2.0,5.0,11.0,TNH
7,D,2016-02-09 16:32:05,2016-02-05,TNH,Bailey Coley L,Dir,A - Grant,97.84,745,0,-100%,72905.0,0.0,2.0,5.0,11.0,TNH
8,D,2016-02-09 16:31:50,2016-02-05,TNH,Lloyd Anne H,Dir,A - Grant,97.84,373,0,-100%,36453.0,0.0,2.0,5.0,11.0,TNH
9,D,2016-02-09 16:31:50,2016-02-05,TNH,Lloyd Anne H,Dir,D - Sale to issuer,97.84,-373,0,-100%,-36453.0,0.0,2.0,5.0,11.0,TNH
10,D,2015-02-06 17:32:43,2015-02-05,TNH,Bailey Coley L,Dir,D - Sale to issuer,121.5,-538,0,-100%,-65358.0,2.0,5.0,21.0,-4.0,TNH
11,D,2015-02-06 17:32:43,2015-02-05,TNH,Bailey Coley L,Dir,A - Grant,121.5,538,0,-100%,65358.0,2.0,5.0,21.0,-4.0,TNH
12,D,2015-02-06 17:32:28,2015-02-05,TNH,Jackson Michael A,Dir,D - Sale to issuer,121.5,-538,0,-100%,-65358.0,2.0,5.0,21.0,-4.0,TNH
13,D,2015-02-06 17:32:28,2015-02-05,TNH,Jackson Michael A,Dir,A - Grant,121.5,538,0,-100%,65358.0,2.0,5.0,21.0,-4.0,TNH
14,D,2015-02-06 17:32:13,2015-02-05,TNH,Lloyd Anne H,Dir,D - Sale to issuer,121.5,-538,0,-100%,-65358.0,2.0,5.0,21.0,-4.0,TNH
15,D,2015-02-06 17:32:13,2015-02-05,TNH,Lloyd Anne H,Dir,A - Grant,121.5,538,0,-100%,65358.0,2.0,5.0,21.0,-4.0,TNH
16,D,2014-02-04 17:44:40,2014-01-31,TNH,Bailey Coley L,Dir,D - Sale to issuer,156.0,-442,0,-100%,-68988.0,3.0,5.0,10.0,0.0,TNH
17,D,2014-02-04 17:44:40,2014-01-31,TNH,Bailey Coley L,Dir,A - Grant,156.0,442,0,-100%,68988.0,3.0,5.0,10.0,0.0,TNH
18,D,2014-02-04 17:44:11,2014-01-31,TNH,Jackson Michael A,Dir,D - Sale to issuer,156.0,-442,0,-100%,-68988.0,3.0,5.0,10.0,0.0,TNH
19,D,2014-02-04 17:44:11,2014-01-31,TNH,Jackson Michael A,Dir,A - Grant,156.0,442,0,-100%,68988.0,3.0,5.0,10.0,0.0,TNH
20,D,2014-02-04 17:43:42,2014-01-31,TNH,Lloyd Anne H,Dir,D - Sale to issuer,156.0,-221,0,-100%,-34495.0,3.0,5.0,10.0,0.0,TNH
21,D,2014-02-04 17:43:42,2014-01-31,TNH,Lloyd Anne H,Dir,A - Grant,156.0,221,0,-100%,34495.0,3.0,5.0,10.0,0.0,TNH
22,D,2013-02-01 16:33:00,2013-01-30,TNH,Bailey Coley L,Dir,D - Sale to issuer,237.46,-595,0,-100%,-141330.0,-1.0,0.0,-4.0,-8.0,TNH
23,D,2013-02-01 16:33:00,2013-01-30,TNH,Bailey Coley L,Dir,A - Grant,237.46,595,0,-100%,141330.0,-1.0,0.0,-4.0,-8.0,TNH
24,D,2013-02-01 16:32:41,2013-01-30,TNH,Lloyd Anne H,Dir,D - Sale to issuer,237.46,-595,0,-100%,-141330.0,-1.0,0.0,-4.0,-8.0,TNH
25,D,2013-02-01 16:32:41,2013-01-30,TNH,Lloyd Anne H,Dir,A - Grant,237.46,595,0,-100%,141330.0,-1.0,0.0,-4.0,-8.0,TNH
26,D,2013-02-01 16:32:39,2013-01-30,TNH,Jackson Michael A,Dir,D - Sale to issuer,237.46,-595,0,-100%,-141330.0,-1.0,0.0,-4.0,-8.0,TNH
27,D,2013-02-01 16:32:39,2013-01-30,TNH,Jackson Michael A,Dir,A - Grant,237.46,595,0,-100%,141330.0,-1.0,0.0,-4.0,-8.0,TNH
28,D,2012-02-07 10:51:32,2012-02-03,TNH,Jackson Michael A,Dir,D - Sale to issuer,187.85,-977,0,-100%,-183518.0,1.0,8.0,11.0,20.0,TNH
