,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-24 17:13:30,2022-02-22,TWLO,Shipchandler Khozema,COO,S - Sale,156.78,-3550,59591,-6%,-556569.0,,,,,TWLO
1,,2022-02-17 17:00:22,2022-02-15,TWLO,Shipchandler Khozema,COO,S - Sale,199.05,-3380,63141,-5%,-672786.0,,,,,TWLO
2,,2022-02-17 16:57:49,2022-02-15,TWLO,Manor Eyal,Chief Product Officer,S - Sale,199.01,-3088,122356,-2%,-614532.0,,,,,TWLO
3,,2022-02-17 16:54:57,2022-02-15,TWLO,Boroditsky Marc,Chief Revenue Officer,S - Sale,199.04,-2562,57314,-4%,-509940.0,,,,,TWLO
4,,2022-02-17 16:51:59,2022-02-15,TWLO,Lawson Jeff,"CEO, 10%",F - Tax,195.71,-2430,138862,-2%,-475575.0,,,,,TWLO
5,,2022-02-17 16:51:59,2022-02-15,TWLO,Lawson Jeff,"CEO, 10%",G - Gift,0.0,-7866,138862,+6%,-0.0,,,,,TWLO
6,D,2022-02-03 17:01:41,2022-02-01,TWLO,Shipchandler Khozema,COO,M - OptEx,76.63,3215,66521,+5%,246365.0,,,,,TWLO
7,D,2022-02-03 17:01:41,2022-02-01,TWLO,Shipchandler Khozema,COO,S - Sale+OE,210.0,-3215,66521,-5%,-675150.0,,,,,TWLO
8,,2022-01-21 18:17:16,2022-01-19,TWLO,Boroditsky Marc,Chief Revenue Officer,S - Sale,208.21,-1000,59876,-2%,-208210.0,,,,,TWLO
9,,2022-01-21 18:14:26,2022-01-20,TWLO,Wagner Dana,"GC, Secretary",A - Grant,0.0,63291,63291,New,0.0,,,,,TWLO
10,,2022-01-10 17:08:58,2022-01-06,TWLO,Shipchandler Khozema,COO,S - Sale,232.71,-1236,66521,-2%,-287630.0,,,,,TWLO
11,D,2022-01-04 21:12:48,2022-01-03,TWLO,Shipchandler Khozema,COO,M - OptEx,76.63,3215,67757,+5%,246365.0,,,,,TWLO
12,DM,2022-01-04 21:12:48,2021-12-31,TWLO,Shipchandler Khozema,COO,S - Sale+OE,265.46,-4395,67757,-6%,-1166705.0,,,,,TWLO
13,D,2022-01-04 21:10:10,2022-01-03,TWLO,Lawson Jeff,"CEO, 10%",C - Converted deriv,0.0,14000,141292,-9%,0.0,,,,,TWLO
14,D,2022-01-04 21:10:10,2021-12-31,TWLO,Lawson Jeff,"CEO, 10%",F - Tax,0.0,-10763,141292,-7%,-0.0,,,,,TWLO
15,D,2022-01-04 21:10:10,2021-12-31,TWLO,Lawson Jeff,"CEO, 10%",G - Gift,0.0,-21884,141292,+18%,-0.0,,,,,TWLO
16,D,2022-01-04 21:10:10,2022-01-03,TWLO,Lawson Jeff,"CEO, 10%",S - Sale+OE,264.0,-14000,141292,-9%,-3696000.0,,,,,TWLO
17,D,2021-12-22 17:13:06,2021-12-20,TWLO,Manor Eyal,Chief Product Officer,A - Grant,0.0,125444,125444,New,0.0,,,,,TWLO
18,,2021-12-22 17:09:56,2021-12-20,TWLO,Boroditsky Marc,Chief Revenue Officer,S - Sale,267.4,-1000,60876,-2%,-267400.0,,,,,TWLO
19,,2021-12-17 17:15:46,2021-12-15,TWLO,Deeter Byron B,Dir,A - Grant,0.0,259,523348,0%,0.0,,,,,TWLO
20,,2021-12-17 17:05:12,2021-12-15,TWLO,Epstein Jeff,Dir,A - Grant,0.0,297,45278,+1%,0.0,,,,,TWLO
21,,2021-12-17 17:03:36,2021-12-15,TWLO,Dubinsky Donna,Dir,A - Grant,0.0,266,5456,+5%,0.0,,,,,TWLO
22,,2021-12-17 17:03:36,2021-12-15,TWLO,Dubinsky Donna,Dir,G - Gift,0.0,-532,5456,+11%,-0.0,,,,,TWLO
23,,2021-12-17 16:48:29,2021-12-15,TWLO,Rottenberg Erika,Dir,A - Grant,0.0,276,7929,+4%,0.0,,,,,TWLO
24,,2021-12-17 16:48:29,2021-12-15,TWLO,Rottenberg Erika,Dir,G - Gift,0.0,-552,7929,+7%,-0.0,,,,,TWLO
25,D,2021-12-17 16:46:15,2021-12-15,TWLO,Dalzell Richard L,Dir,A - Grant,0.0,259,13403,+2%,0.0,,,,,TWLO
26,DM,2021-12-17 16:46:15,2021-12-15,TWLO,Dalzell Richard L,Dir,C - Converted deriv,0.0,1500,13403,-10%,0.0,,,,,TWLO
27,DM,2021-12-17 16:46:15,2021-12-15,TWLO,Dalzell Richard L,Dir,S - Sale+OE,260.58,-1500,13403,-10%,-390875.0,,,,,TWLO
28,,2021-12-17 16:42:19,2021-12-15,TWLO,Patrick Deval L,Dir,A - Grant,0.0,263,2058,+15%,0.0,,,,,TWLO
29,,2021-12-17 16:39:59,2021-12-15,TWLO,Immelt Jeffrey R,Dir,A - Grant,0.0,263,17025,+2%,0.0,,,,,TWLO
30,,2021-12-17 16:37:37,2021-12-15,TWLO,Donio Elena A.,Dir,A - Grant,0.0,272,12008,+2%,0.0,,,,,TWLO
31,D,2021-12-15 16:53:09,2021-12-13,TWLO,Lawson Jeff,"CEO, 10%",C - Converted deriv,0.0,14000,152055,-8%,0.0,,,,,TWLO
32,D,2021-12-15 16:53:09,2021-12-13,TWLO,Lawson Jeff,"CEO, 10%",S - Sale+OE,262.82,-14000,152055,-8%,-3679527.0,,,,,TWLO
33,,2021-12-07 18:04:08,2021-12-03,TWLO,Dubinsky Donna,Dir,S - Sale,265.8,-505,5190,-9%,-134229.0,,,,,TWLO
34,,2021-12-07 18:02:16,2021-12-03,TWLO,Smith Karyn,"GC, Secretary",G - Gift,0.0,-3483,31027,-10%,-0.0,,,,,TWLO
35,D,2021-12-03 17:24:34,2021-12-01,TWLO,Smith Karyn,"GC, Secretary",C - Converted deriv,0.0,22977,34510,-40%,0.0,,,,,TWLO
36,D,2021-12-03 17:24:34,2021-12-01,TWLO,Smith Karyn,"GC, Secretary",M - OptEx,50.79,26581,34510,+335%,1349993.0,,,,,TWLO
37,D,2021-12-03 17:24:34,2021-12-01,TWLO,Smith Karyn,"GC, Secretary",S - Sale+OE,272.93,-39648,34510,-53%,-10820917.0,,,,,TWLO
38,D,2021-12-03 17:18:33,2021-12-01,TWLO,Shipchandler Khozema,COO,M - OptEx,76.63,3224,68937,+5%,247055.0,,,,,TWLO
39,D,2021-12-03 17:18:33,2021-12-01,TWLO,Shipchandler Khozema,COO,S - Sale+OE,284.61,-3224,68937,-4%,-917583.0,,,,,TWLO
40,,2021-11-23 17:57:23,2021-11-22,TWLO,Shipchandler Khozema,COO,S - Sale,284.0,-3504,68937,-5%,-995136.0,,,,,TWLO
41,,2021-11-19 19:18:59,2021-11-18,TWLO,Smith Karyn,"GC, Secretary",S - Sale,290.16,-3535,24600,-13%,-1025716.0,,,,,TWLO
42,,2021-11-17 19:15:17,2021-11-15,TWLO,Smith Karyn,"GC, Secretary",G - Gift,0.0,-1762,28135,+7%,-0.0,,,,,TWLO
43,,2021-11-17 19:15:17,2021-11-15,TWLO,Smith Karyn,"GC, Secretary",S - Sale,304.93,-1043,28135,-4%,-318046.0,,,,,TWLO
44,,2021-11-17 19:13:25,2021-11-15,TWLO,Shipchandler Khozema,COO,S - Sale,305.07,-3427,72441,-5%,-1045482.0,,,,,TWLO
45,D,2021-11-17 19:11:42,2021-11-15,TWLO,Lawson Jeff,"CEO, 10%",C - Converted deriv,0.0,14000,152055,-8%,0.0,,,,,TWLO
46,D,2021-11-17 19:11:42,2021-11-15,TWLO,Lawson Jeff,"CEO, 10%",F - Tax,0.0,-3155,152055,-2%,-0.0,,,,,TWLO
47,D,2021-11-17 19:11:42,2021-11-15,TWLO,Lawson Jeff,"CEO, 10%",G - Gift,0.0,-6414,152055,+4%,-0.0,,,,,TWLO
48,D,2021-11-17 19:11:42,2021-11-15,TWLO,Lawson Jeff,"CEO, 10%",S - Sale+OE,304.78,-14000,152055,-8%,-4266928.0,,,,,TWLO
49,D,2021-11-17 19:09:24,2021-11-16,TWLO,Dalzell Richard L,Dir,C - Converted deriv,0.0,1500,13144,-10%,0.0,,,,,TWLO
50,D,2021-11-17 19:09:24,2021-11-16,TWLO,Dalzell Richard L,Dir,S - Sale+OE,308.5,-1500,13144,-10%,-462750.0,,,,,TWLO
51,D,2021-11-15 19:10:46,2021-11-11,TWLO,Hu George,Strategic Advisor,M - OptEx,31.72,12608,98870,+15%,399926.0,,,,,TWLO
52,,2021-11-15 18:59:55,2021-11-11,TWLO,Immelt Jeffrey R,Dir,P - Purchase,295.82,3400,16762,+25%,1005796.0,,,,,TWLO
53,D,2021-11-15 18:53:54,2021-11-11,TWLO,Shipchandler Khozema,COO,A - Grant,0.0,7487,75868,+11%,0.0,,,,,TWLO
54,D,2021-10-18 18:30:11,2021-10-15,TWLO,Dalzell Richard L,Dir,C - Converted deriv,0.0,1500,13144,-10%,0.0,,,,,TWLO
55,D,2021-10-18 18:30:11,2021-10-15,TWLO,Dalzell Richard L,Dir,S - Sale+OE,357.22,-1500,13144,-10%,-535830.0,,,,,TWLO
56,D,2021-10-18 18:25:50,2021-10-14,TWLO,Shipchandler Khozema,CFO,M - OptEx,117.94,4841,68381,+8%,570948.0,,,,,TWLO
57,D,2021-10-18 18:25:50,2021-10-14,TWLO,Shipchandler Khozema,CFO,S - Sale+OE,353.0,-4841,68381,-7%,-1708873.0,,,,,TWLO
58,D,2021-10-18 18:21:05,2021-10-14,TWLO,Lawson Jeff,"CEO, 10%",C - Converted deriv,0.0,14000,155210,-8%,0.0,,,,,TWLO
59,D,2021-10-18 18:21:05,2021-10-14,TWLO,Lawson Jeff,"CEO, 10%",S - Sale+OE,353.0,-14000,155210,-8%,-4942000.0,,,,,TWLO
60,,2021-10-07 16:51:01,2021-10-05,TWLO,Shipchandler Khozema,CFO,S - Sale,312.38,-1223,68381,-2%,-382041.0,,,,,TWLO
61,D,2021-10-06 17:43:56,2021-10-04,TWLO,Lawson Jeff,"CEO, 10%",C - Converted deriv,0.0,14000,155210,-8%,0.0,,,,,TWLO
62,D,2021-10-06 17:43:56,2021-10-04,TWLO,Lawson Jeff,"CEO, 10%",S - Sale+OE,318.22,-14000,155210,-8%,-4455034.0,,,,,TWLO
63,D,2021-10-04 17:59:57,2021-10-01,TWLO,Shipchandler Khozema,CFO,M - OptEx,76.63,3225,69604,+5%,247132.0,,,,,TWLO
64,DM,2021-10-04 17:59:57,2021-09-30,TWLO,Shipchandler Khozema,CFO,S - Sale+OE,318.26,-4417,69604,-6%,-1405746.0,,,,,TWLO
65,,2021-10-04 17:53:58,2021-09-30,TWLO,Lawson Jeff,"CEO, 10%",F - Tax,312.8,-2343,155210,-1%,-732890.0,,,,,TWLO
