,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-05-20 16:18:10,2022-05-19,TWO,Kasnet Stephen G,Dir,S - Sale,5.0,-19213,229692,-8%,-96002.0,,,,,TWO
1,,2022-05-20 16:16:18,2022-05-19,TWO,Bender James J,Dir,S - Sale,5.0,-6153,75687,-8%,-30750.0,,,,,TWO
2,,2022-05-20 16:13:02,2022-05-19,TWO,Abraham Spencer,Dir,S - Sale,5.0,-6153,77547,-7%,-30749.0,,,,,TWO
3,,2022-02-01 16:27:20,2022-01-31,TWO,Greenberg William Ross,"Pres, CEO, CIO",S - Sale,5.71,-16680,383384,-4%,-95174.0,,,,,TWO
4,,2022-02-01 16:25:27,2022-01-31,TWO,Sandberg Rebecca B,"GC, Secretary",S - Sale,5.68,-18169,278737,-6%,-103222.0,,,,,TWO
5,,2022-02-01 16:22:50,2022-01-31,TWO,Riskey Mary Kathryn,CFO,S - Sale,5.69,-13998,179840,-7%,-79709.0,,,,,TWO
6,M,2021-08-12 16:10:55,2021-08-10,TWO,Koeppen Matthew,Former Chief Inv. Officer,S - Sale,6.44,-294913,33500,-90%,-1899379.0,,,,,TWO
7,,2021-05-20 16:20:20,2021-05-18,TWO,Siering Thomas,Dir,S - Sale,7.23,-52376,760966,-6%,-378804.0,,,,,TWO
8,M,2021-05-17 17:20:13,2021-05-13,TWO,Siering Thomas,Dir,S - Sale,7.01,-300000,813342,-27%,-2104380.0,,,,,TWO
9,,2021-02-18 16:27:12,2021-02-17,TWO,Koeppen Matthew,Chief Investment Officer,P - Purchase,6.66,20000,171071,+13%,133292.0,,,,,TWO
10,M,2021-02-18 16:23:34,2021-02-17,TWO,Greenberg William Ross,"Pres, CEO",P - Purchase,6.58,35000,190274,+23%,230183.0,,,,,TWO
11,M,2021-02-02 17:39:30,2021-01-29,TWO,Sandberg Rebecca B,"GC, Secretary",S - Sale,6.06,-25887,185018,-12%,-156923.0,,,,,TWO
12,M,2021-02-02 17:37:45,2021-01-29,TWO,Riskey Mary Kathryn,CFO,S - Sale,6.06,-16351,95938,-15%,-99109.0,,,,,TWO
13,M,2021-02-02 17:21:23,2021-01-29,TWO,Koeppen Matthew,Chief Investment Officer,S - Sale,6.08,-18391,151071,-11%,-111731.0,,,,,TWO
14,M,2021-02-02 17:18:48,2021-01-29,TWO,Greenberg William Ross,"Pres, CEO",S - Sale,6.08,-32022,155274,-17%,-194548.0,,,,,TWO
15,M,2020-01-31 16:26:04,2020-01-29,TWO,Sandberg Rebecca B,"GC, Secretary",S - Sale,15.16,-14812,211127,-7%,-224604.0,,,,,TWO
16,M,2020-01-31 16:24:48,2020-01-29,TWO,Riskey Mary Kathryn,CFO,S - Sale,15.17,-7795,112289,-6%,-118220.0,,,,,TWO
17,M,2020-01-31 16:23:13,2020-01-29,TWO,Koeppen Matthew,Co-Chief Investment Officer,S - Sale,15.18,-7708,169462,-4%,-117035.0,,,,,TWO
18,M,2020-01-31 16:21:38,2020-01-29,TWO,Greenberg William Ross,Co-Chief Investment Officer,S - Sale,15.19,-14042,187296,-7%,-213301.0,,,,,TWO
19,,2020-01-28 17:15:30,2020-01-27,TWO,Greenberg William Ross,Co-Chief Investment Officer,S - Sale,15.13,-7146,102849,-6%,-108122.0,,,,,TWO
20,,2020-01-28 17:13:47,2020-01-27,TWO,Sandberg Rebecca B,"GC, Secretary",S - Sale,15.09,-4503,156997,-3%,-67951.0,,,,,TWO
21,,2020-01-28 17:11:35,2020-01-27,TWO,Riskey Mary Kathryn,CFO,S - Sale,15.1,-1524,67557,-2%,-23020.0,,,,,TWO
22,,2020-01-28 17:08:26,2020-01-27,TWO,Koeppen Matthew,Co-Chief Investment Officer,S - Sale,15.11,-3947,78681,-5%,-59629.0,,,,,TWO
23,,2019-11-13 17:39:00,2019-11-12,TWO,Siering Thomas,"CEO, Pres",P - Purchase,14.42,4000,1113342,0%,57680.0,,,,,TWO
24,,2019-08-22 16:05:21,2019-08-22,TWO,Hammond Karen,Dir,P - Purchase,13.3,5600,47262,+13%,74476.0,,,,,TWO
25,,2019-08-15 16:40:02,2019-08-14,TWO,Siering Thomas,"CEO, Pres",P - Purchase,13.11,5000,1109342,0%,65548.0,,,,,TWO
26,,2019-02-21 16:39:26,2019-02-20,TWO,Siering Thomas,"CEO, Pres",P - Purchase,13.8,3500,1104342,0%,48290.0,,,,,TWO
27,M,2019-01-30 18:01:47,2019-01-28,TWO,Roth William,Chief Investment Officer,S - Sale,14.46,-58040,691497,-8%,-839095.0,,,,,TWO
28,M,2019-01-30 18:00:01,2019-01-28,TWO,Riskey Mary Kathryn,Acting CFO,S - Sale,14.47,-5645,69081,-8%,-81707.0,,,,,TWO
29,M,2019-01-30 17:57:36,2019-01-28,TWO,Sandberg Rebecca B,"GC, Secretary",S - Sale,14.47,-16073,161500,-9%,-232519.0,,,,,TWO
30,M,2019-01-30 17:55:49,2019-01-28,TWO,Farrell Brad,"CFO, Treasurer",S - Sale,14.48,-29095,241917,-11%,-421368.0,,,,,TWO
31,,2018-11-19 16:22:09,2018-11-15,TWO,Farrell Brad,"CFO, Treasurer",S - Sale,14.28,-4000,271012,-1%,-57121.0,,,,,TWO
32,,2018-11-13 16:20:22,2018-11-12,TWO,Siering Thomas,"CEO, Pres",P - Purchase,14.41,3500,1080009,0%,50418.0,,,,,TWO
33,,2018-08-20 16:38:43,2018-08-17,TWO,Bender James J,Dir,S - Sale,15.6,-3460,24065,-13%,-53976.0,,,,,TWO
34,,2018-08-16 16:23:35,2018-08-15,TWO,Siering Thomas,"CEO, Pres",P - Purchase,15.41,5000,1076509,0%,77041.0,,,,,TWO
