,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-10 18:08:54,2022-03-08,TWTR,Segal Ned D.,CFO,S - Sale,32.27,-5000,527129,-1%,-161350.0,,,,,TWTR
1,,2022-03-03 18:16:34,2022-03-01,TWTR,Gadde Vijaya,GC,F - Tax,35.55,-11057,741433,-1%,-393076.0,,,,,TWTR
2,,2022-03-03 18:16:34,2022-03-01,TWTR,Gadde Vijaya,GC,A - Grant,0.0,22299,741433,+3%,0.0,,,,,TWTR
3,,2022-03-03 18:15:08,2022-03-01,TWTR,Segal Ned D.,CFO,F - Tax,35.55,-13183,532129,-2%,-468656.0,,,,,TWTR
4,,2022-03-03 18:15:08,2022-03-01,TWTR,Segal Ned D.,CFO,A - Grant,0.0,26587,532129,+5%,0.0,,,,,TWTR
5,,2022-03-03 18:13:53,2022-03-01,TWTR,Agrawal Parag,CEO,F - Tax,35.55,-13705,507473,-3%,-487213.0,,,,,TWTR
6,,2022-03-03 18:13:53,2022-03-01,TWTR,Agrawal Parag,CEO,A - Grant,0.0,27641,507473,+6%,0.0,,,,,TWTR
7,,2022-03-01 17:48:17,2022-02-27,TWTR,Pichette Patrick,Chair,F - Tax,35.29,-4,24823,0%,-141.0,,,,,TWTR
8,,2022-02-11 21:08:37,2022-02-08,TWTR,Segal Ned D.,CFO,S - Sale,35.35,-5000,518725,-1%,-176750.0,,,,,TWTR
9,,2022-02-03 19:05:32,2022-02-01,TWTR,Gadde Vijaya,GC,F - Tax,37.51,-10796,730191,-1%,-404958.0,,,,,TWTR
10,,2022-02-03 19:03:12,2022-02-01,TWTR,Kaiden Robert,Chief Accounting Officer,S - Sale,37.04,-5614,96543,-5%,-207926.0,,,,,TWTR
11,,2022-02-03 19:00:13,2022-02-01,TWTR,Personette Sarah,Customers Lead,F - Tax,37.51,-9091,329203,-3%,-341003.0,,,,,TWTR
