,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2018-12-21 11:22:07,2018-12-20,VLP,Gorder Joseph W,"COB, CEO",G - Gift,0.0,-50000,0,-100%,-0.0,,,,,VLP
1,,2018-12-19 18:31:44,2018-12-17,VLP,Browning Jay D.,"EVP, GC",G - Gift,0.0,-5500,0,-100%,-0.0,,,,,VLP
2,,2018-12-19 18:10:38,2018-12-17,VLP,Lashway Richard F.,"Pres, COO",G - Gift,0.0,-2440,7560,-24%,-0.0,,,,,VLP
3,,2018-01-05 12:51:39,2018-01-04,VLP,Larson Randall J,Dir,A - Grant,0.0,1966,29168,+7%,0.0,,,,,VLP
4,,2018-01-05 12:44:30,2018-01-04,VLP,Fretthold Timothy J.,Dir,A - Grant,0.0,1966,19168,+11%,0.0,,,,,VLP
5,,2018-01-05 12:38:46,2018-01-04,VLP,Beadle Robert S.,Dir,A - Grant,0.0,1966,19168,+11%,0.0,,,,,VLP
6,,2017-01-06 16:17:33,2017-01-05,VLP,Larson Randall J,Dir,A - Grant,0.0,1999,27202,+8%,0.0,0.0,-1.0,6.0,,VLP
7,,2017-01-06 16:11:39,2017-01-05,VLP,Fretthold Timothy J.,Dir,A - Grant,0.0,1999,17202,+13%,0.0,0.0,-1.0,6.0,,VLP
8,,2017-01-06 16:02:02,2017-01-05,VLP,Beadle Robert S.,Dir,A - Grant,0.0,1999,17202,+13%,0.0,0.0,-1.0,6.0,,VLP
9,D,2016-08-12 17:01:45,2016-08-10,VLP,Valero Energy Corp/tx,10%,C - Converted deriv,0.0,28789989,44537366,-39%,0.0,0.0,-1.0,0.0,23.0,VLP
10,,2016-02-17 17:15:22,2016-02-12,VLP,Larson Randall J,Dir,P - Purchase,41.82,5000,25203,+25%,209091.0,2.0,4.0,15.0,-2.0,VLP
11,,2016-01-15 16:12:40,2016-01-14,VLP,Larson Randall J,Dir,A - Grant,0.0,1986,20203,+11%,0.0,-5.0,4.0,-2.0,-1.0,VLP
12,,2016-01-15 16:08:28,2016-01-14,VLP,Fretthold Timothy J.,Dir,A - Grant,0.0,1986,15203,+15%,0.0,-5.0,4.0,-2.0,-1.0,VLP
13,,2016-01-15 16:03:23,2016-01-14,VLP,Beadle Robert S.,Dir,A - Grant,0.0,1986,15203,+15%,0.0,-5.0,4.0,-2.0,-1.0,VLP
14,,2015-01-12 16:29:32,2015-01-08,VLP,Beadle Robert S.,Dir,A - Grant,0.0,1481,13217,+13%,0.0,-1.0,1.0,29.0,26.0,VLP
15,,2015-01-12 16:20:41,2015-01-08,VLP,Fretthold Timothy J.,Dir,A - Grant,0.0,1481,13217,+13%,0.0,-1.0,1.0,29.0,26.0,VLP
16,,2015-01-12 16:14:22,2015-01-08,VLP,Larson Randall J,Dir,A - Grant,0.0,1481,18217,+9%,0.0,-1.0,1.0,29.0,26.0,VLP
17,,2014-06-19 17:39:41,2014-06-19,VLP,Fretthold Timothy J.,Dir,A - Grant,46.49,5000,11736,+74%,232433.0,2.0,6.0,1.0,-23.0,VLP
18,,2014-01-22 16:41:14,2014-01-20,VLP,Larson Randall J,Dir,A - Grant,0.0,1736,16736,+12%,0.0,0.0,1.0,9.0,38.0,VLP
19,,2014-01-22 16:37:51,2014-01-20,VLP,Fretthold Timothy J.,Dir,A - Grant,0.0,1736,6736,+35%,0.0,0.0,1.0,9.0,38.0,VLP
20,,2014-01-22 16:32:37,2014-01-20,VLP,Beadle Robert S.,Dir,A - Grant,0.0,1736,11736,+17%,0.0,0.0,1.0,9.0,38.0,VLP
21,,2013-12-16 16:31:12,2013-12-16,VLP,Titzman Donna M.,"SVP, CFO, Treasurer",A - Grant,23.0,11000,11000,New,253000.0,1.0,2.0,13.0,55.0,VLP
22,,2013-12-16 16:25:33,2013-12-16,VLP,Lashway Richard F.,"Pres, COO",A - Grant,23.0,10000,10000,New,230000.0,1.0,2.0,13.0,55.0,VLP
23,,2013-12-16 16:22:46,2013-12-16,VLP,Larson Randall J,Dir,A - Grant,23.0,15000,15000,New,345000.0,1.0,2.0,13.0,55.0,VLP
24,,2013-12-16 16:16:06,2013-12-16,VLP,Klesse William R,Dir,A - Grant,23.0,100000,100000,New,2300000.0,1.0,2.0,13.0,55.0,VLP
25,,2013-12-16 16:13:09,2013-12-16,VLP,Gorder Joseph W,CEO,A - Grant,23.0,50000,50000,New,1150000.0,1.0,2.0,13.0,55.0,VLP
26,,2013-12-16 16:09:48,2013-12-16,VLP,Browning Jay D.,"SVP, GC",A - Grant,23.0,5500,5500,New,126500.0,1.0,2.0,13.0,55.0,VLP
