,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2018-07-17 16:35:56,2018-07-16,VR,Driscoll Kean,Pres,S - Sale,67.58,-6875,92709,-7%,-464613.0,,,,,VR
1,,2018-06-20 16:16:36,2018-06-19,VR,Bilsby Peter Anthony,"CEO, Talbot Underwriting Ltd.",S - Sale,67.87,-24813,41116,-38%,-1684058.0,,,,,VR
2,,2018-06-19 16:17:05,2018-06-15,VR,Driscoll Kean,Pres,S - Sale,67.85,-6875,99584,-6%,-466469.0,,,,,VR
3,,2018-06-13 16:15:57,2018-06-08,VR,Carpenter Michael E.A.,Dir,G - Gift,0.0,-3940,221965,-2%,-0.0,,,,,VR
4,,2018-06-05 16:18:46,2018-06-01,VR,Salam Romel,"EVP, Group Chief Risk Officer",A - Grant,0.0,5098,36681,+16%,0.0,,,,,VR
5,,2018-06-05 16:18:46,2018-06-01,VR,Salam Romel,"EVP, Group Chief Risk Officer",F - Tax,67.77,-20330,36681,-36%,-1377764.0,,,,,VR
6,,2018-06-05 16:18:27,2018-06-01,VR,Ritz Jonathan Peter,CEO of Validus Specialty,F - Tax,67.77,-18256,104069,-15%,-1237209.0,,,,,VR
7,,2018-06-05 16:17:51,2018-06-01,VR,Hendrickson John J.,Dir of Corp. Development,A - Grant,0.0,19781,99133,+25%,0.0,,,,,VR
8,,2018-06-05 16:17:51,2018-06-01,VR,Hendrickson John J.,Dir of Corp. Development,F - Tax,67.77,-34783,99133,-26%,-2357244.0,,,,,VR
9,D,2018-06-05 16:17:39,2018-06-01,VR,Boisvert Patrick,Group Chief Accounting Officer,M - OptEx,0.0,35699,46079,+344%,0.0,,,,,VR
10,,2018-06-05 16:17:28,2018-06-01,VR,Moore Michael Richard,"EVP, COO",A - Grant,0.0,3264,43429,+8%,0.0,,,,,VR
11,,2018-06-05 16:17:18,2018-06-01,VR,Bilsby Peter Anthony,"CEO, Talbot Underwriting Ltd.",A - Grant,0.0,7749,65929,+13%,0.0,,,,,VR
12,,2018-06-05 16:17:18,2018-06-01,VR,Bilsby Peter Anthony,"CEO, Talbot Underwriting Ltd.",F - Tax,67.77,-22607,65929,-26%,-1532076.0,,,,,VR
13,,2018-06-05 16:17:12,2018-06-01,VR,Sangster Jeffrey,"EVP, CFO",A - Grant,0.0,19781,208971,+10%,0.0,,,,,VR
14,,2018-06-05 16:16:59,2018-06-01,VR,Driscoll Kean,Pres,A - Grant,0.0,29976,106459,+39%,0.0,,,,,VR
15,,2018-06-05 16:16:38,2018-06-01,VR,Noonan Edward J.,"COB, CEO",A - Grant,0.0,30589,1242313,+3%,0.0,,,,,VR
16,,2018-05-16 16:16:28,2018-05-15,VR,Driscoll Kean,Pres,S - Sale,67.29,-6875,76483,-8%,-462619.0,,,,,VR
17,,2018-04-17 16:16:40,2018-04-16,VR,Driscoll Kean,Pres,S - Sale,67.56,-6875,83358,-8%,-464475.0,,,,,VR
18,,2018-03-16 16:18:29,2018-03-15,VR,Driscoll Kean,Pres,S - Sale,67.53,-6875,90233,-7%,-464269.0,,,,,VR
19,,2018-03-14 16:17:12,2018-03-12,VR,Carpenter Michael E.A.,Dir,S - Sale,67.7,-10000,225905,-4%,-677000.0,,,,,VR
20,,2018-03-13 16:18:49,2018-03-09,VR,Carpenter Michael E.A.,Dir,S - Sale,67.68,-10310,235905,-4%,-697781.0,,,,,VR
21,,2018-02-16 16:18:45,2018-02-15,VR,Driscoll Kean,Pres,S - Sale,67.43,-6875,97108,-7%,-463581.0,,,,,VR
22,,2018-01-17 16:19:30,2018-01-16,VR,Driscoll Kean,Pres,S - Sale,46.78,-6875,103983,-6%,-321613.0,,,,,VR
23,,2017-12-18 16:20:30,2017-12-15,VR,Driscoll Kean,Pres,S - Sale,46.16,-6875,110858,-6%,-317350.0,,,,,VR
