,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-06-21 18:07:00,2021-06-17,CLI,Katz A. Akiva,Dir,P - Purchase,16.56,450000,4219769,+12%,7453740.0,,,,,VRE
1,,2021-04-30 16:04:44,2021-04-28,CLI,Katz A. Akiva,Dir,P - Purchase,16.46,200000,3764122,+6%,3291800.0,,,,,VRE
2,M,2021-04-19 19:04:53,2021-04-15,CLI,Katz A. Akiva,Dir,P - Purchase,15.67,240000,3564122,+7%,3761859.0,,,,,VRE
3,,2021-03-29 17:25:11,2021-03-25,CLI,Katz A. Akiva,Dir,P - Purchase,15.52,345963,3324122,+12%,5369346.0,,,,,VRE
4,M,2021-03-05 17:32:45,2021-03-04,CLI,Katz A. Akiva,Dir,P - Purchase,14.51,442000,2978159,+17%,6411750.0,,,,,VRE
5,,2019-06-21 16:21:48,2019-06-19,CLI,Batkin Alan R,Dir,P - Purchase,23.95,2000,2000,New,47893.0,,,,,VRE
6,,2018-09-11 18:44:34,2018-09-10,CLI,Marshall Robert Andrew,"Pres, EVP Devlp, Roseland",S - Sale,21.28,-1426,1426,-50%,-30338.0,,,,,VRE
7,,2018-06-22 16:11:11,2018-06-21,CLI,Gantcher Nathan,Dir,P - Purchase,20.6,25000,76464,+49%,515000.0,,,,,VRE
8,,2018-06-15 16:10:12,2018-06-14,CLI,Gantcher Nathan,Dir,P - Purchase,19.72,25000,25000,New,493000.0,,,,,VRE
9,,2018-06-14 16:12:18,2018-06-12,CLI,Demarco Michael J.,CEO,P - Purchase,20.12,68301,81323,+525%,1373963.0,,,,,VRE
10,,2018-06-14 16:12:18,2018-06-12,CLI,Demarco Michael J.,CEO,S - Sale,19.91,-68301,81323,-46%,-1359900.0,,,,,VRE
