,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-22 21:16:23,2022-02-18,YETI,Reintjes Matthew J,"Pres, CEO",A - Grant,0.0,17001,186904,+10%,0.0,,,,,YETI
1,,2022-02-22 21:13:33,2022-02-18,YETI,Zambetti Kirk A,SVP of Sales,A - Grant,0.0,5291,27089,+24%,0.0,,,,,YETI
2,,2022-02-22 21:11:16,2022-02-18,YETI,Carbone Paul C,"SVP, CFO",A - Grant,0.0,9537,55045,+21%,0.0,,,,,YETI
3,,2022-02-22 20:36:27,2022-02-18,YETI,Castro Hollie Sammons,"SVP, Talent, ESG",A - Grant,0.0,7381,27466,+37%,0.0,,,,,YETI
4,,2022-02-22 20:32:44,2022-02-18,YETI,Barksdale Bryan C.,"SVP, GC, Secretary",A - Grant,0.0,5042,22539,+29%,0.0,,,,,YETI
5,,2022-02-18 16:17:06,2022-02-16,YETI,Reintjes Matthew J,"Pres, CEO",F - Tax,64.7,-9207,169903,-5%,-595722.0,,,,,YETI
6,,2022-02-18 16:16:03,2022-02-16,YETI,Carbone Paul C,"SVP, CFO",F - Tax,64.45,-2720,45508,-6%,-175294.0,,,,,YETI
7,,2022-02-18 16:15:00,2022-02-16,YETI,Castro Hollie Sammons,"SVP, Talent, ESG",F - Tax,64.39,-1547,20085,-7%,-99610.0,,,,,YETI
8,,2022-02-18 16:14:07,2022-02-16,YETI,Barksdale Bryan C.,"SVP, GC, Secretary",F - Tax,64.42,-1499,17497,-8%,-96565.0,,,,,YETI
9,,2022-02-18 16:12:07,2022-02-16,YETI,Zambetti Kirk A,SVP of Sales,F - Tax,64.42,-1572,21798,-7%,-101267.0,,,,,YETI
10,D,2021-12-15 16:10:41,2021-12-13,YETI,Reintjes Matthew J,"Pres, CEO",M - OptEx,4.79,25000,179110,+16%,119750.0,,,,,YETI
11,D,2021-12-15 16:10:41,2021-12-13,YETI,Reintjes Matthew J,"Pres, CEO",S - Sale+OE,87.3,-25000,179110,-12%,-2182533.0,,,,,YETI
12,D,2021-11-17 21:14:00,2021-11-15,YETI,Reintjes Matthew J,"Pres, CEO",M - OptEx,4.79,25000,179110,+16%,119750.0,,,,,YETI
13,D,2021-11-17 21:14:00,2021-11-15,YETI,Reintjes Matthew J,"Pres, CEO",S - Sale+OE,101.02,-40004,179110,-18%,-4041303.0,,,,,YETI
