,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-19 19:06:59,2022-08-18,ZVIA,Spence Padraic L.,Dir,S - Sale,4.85,-33131,2397868,-1%,-160821.0,,,,,ZVIA
1,,2022-08-12 19:10:49,2022-08-10,ZVIA,Lee David J.,Dir,A - Grant,0.0,22257,22257,New,0.0,,,,,ZVIA
2,D,2022-08-12 19:06:03,2022-08-10,ZVIA,Debow Greig P. Jr.,Chief Commercial Officer,A - Grant,0.0,58997,58997,New,0.0,,,,,ZVIA
3,,2022-07-29 15:38:12,2022-07-27,ZVIA,Spence Padraic L.,"Chair, CEO",S - Sale,3.09,-32444,2430999,-1%,-100226.0,,,,,ZVIA
4,,2022-07-05 17:51:11,2022-06-30,ZVIA,Spence Padraic L.,"Chair, CEO",S - Sale,2.89,-29180,2463443,-1%,-84473.0,,,,,ZVIA
5,D,2022-06-16 19:34:08,2022-06-14,ZVIA,Troupe Quincy B,COO,A - Grant,0.0,122642,148249,+479%,0.0,,,,,ZVIA
6,,2022-06-13 21:12:11,2022-06-09,ZVIA,Ruehl Julie Garcia,Dir,A - Grant,0.0,29825,75432,+65%,0.0,,,,,ZVIA
7,,2022-06-13 20:54:08,2022-06-09,ZVIA,Ruben Andrew,Dir,A - Grant,0.0,29825,55432,+116%,0.0,,,,,ZVIA
8,,2022-06-13 20:23:42,2022-06-09,ZVIA,Hayes Jacqueline,Dir,A - Grant,0.0,29825,55432,+116%,0.0,,,,,ZVIA
9,,2022-05-20 20:09:49,2022-05-19,ZVIA,Spence Padraic L.,"Chair, CEO",S - Sale,2.04,-33913,2492623,-1%,-69050.0,,,,,ZVIA
10,,2022-05-19 21:16:53,2022-05-18,ZVIA,Gay Robert,"Chief Strategy Officer, EVP",S - Sale,2.22,-9200,885790,-1%,-20437.0,,,,,ZVIA
11,,2022-05-19 21:13:56,2022-05-18,ZVIA,Margolis Harry,COO,S - Sale,2.22,-6000,754212,-1%,-13342.0,,,,,ZVIA
12,D,2022-05-19 18:46:31,2022-05-17,ZVIA,Beckles Denise Dawn,CFO,A - Grant,0.0,189732,189732,New,0.0,,,,,ZVIA
13,,2022-04-27 16:38:00,2022-04-25,ZVIA,Spence Padraic L.,"Chair, CEO",S - Sale,3.38,-33000,2526536,-1%,-111461.0,,,,,ZVIA
14,,2022-04-26 16:40:10,2022-04-22,ZVIA,Gay Robert,"Chief Strategy Officer, EVP",S - Sale,3.36,-6627,894990,-1%,-22265.0,,,,,ZVIA
15,,2022-04-26 16:32:58,2022-04-22,ZVIA,Margolis Harry,COO,S - Sale,3.36,-6457,760212,-1%,-21712.0,,,,,ZVIA
