,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,8.23,8.49,8.2,8.33,8.049239,910800,AGI.TO
1,2018-01-03,8.36,8.45,8.16,8.43,8.145869,953100,AGI.TO
2,2018-01-04,8.42,8.47,8.31,8.45,8.165196,578700,AGI.TO
3,2018-01-05,8.39,8.39,8.25,8.37,8.08789,392600,AGI.TO
4,2018-01-08,8.35,8.4,8.13,8.18,7.904294,1031500,AGI.TO
5,2018-01-09,8.09,8.14,7.8,7.8,7.537103,1130800,AGI.TO
6,2018-01-10,7.84,8.03,7.84,7.94,7.672384,1020700,AGI.TO
7,2018-01-11,7.91,7.91,7.32,7.39,7.140921,2458600,AGI.TO
8,2018-01-12,7.44,7.67,7.44,7.63,7.372832,1507900,AGI.TO
9,2018-01-15,7.67,7.8,7.66,7.78,7.517776,428300,AGI.TO
10,2018-01-16,7.66,7.74,7.45,7.67,7.411483,1012800,AGI.TO
11,2018-01-17,7.65,7.8,7.6,7.68,7.421148,1258900,AGI.TO
12,2018-01-18,7.7,7.7,7.49,7.52,7.266541,775100,AGI.TO
13,2018-01-19,7.57,7.6,7.52,7.58,7.324518,490600,AGI.TO
14,2018-01-22,7.6,7.66,7.5,7.62,7.36317,496600,AGI.TO
15,2018-01-23,7.55,7.79,7.53,7.77,7.508113,943900,AGI.TO
16,2018-01-24,7.95,8.0,7.76,7.89,7.624069,1096900,AGI.TO
17,2018-01-25,7.91,7.91,7.6,7.63,7.372832,875600,AGI.TO
18,2018-01-26,7.79,7.95,7.78,7.86,7.595081,802600,AGI.TO
19,2018-01-29,7.85,7.87,7.5,7.51,7.256877,806400,AGI.TO
20,2018-01-30,7.55,7.59,7.33,7.37,7.121596,725900,AGI.TO
21,2018-01-31,7.44,7.44,7.23,7.37,7.121596,1374400,AGI.TO
22,2018-02-01,7.29,7.4,7.29,7.35,7.102269,1110300,AGI.TO
23,2018-02-02,7.27,7.28,7.04,7.06,6.822045,1432700,AGI.TO
24,2018-02-05,7.09,7.28,7.02,7.11,6.870359,969900,AGI.TO
25,2018-02-06,7.07,7.18,6.91,6.92,6.686763,674000,AGI.TO
26,2018-02-07,6.92,7.0,6.76,6.79,6.561145,732200,AGI.TO
27,2018-02-08,6.8,6.9,6.71,6.77,6.541818,728500,AGI.TO
28,2018-02-09,6.78,6.82,6.33,6.48,6.261593,1185900,AGI.TO
29,2018-02-12,6.54,6.94,6.51,6.85,6.619122,815700,AGI.TO
30,2018-02-13,6.86,6.89,6.72,6.79,6.561145,438400,AGI.TO
31,2018-02-14,6.82,7.21,6.79,7.1,6.860696,1004800,AGI.TO
32,2018-02-15,7.12,7.17,6.96,7.09,6.851033,487100,AGI.TO
33,2018-02-16,7.07,7.24,6.94,7.04,6.802718,694400,AGI.TO
34,2018-02-20,6.99,7.01,6.79,6.79,6.561145,599900,AGI.TO
35,2018-02-21,6.86,7.01,6.77,6.78,6.551481,1007600,AGI.TO
36,2018-02-22,6.48,6.68,6.23,6.3,6.087659,1785000,AGI.TO
37,2018-02-23,6.3,6.48,6.24,6.45,6.232603,504700,AGI.TO
38,2018-02-26,6.54,6.64,6.5,6.59,6.367886,469600,AGI.TO
39,2018-02-27,6.56,6.61,6.45,6.49,6.271256,1152400,AGI.TO
40,2018-02-28,6.52,6.59,6.44,6.52,6.300245,1007600,AGI.TO
41,2018-03-01,6.48,6.78,6.36,6.71,6.483841,779200,AGI.TO
42,2018-03-02,6.77,6.88,6.71,6.72,6.493503,567900,AGI.TO
43,2018-03-05,6.74,6.88,6.72,6.88,6.64811,567800,AGI.TO
44,2018-03-06,6.96,6.97,6.74,6.76,6.532156,829400,AGI.TO
45,2018-03-07,6.74,6.78,6.46,6.46,6.242267,839700,AGI.TO
46,2018-03-08,6.48,6.51,6.34,6.42,6.203615,877600,AGI.TO
47,2018-03-09,6.4,6.52,6.38,6.4,6.184289,372600,AGI.TO
48,2018-03-12,6.34,6.36,6.19,6.32,6.106985,593900,AGI.TO
49,2018-03-13,6.34,6.64,6.34,6.57,6.348559,685500,AGI.TO
50,2018-03-14,6.58,6.67,6.54,6.6,6.377548,292200,AGI.TO
51,2018-03-15,6.57,6.74,6.5,6.7,6.474176,578700,AGI.TO
52,2018-03-16,6.69,6.86,6.65,6.82,6.590133,993000,AGI.TO
53,2018-03-19,6.77,6.77,6.52,6.65,6.425862,624300,AGI.TO
54,2018-03-20,6.61,6.61,6.5,6.51,6.290582,634700,AGI.TO
55,2018-03-21,6.56,6.71,6.5,6.65,6.425862,902300,AGI.TO
56,2018-03-22,6.57,6.73,6.57,6.62,6.396873,569900,AGI.TO
57,2018-03-23,6.77,7.02,6.77,6.96,6.725415,883700,AGI.TO
58,2018-03-26,7.0,7.04,6.67,6.75,6.522492,1058100,AGI.TO
59,2018-03-27,6.66,6.69,6.53,6.56,6.338896,1295600,AGI.TO
60,2018-03-28,6.53,6.66,6.52,6.55,6.329234,756800,AGI.TO
61,2018-03-29,6.57,6.73,6.54,6.7,6.474176,582700,AGI.TO
62,2018-04-02,6.77,6.99,6.71,6.86,6.628785,621700,AGI.TO
63,2018-04-03,6.79,6.8,6.58,6.62,6.396873,800100,AGI.TO
64,2018-04-04,6.71,7.02,6.68,6.71,6.483841,1052600,AGI.TO
65,2018-04-05,6.69,6.87,6.65,6.8,6.570806,790000,AGI.TO
66,2018-04-06,6.82,7.03,6.82,7.02,6.783392,880600,AGI.TO
67,2018-04-09,6.99,7.0,6.77,6.8,6.570806,652200,AGI.TO
68,2018-04-10,6.91,7.0,6.8,6.9,6.667437,892800,AGI.TO
69,2018-04-11,7.0,7.29,6.97,7.02,6.783392,1598400,AGI.TO
70,2018-04-12,7.0,7.11,6.89,6.9,6.667437,936300,AGI.TO
71,2018-04-13,6.99,7.23,6.97,7.2,6.970458,866900,AGI.TO
72,2018-04-16,7.22,7.24,7.05,7.1,6.873646,385300,AGI.TO
73,2018-04-17,7.08,7.15,7.05,7.1,6.873646,459400,AGI.TO
