,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2018-01-02,17.15,17.52,17.09,17.469999,17.469999,2355000,AXL
1,2018-01-03,17.530001,17.799999,17.48,17.58,17.58,2467200,AXL
2,2018-01-04,17.790001,18.4,17.76,18.24,18.24,2524300,AXL
3,2018-01-05,18.370001,18.629999,18.25,18.370001,18.370001,2055400,AXL
4,2018-01-08,18.35,18.549999,18.18,18.42,18.42,1959100,AXL
5,2018-01-09,18.5,18.940001,18.42,18.74,18.74,2321200,AXL
6,2018-01-10,18.59,18.98,17.969999,18.01,18.01,3255900,AXL
7,2018-01-11,18.1,18.43,17.75,18.379999,18.379999,1672800,AXL
8,2018-01-12,18.49,19.0,18.459999,18.780001,18.780001,2285100,AXL
9,2018-01-16,19.049999,19.18,18.27,18.41,18.41,3345200,AXL
10,2018-01-17,18.469999,19.629999,18.469999,19.59,19.59,4724000,AXL
11,2018-01-18,19.469999,19.6,18.98,19.049999,19.049999,2163200,AXL
12,2018-01-19,19.120001,19.16,18.549999,18.99,18.99,1563600,AXL
13,2018-01-22,19.09,19.09,18.49,18.870001,18.870001,2732200,AXL
14,2018-01-23,18.780001,18.85,18.5,18.68,18.68,1403500,AXL
15,2018-01-24,18.82,18.950001,18.440001,18.639999,18.639999,1581900,AXL
16,2018-01-25,18.719999,18.719999,17.77,18.18,18.18,2849800,AXL
17,2018-01-26,18.290001,18.5,18.17,18.49,18.49,1079000,AXL
18,2018-01-29,18.42,18.52,18.07,18.16,18.16,1554600,AXL
19,2018-01-30,17.91,18.200001,17.719999,18.1,18.1,1858700,AXL
20,2018-01-31,18.200001,18.32,17.52,17.65,17.65,1988100,AXL
21,2018-02-01,17.549999,17.73,17.190001,17.51,17.51,2706600,AXL
22,2018-02-02,17.360001,17.48,16.68,16.75,16.75,2687500,AXL
23,2018-02-05,16.440001,16.91,15.98,16.01,16.01,2968100,AXL
24,2018-02-06,15.64,16.57,15.56,16.48,16.48,3326200,AXL
25,2018-02-07,16.459999,17.040001,16.379999,16.59,16.59,2173800,AXL
26,2018-02-08,16.59,16.690001,15.76,15.77,15.77,3176600,AXL
27,2018-02-09,16.049999,16.049999,15.04,15.7,15.7,3325600,AXL
28,2018-02-12,15.83,16.08,15.57,15.92,15.92,1589100,AXL
