,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2018-09-14 17:44:07,2018-09-12,ANDV,Foster Paul L,Dir,S - Sale,$155.74,-52800,6965079,-1%,"-$8,223,205",,,,,ANDV
1,M,2018-08-31 16:05:48,2018-08-29,ANDV,Foster Paul L,Dir,S - Sale,$154.78,-58800,7017879,-1%,"-$9,101,147",,,,,ANDV
2,M,2018-08-15 16:56:45,2018-08-13,ANDV,Foster Paul L,Dir,S - Sale,$149.37,-58800,7076679,-1%,"-$8,783,124",,,,,ANDV
3,,2018-08-15 16:54:40,2018-08-13,ANDV,Casey Keith M,"EVP, Commercial, VC",S - Sale,$151.11,-24571,65499,-27%,"-$3,712,924",,,,,ANDV
4,,2018-08-13 16:52:07,2018-08-09,ANDV,Tompsett Stephan E,"VP, Treasurer",S - Sale,$151.65,-490,0,-100%,"-$74,309",,,,,ANDV
5,M,2018-07-27 18:27:17,2018-07-25,ANDV,Foster Paul L,Dir,S - Sale,$144.09,-58800,7135479,-1%,"-$8,472,267",,,,,ANDV
6,M,2018-06-20 17:30:33,2018-06-18,ANDV,Foster Paul L,Dir,S - Sale,$138.51,-58800,7253079,-1%,"-$8,144,434",,,,,ANDV
7,M,2018-06-08 16:38:22,2018-06-06,ANDV,Foster Paul L,Dir,S - Sale,$144.45,-58800,7311879,-1%,"-$8,493,843",,,,,ANDV
8,M,2018-06-07 16:48:55,2018-06-05,ANDV,Stevens Jeff A,Dir,S - Sale,$146.99,-20000,1006419,-2%,"-$2,939,782",,,,,ANDV
9,M,2018-06-01 18:03:11,2018-05-30,ANDV,Foster Paul L,Dir,S - Sale,$146.11,-58800,7370679,-1%,"-$8,591,042",,,,,ANDV
10,M,2018-05-31 16:08:26,2018-05-29,ANDV,Stevens Jeff A,Dir,S - Sale,$144.14,-32500,1026419,-3%,"-$4,684,473",,,,,ANDV
11,,2018-05-30 18:22:04,2018-05-29,ANDV,Tompsett Stephan E,"VP, Treasurer",F - Tax,$142.51,-81,490,-14%,"-$11,543",,,,,ANDV
12,M,2018-05-17 16:15:51,2018-05-15,ANDV,Stevens Jeff A,Dir,S - Sale,$140.75,-32500,1058919,-3%,"-$4,574,317",,,,,ANDV
13,M,2018-05-16 16:03:29,2018-05-14,ANDV,Foster Paul L,Dir,S - Sale,$141.25,-58800,7429479,-1%,"-$8,305,555",,,,,ANDV
14,,2018-05-09 07:11:32,2018-05-04,ANDV,Yang Patrick Y,Dir,A - Grant,$0.00,1145,6682,+21%,+$0,,,,,ANDV
15,,2018-05-09 07:07:24,2018-05-04,ANDV,Wiley Michael E,Dir,A - Grant,$0.00,1145,42295,+3%,+$0,,,,,ANDV
16,,2018-05-09 07:06:00,2018-05-04,ANDV,Tomasky Susan,Dir,A - Grant,$0.00,1145,8773,+15%,+$0,,,,,ANDV
17,,2018-05-09 07:02:51,2018-05-04,ANDV,Nokes Jim W,Dir,A - Grant,$0.00,1145,31344,+4%,+$0,,,,,ANDV
18,,2018-05-09 07:01:31,2018-05-04,ANDV,Lilley David,Dir,A - Grant,$0.00,1145,16279,+8%,+$0,,,,,ANDV
19,,2018-05-08 21:59:11,2018-05-04,ANDV,Chase Rodney F,Dir,A - Grant,$0.00,1145,13468,+9%,+$0,,,,,ANDV
20,,2018-05-08 21:53:37,2018-05-04,ANDV,Stevens Jeff A,Dir,A - Grant,$0.00,1145,1091419,0%,+$0,,,,,ANDV
21,,2018-05-08 21:51:11,2018-05-04,ANDV,Schumann William H,Dir,A - Grant,$0.00,1145,4062,+39%,+$0,,,,,ANDV
22,,2018-05-08 21:49:44,2018-05-04,ANDV,McCarthy Mary Pat,Dir,A - Grant,$0.00,1145,4012,+40%,+$0,,,,,ANDV
23,,2018-05-08 21:46:59,2018-05-04,ANDV,Foster Paul L,Dir,A - Grant,$0.00,1145,7488279,0%,+$0,,,,,ANDV
24,M,2018-05-08 21:46:59,2018-05-07,ANDV,Foster Paul L,Dir,S - Sale,$141.39,-54291,7488279,-1%,"-$7,675,952",,,,,ANDV
25,,2018-05-08 21:39:49,2018-05-04,ANDV,Galante Edward G,Dir,A - Grant,$0.00,1145,5017,+30%,+$0,,,,,ANDV
26,M,2018-05-07 20:46:43,2018-05-03,ANDV,Foster Paul L,Dir,S - Sale,$139.99,-100000,6189218,-2%,"-$13,998,707",,,,,ANDV
27,M,2018-05-03 19:20:09,2018-05-01,ANDV,Foster Paul L,Dir,S - Sale,$135.31,-100000,6289218,-2%,"-$13,530,825",,,,,ANDV
28,M,2018-05-01 20:40:27,2018-04-27,ANDV,Foster Paul L,Dir,S - Sale,$131.01,-100000,6389218,-2%,"-$13,100,457",,,,,ANDV
29,M,2018-04-30 21:22:06,2018-04-26,ANDV,Stevens Jeff A,Dir,S - Sale,$123.19,-109275,1090274,-9%,"-$13,461,768",,,,,ANDV
30,,2018-04-27 16:08:28,2018-04-25,ANDV,Morrison Michael James,"SVP, Marketing",F - Tax,$120.09,-514,7387,-7%,"-$61,726",,,,,ANDV
31,M,2018-04-27 16:03:45,2018-04-25,ANDV,Foster Paul L,Dir,S - Sale,$122.64,-72000,6489218,-1%,"-$8,830,163",,,,,ANDV
32,M,2018-04-26 17:33:54,2018-04-24,ANDV,Stevens Jeff A,Dir,S - Sale,$119.89,-48225,1199549,-4%,"-$5,781,554",,,,,ANDV
33,M,2018-04-25 19:31:41,2018-04-23,ANDV,Foster Paul L,Dir,S - Sale,$119.73,-80809,7913425,-1%,"-$9,675,545",,,,,ANDV
34,M,2018-04-24 17:43:01,2018-04-20,ANDV,Stevens Jeff A,Dir,S - Sale,$118.32,-73700,1247774,-6%,"-$8,720,438",,,,,ANDV
35,,2018-04-20 16:16:38,2018-04-18,ANDV,Stevens Jeff A,Dir,S - Sale,$117.54,-1300,1321474,0%,"-$152,802",,,,,ANDV
36,M,2018-04-18 16:35:19,2018-04-16,ANDV,Stevens Jeff A,Dir,S - Sale,$115.77,-50000,1322774,-4%,"-$5,788,579",,,,,ANDV
37,M,2018-04-12 16:24:50,2018-04-10,ANDV,Stevens Jeff A,Dir,S - Sale,$110.26,-75000,1372774,-5%,"-$8,269,642",,,,,ANDV
38,M,2018-04-11 18:14:02,2018-04-09,ANDV,Foster Paul L,Dir,S - Sale,$107.47,-212400,7994234,-3%,"-$22,826,096",,,,,ANDV
39,,2018-03-19 21:32:34,2018-03-15,ANDV,Peery Blane W.,"VP, Controller",S - Sale,$99.39,-1012,2830,-26%,"-$100,583",,,,,ANDV
40,A,2018-03-19 21:14:54,2018-03-01,ANDV,Peery Blane W.,"VP, Controller",S - Sale,$89.64,-2159,3842,-36%,"-$193,533",,,,,ANDV
41,,2018-03-05 19:52:20,2018-03-01,ANDV,Peery Blane W.,"VP, Controller",S - Sale,$89.64,-1012,4989,-17%,"-$90,716",,,,,ANDV
42,D,2018-02-27 18:46:30,2018-02-25,ANDV,Peery Blane W.,"VP, Controller",F - Tax,$94.53,-696,6001,-10%,"-$65,793",,,,,ANDV
43,D,2018-02-27 18:46:30,2018-02-25,ANDV,Peery Blane W.,"VP, Controller",M - OptEx,$0.00,2855,6001,+91%,+$0,,,,,ANDV
44,,2018-02-26 18:38:30,2018-02-22,ANDV,Morrison Michael James,"SVP, Marketing",P - Purchase,$93.83,1700,7857,+28%,"+$159,511",,,,,ANDV
45,,2018-02-21 18:12:52,2018-02-16,ANDV,Peery Blane W.,"VP, Controller",F - Tax,$96.15,-412,3842,-10%,"-$39,614",,,,,ANDV
46,D,2018-02-15 19:16:23,2018-02-13,ANDV,Warner Cynthia J,"EVP, Operations",A - Grant,$0.00,6962,38484,+22%,+$0,,,,,ANDV
47,D,2018-02-15 19:16:23,2018-02-13,ANDV,Warner Cynthia J,"EVP, Operations",F - Tax,$97.77,-5273,38484,-12%,"-$515,541",,,,,ANDV
48,D,2018-02-15 19:16:23,2018-02-13,ANDV,Warner Cynthia J,"EVP, Operations",M - OptEx,$0.00,10282,38484,+36%,+$0,,,,,ANDV
49,D,2018-02-15 19:07:48,2018-02-13,ANDV,Goff Gregory James,"Pres, CEO",A - Grant,$0.00,41764,612657,+7%,+$0,,,,,ANDV
50,D,2018-02-15 19:07:48,2018-02-13,ANDV,Goff Gregory James,"Pres, CEO",F - Tax,$97.77,-40708,612657,-6%,"-$3,980,021",,,,,ANDV
51,D,2018-02-15 19:07:48,2018-02-13,ANDV,Goff Gregory James,"Pres, CEO",M - OptEx,$0.00,61683,612657,+11%,+$0,,,,,ANDV
52,D,2018-02-15 19:01:34,2018-02-13,ANDV,Sterin Steven,"EVP, CFO",A - Grant,$0.00,7309,36126,+25%,+$0,,,,,ANDV
53,D,2018-02-15 19:01:34,2018-02-13,ANDV,Sterin Steven,"EVP, CFO",F - Tax,$97.77,-6438,36126,-15%,"-$629,443",,,,,ANDV
54,D,2018-02-15 19:01:34,2018-02-13,ANDV,Sterin Steven,"EVP, CFO",M - OptEx,$0.00,10796,36126,+43%,+$0,,,,,ANDV
55,D,2018-02-15 18:57:43,2018-02-13,ANDV,Casey Keith M,"EVP, Commercial, VC",A - Grant,$0.00,7309,90070,+9%,+$0,,,,,ANDV
56,D,2018-02-15 18:57:43,2018-02-13,ANDV,Casey Keith M,"EVP, Commercial, VC",F - Tax,$97.77,-6438,90070,-7%,"-$629,443",,,,,ANDV
57,D,2018-02-15 18:57:43,2018-02-13,ANDV,Casey Keith M,"EVP, Commercial, VC",M - OptEx,$0.00,10796,90070,+14%,+$0,,,,,ANDV
58,D,2018-02-15 18:53:57,2018-02-13,ANDV,Peery Blane W.,"VP, Controller",A - Grant,$0.00,1338,4213,+47%,+$0,,,,,ANDV
59,D,2018-02-15 18:53:57,2018-02-13,ANDV,Peery Blane W.,"VP, Controller",F - Tax,$97.77,-367,4213,-8%,"-$35,882",,,,,ANDV
60,M,2018-01-29 16:23:30,2018-01-25,ANDV,Foster Paul L,Dir,S - Sale,$114.99,-54400,8206634,-1%,"-$6,255,209",,,,,ANDV
61,M,2018-01-25 17:57:00,2018-01-23,ANDV,Stevens Jeff A,Dir,S - Sale,$117.58,-32500,1447774,-2%,"-$3,821,470",,,,,ANDV
62,M,2018-01-19 17:47:52,2018-01-17,ANDV,Foster Paul L,Dir,S - Sale,$120.97,-51700,6843707,-1%,"-$6,254,064",,,,,ANDV
63,M,2018-01-12 17:50:24,2018-01-10,ANDV,Stevens Jeff A,Dir,S - Sale,$117.07,-32500,1480274,-2%,"-$3,804,705",,,,,ANDV
64,M,2018-01-10 18:30:22,2018-01-08,ANDV,Foster Paul L,Dir,S - Sale,$116.23,-54690,8312734,-1%,"-$6,356,504",,,,,ANDV
65,M,2017-12-22 16:29:59,2017-12-20,ANDV,Foster Paul L,Dir,S - Sale,$110.54,-51510,8367424,-1%,"-$5,694,029",,,,,ANDV
66,M,2017-12-20 17:59:03,2017-12-18,ANDV,Stevens Jeff A,Dir,S - Sale,$111.24,-25000,1512774,-2%,"-$2,780,943",,,,,ANDV
67,,2017-12-18 16:31:27,2017-11-15,ANDV,Goff Gregory James,"Pres, CEO",G - Gift,$0.00,-70400,549916,-11%,-$0,,,,,ANDV
68,A,2017-12-18 16:28:21,2017-04-05,ANDV,Goff Gregory James,"Pres, CEO",F - Tax,$78.83,-24790,620312,-4%,"-$1,954,196",,,,,ANDV
69,,2017-12-08 16:59:59,2017-11-29,ANDV,Stevens Jeff A,Dir,G - Gift,$0.00,-18500,1537774,-1%,-$0,,,,,ANDV
70,M,2017-12-08 16:59:59,2017-12-06,ANDV,Stevens Jeff A,Dir,S - Sale,$108.27,-17500,1537774,-1%,"-$1,894,668",,,,,ANDV
71,,2017-12-07 19:52:42,2017-12-04,ANDV,Foster Paul L,Dir,G - Gift,$0.00,-26200,8418934,0%,-$0,,,,,ANDV
72,M,2017-12-07 19:52:42,2017-12-05,ANDV,Foster Paul L,Dir,S - Sale,$108.33,-45000,8418934,-1%,"-$4,874,779",,,,,ANDV
73,,2017-11-17 16:42:09,2017-11-15,ANDV,Casey Keith M,"EVP, Commercial, VC",G - Gift,$0.00,-2500,78403,-3%,-$0,,,,,ANDV
74,,2017-11-17 16:42:09,2017-11-15,ANDV,Casey Keith M,"EVP, Commercial, VC",S - Sale,$103.60,-9000,78403,-10%,"-$932,386",,,,,ANDV
75,,2017-11-17 16:38:57,2017-11-15,ANDV,Foster Paul L,Dir,G - Gift,$0.00,-22000,8490134,0%,-$0,,,,,ANDV
76,D,2017-11-16 18:38:27,2017-11-14,ANDV,Wiley Michael E,Dir,M - OptEx,$26.68,3000,41150,+8%,"+$80,040",,,,,ANDV
77,D,2017-11-16 18:38:27,2017-11-14,ANDV,Wiley Michael E,Dir,S - Sale+OE,$106.24,-700,41150,-2%,"-$74,370",,,,,ANDV
78,D,2017-11-14 18:19:40,2017-11-11,ANDV,Schumann William H,Dir,M - OptEx,$0.00,889,2917,+44%,+$0,,,,,ANDV
79,D,2017-10-12 19:10:04,2017-10-10,ANDV,Warner Cynthia J,"EVP, Operations",F - Tax,$106.33,-7432,26513,-22%,"-$790,245",,,,,ANDV
80,D,2017-10-12 19:10:04,2017-10-10,ANDV,Warner Cynthia J,"EVP, Operations",M - OptEx,$0.00,17715,26513,+201%,+$0,,,,,ANDV
81,,2017-10-10 18:20:38,2017-10-06,ANDV,Warner Cynthia J,"EVP, Operations",F - Tax,$105.99,-11181,16230,-41%,"-$1,185,074",,,,,ANDV
82,D,2017-08-24 16:53:11,2017-08-22,TSO,Sterin Steven,"EVP, CFO",A - Grant,$0.00,24836,24459,-6588%,+$0,,,,,ANDV
83,D,2017-08-24 16:53:11,2017-08-22,TSO,Sterin Steven,"EVP, CFO",F - Tax,$93.43,-10419,24459,-30%,"-$973,447",,,,,ANDV
84,,2017-06-05 20:35:12,2017-06-01,TSO,Stevens Jeff A,Dir,A - Grant,$0.00,1775,1573774,0%,+$0,,,,,ANDV
85,,2017-06-05 18:48:12,2017-06-01,TSO,Foster Paul L,Dir,A - Grant,$0.00,1775,8512134,0%,+$0,,,,,ANDV
86,,2017-06-05 17:32:30,2017-06-01,TSO,Sterin Steven,"EVP, CFO",P - Purchase,$83.75,1150,10042,+13%,"+$96,308",,,,,ANDV
87,,2017-06-05 17:30:00,2017-06-01,TSO,Lilley David,Dir,P - Purchase,$83.16,500,15134,+3%,"+$41,580",,,,,ANDV
88,D,2017-06-02 20:12:47,2017-05-31,TSO,Casey Keith M,"EVP, Commercial, VC",F - Tax,$83.24,-3776,89903,-4%,"-$314,314",,,,,ANDV
89,D,2017-06-02 20:12:47,2017-05-31,TSO,Casey Keith M,"EVP, Commercial, VC",M - OptEx,$0.00,9000,89903,+11%,+$0,,,,,ANDV
90,,2017-06-02 18:42:04,2017-05-31,TSO,Peery Blane W.,"VP, Controller",S - Sale,$84.17,-1061,3216,-25%,"-$89,304",,,,,ANDV
91,,2017-05-31 17:10:33,2017-05-26,TSO,Tompsett Stephan E,"VP, Treasurer",F - Tax,$83.46,-91,571,-14%,"-$7,595",,,,,ANDV
92,,2017-05-08 19:18:23,2017-05-04,TSO,Galante Edward G,Dir,A - Grant,$0.00,2028,3872,+110%,+$0,2.0,-1.0,,,ANDV
93,,2017-05-08 19:10:22,2017-05-04,TSO,McCarthy Mary Pat,Dir,A - Grant,$0.00,2028,2867,+242%,+$0,2.0,-1.0,,,ANDV
94,,2017-05-08 19:07:52,2017-05-04,TSO,Schumann William H,Dir,A - Grant,$0.00,2028,2028,New,+$0,2.0,-1.0,,,ANDV
95,,2017-05-08 19:04:22,2017-05-04,TSO,Tomasky Susan,Dir,A - Grant,$0.00,2028,7628,+36%,+$0,2.0,-1.0,,,ANDV
96,D,2017-05-05 19:18:56,2017-05-04,TSO,Yang Patrick Y,Dir,A - Grant,$0.00,2028,5537,+58%,+$0,1.0,1.0,,,ANDV
97,D,2017-05-05 19:18:56,2017-05-03,TSO,Yang Patrick Y,Dir,M - OptEx,$0.00,2035,5537,+58%,+$0,1.0,1.0,,,ANDV
98,D,2017-05-05 19:11:32,2017-05-04,TSO,Chase Rodney F,Dir,A - Grant,$0.00,2028,12323,+20%,+$0,1.0,1.0,,,ANDV
99,D,2017-05-05 19:11:32,2017-05-03,TSO,Chase Rodney F,Dir,M - OptEx,$0.00,2035,12323,+20%,+$0,1.0,1.0,,,ANDV
100,D,2017-05-05 19:09:13,2017-05-03,TSO,Goldman Robert W,Dir,M - OptEx,$0.00,2035,42165,+5%,+$0,1.0,1.0,,,ANDV
101,D,2017-05-05 18:51:28,2017-05-04,TSO,Lilley David,Dir,A - Grant,$0.00,2028,14634,+16%,+$0,1.0,1.0,,,ANDV
102,D,2017-05-05 18:51:28,2017-05-03,TSO,Lilley David,Dir,M - OptEx,$0.00,2035,14634,+16%,+$0,1.0,1.0,,,ANDV
103,D,2017-05-05 18:48:19,2017-05-04,TSO,Nokes Jim W,Dir,A - Grant,$0.00,2028,30199,+7%,+$0,1.0,1.0,,,ANDV
104,D,2017-05-05 18:48:19,2017-05-03,TSO,Nokes Jim W,Dir,M - OptEx,$0.00,2035,30199,+7%,+$0,1.0,1.0,,,ANDV
105,D,2017-05-05 18:45:07,2017-05-04,TSO,Wiley Michael E,Dir,A - Grant,$0.00,2028,38850,+6%,+$0,1.0,1.0,,,ANDV
106,D,2017-05-05 18:45:07,2017-05-03,TSO,Wiley Michael E,Dir,M - OptEx,$0.00,2035,38850,+6%,+$0,1.0,1.0,,,ANDV
107,D,2017-04-24 18:02:19,2017-04-21,TSO,Goldman Robert W,Dir,M - OptEx,$61.92,6000,40130,+18%,"+$371,520",1.0,0.0,,,ANDV
108,A,2017-04-13 16:13:33,2017-04-05,TSO,Goff Gregory James,"Pres, CEO",F - Tax,$78.83,-24790,561220,-4%,"-$1,954,196",-1.0,-4.0,1.0,,ANDV
109,,2017-04-07 15:49:56,2017-04-05,TSO,Goff Gregory James,"Pres, CEO",A - Grant,$0.00,59092,620132,+11%,+$0,1.0,1.0,3.0,,ANDV
110,,2017-04-07 15:49:56,2017-04-05,TSO,Goff Gregory James,"Pres, CEO",F - Tax,$78.83,-24970,620132,-4%,"-$1,968,385",1.0,1.0,3.0,,ANDV
111,,2017-04-07 14:25:23,2017-04-05,TSO,Casey Keith M,"EVP, Marketing, Commercial",A - Grant,$0.00,6772,81838,+9%,+$0,1.0,1.0,3.0,,ANDV
112,,2017-04-07 14:25:23,2017-04-05,TSO,Casey Keith M,"EVP, Marketing, Commercial",F - Tax,$78.83,-2841,81838,-3%,"-$223,956",1.0,1.0,3.0,,ANDV
113,D,2017-04-04 18:58:55,2017-03-31,TSO,Wiley Michael E,Dir,M - OptEx,$61.92,6000,34787,+21%,"+$371,520",-1.0,1.0,0.0,,ANDV
114,D,2017-03-03 15:24:44,2017-03-01,TSO,Galante Edward G,Dir,M - OptEx,$0.00,334,1844,+22%,+$0,0.0,-2.0,-3.0,,ANDV
