,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-01 18:48:17,2022-02-25,APRN,Krechmer Irina,CTO,M - OptEx,$0.00,6744,37299,+22%,+$0,,,,,APRN
1,D,2022-03-01 18:48:17,2022-02-28,APRN,Krechmer Irina,CTO,S - Sale+OE,$5.25,-3199,37299,-8%,"-$16,788",,,,,APRN
2,D,2022-03-01 18:47:01,2022-02-25,APRN,Simpson Danielle,CMO,M - OptEx,$0.00,2393,11981,+25%,+$0,,,,,APRN
3,D,2022-03-01 18:47:01,2022-02-28,APRN,Simpson Danielle,CMO,S - Sale+OE,$5.25,-1138,11981,-9%,"-$5,972",,,,,APRN
4,D,2022-03-01 18:44:24,2022-02-25,APRN,Gmunder Charlean,COO,M - OptEx,$0.00,4614,14326,+48%,+$0,,,,,APRN
5,D,2022-03-01 18:44:24,2022-02-28,APRN,Gmunder Charlean,COO,S - Sale+OE,$5.25,-1988,14326,-12%,"-$10,433",,,,,APRN
6,D,2022-03-01 18:42:44,2022-02-25,APRN,Greben Randy J,"CFO, Treasurer",M - OptEx,$0.00,15300,8790,-235%,+$0,,,,,APRN
7,D,2022-03-01 18:42:44,2022-02-28,APRN,Greben Randy J,"CFO, Treasurer",S - Sale+OE,$5.25,-6510,8790,-43%,"-$34,165",,,,,APRN
8,D,2022-03-01 18:39:34,2022-02-25,APRN,Deutsch Meredith L,"GC, Corp. Sec'y",M - OptEx,$0.00,4786,24007,+25%,+$0,,,,,APRN
9,D,2022-03-01 18:39:34,2022-02-28,APRN,Deutsch Meredith L,"GC, Corp. Sec'y",S - Sale+OE,$5.25,-2270,24007,-9%,"-$11,913",,,,,APRN
10,D,2022-02-15 17:00:42,2022-02-14,APRN,Sanberg Joseph N.,10%,P - Purchase,$14.00,357143,6935469,+5%,"+$5,000,002",,,,,APRN
11,M,2021-12-09 21:46:09,2021-12-08,APRN,Salzberg Matthew B,10%,S - Sale,$11.58,-76184,3148603,-2%,"-$882,242",,,,,APRN
12,M,2021-12-07 21:40:51,2021-12-03,APRN,Salzberg Matthew B,10%,S - Sale,$11.71,-190000,3224787,-6%,"-$2,224,023",,,,,APRN
13,D,2021-11-29 16:42:06,2021-11-25,APRN,Gmunder Charlean,COO,M - OptEx,$0.00,18458,11700,-273%,+$0,,,,,APRN
14,D,2021-11-29 16:42:06,2021-11-26,APRN,Gmunder Charlean,COO,S - Sale+OE,$9.89,-6758,11700,-37%,"-$66,813",,,,,APRN
15,D,2021-11-29 16:41:10,2021-11-25,APRN,Deutsch Meredith L,"GC, Corp. Sec'y",M - OptEx,$0.00,4785,21491,+29%,+$0,,,,,APRN
16,D,2021-11-29 16:41:10,2021-11-26,APRN,Deutsch Meredith L,"GC, Corp. Sec'y",S - Sale+OE,$9.89,-2059,21491,-9%,"-$20,356",,,,,APRN
17,D,2021-11-29 16:39:59,2021-11-25,APRN,Kozlowski Linda F,"Pres, CEO",M - OptEx,$0.00,16089,130112,+14%,+$0,,,,,APRN
18,D,2021-11-29 16:39:59,2021-11-26,APRN,Kozlowski Linda F,"Pres, CEO",S - Sale+OE,$9.89,-6919,130112,-5%,"-$68,405",,,,,APRN
19,D,2021-11-29 16:38:56,2021-11-25,APRN,Simpson Danielle,CMO,M - OptEx,$0.00,2393,10726,+29%,+$0,,,,,APRN
20,D,2021-11-29 16:38:56,2021-11-26,APRN,Simpson Danielle,CMO,S - Sale+OE,$9.89,-1034,10726,-9%,"-$10,223",,,,,APRN
21,D,2021-11-29 16:37:46,2021-11-25,APRN,Krechmer Irina,CTO,M - OptEx,$0.00,6744,33754,+25%,+$0,,,,,APRN
22,D,2021-11-29 16:37:46,2021-11-26,APRN,Krechmer Irina,CTO,S - Sale+OE,$9.89,-2904,33754,-8%,"-$28,710",,,,,APRN
23,D,2021-11-01 21:43:52,2021-10-28,APRN,Huebner Elizabeth,Dir,M - OptEx,$10.00,5761,36894,+19%,"+$57,610",,,,,APRN
24,D,2021-11-01 21:42:56,2021-10-28,APRN,Kozlowski Linda F,"Pres, CEO",M - OptEx,$10.00,18886,120942,+19%,"+$188,860",,,,,APRN
25,D,2021-10-18 16:16:47,2021-10-15,APRN,Carr-Smith Jennifer,Dir,M - OptEx,$0.00,6080,6080,New,+$0,,,,,APRN
26,D,2021-10-18 16:16:12,2021-10-15,APRN,Freeman Brenda,Dir,M - OptEx,$0.00,6080,6080,New,+$0,,,,,APRN
27,D,2021-10-18 16:16:02,2021-10-15,APRN,Faricy Peter,Dir,M - OptEx,$0.00,6080,6080,New,+$0,,,,,APRN
