,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-03-16 15:52:30,2022-03-01,AWR,Rowley Paul J,SVP OF OPERATIONS,A - Grant,$83.89,667,3171,+27%,"+$55,967",,,,,AWR
1,,2022-03-16 15:52:30,2022-03-14,AWR,Rowley Paul J,SVP OF OPERATIONS,F - Tax,$83.89,-238,3171,-7%,"-$19,941",,,,,AWR
2,M,2022-03-16 15:47:11,2022-03-01,AWR,Sprowls Robert J,"Pres, CEO",A - Grant,$80.62,13256,157056,+9%,"+$1,068,758",,,,,AWR
3,,2022-03-16 15:47:11,2022-03-14,AWR,Sprowls Robert J,"Pres, CEO",F - Tax,$83.89,-6295,157056,-4%,"-$528,127",,,,,AWR
4,M,2022-03-16 15:41:24,2022-03-01,AWR,Tang Eva G,"SVP, CFO",A - Grant,$81.48,958,36530,+3%,"+$78,094",,,,,AWR
5,,2022-03-16 15:41:24,2022-03-14,AWR,Tang Eva G,"SVP, CFO",F - Tax,$83.89,-356,36530,-1%,"-$29,857",,,,,AWR
6,M,2022-03-16 15:35:41,2022-03-01,AWR,Switzer Bryan K,Former Officer,A - Grant,$83.89,667,9275,+8%,"+$55,923",,,,,AWR
7,,2022-03-16 15:35:41,2022-03-14,AWR,Switzer Bryan K,Former Officer,F - Tax,$83.89,-229,9275,-2%,"-$19,220",,,,,AWR
8,M,2022-03-16 15:34:22,2022-03-01,AWR,Farrow Gladys,VP,A - Grant,$83.89,668,7242,+10%,"+$56,022",,,,,AWR
9,,2022-03-16 15:34:22,2022-03-14,AWR,Farrow Gladys,VP,F - Tax,$83.89,-296,7242,-4%,"-$24,793",,,,,AWR
10,M,2022-03-15 16:26:38,2022-03-02,AWR,Hodges Granville R Jr,SVP-Operations,A - Grant,$67.83,632,18057,+4%,"+$42,898",,,,,AWR
11,,2022-03-15 16:26:38,2022-03-14,AWR,Hodges Granville R Jr,SVP-Operations,F - Tax,$83.89,-217,18057,-1%,"-$18,176",,,,,AWR
12,,2022-03-15 16:24:01,2022-03-11,AWR,Pierotti Jon,VP Reg Affairs,A - Grant,$0.00,336,521,+181%,+$0,,,,,AWR
13,,2022-03-15 16:18:31,2022-03-11,AWR,Connor Christopher H,SVP of ASUS,A - Grant,$0.00,702,702,New,+$0,,,,,AWR
14,,2022-03-04 18:05:19,2022-02-25,AWR,Switzer Bryan K,Former Officer,S - Sale,$83.28,-708,8838,-7%,"-$58,962",,,,,AWR
15,M,2022-02-11 20:37:23,2022-06-02,AWR,Sprowls Robert J,"Pres, CEO",A - Grant,$5.80,1497,150576,+1%,"+$8,680",,,,,AWR
16,,2022-02-11 20:37:23,2022-02-04,AWR,Sprowls Robert J,"Pres, CEO",D - Sale to issuer,$0.00,-3,150576,0%,-$0,,,,,AWR
17,,2022-02-11 20:37:23,2022-02-04,AWR,Sprowls Robert J,"Pres, CEO",F - Tax,$89.69,-1321,150576,-1%,"-$118,452",,,,,AWR
18,,2022-02-11 19:55:07,2022-02-04,AWR,Rowley Paul J,SVP OF OPERATIONS,D - Sale to issuer,$0.00,-253,6031,-4%,-$0,,,,,AWR
19,,2022-02-11 19:55:07,2022-02-04,AWR,Rowley Paul J,SVP OF OPERATIONS,F - Tax,$89.69,-246,6031,-4%,"-$22,058",,,,,AWR
20,M,2022-02-11 19:41:39,2021-06-02,AWR,Kubiak Patrick,VP of Asset Management,A - Grant,$92.68,2,1090,0%,+$171,,,,,AWR
21,,2022-02-11 19:41:39,2022-02-04,AWR,Kubiak Patrick,VP of Asset Management,D - Sale to issuer,$0.00,0,1090,0%,-$0,,,,,AWR
22,,2022-02-11 19:41:39,2022-02-04,AWR,Kubiak Patrick,VP of Asset Management,F - Tax,$89.69,-43,1090,-4%,"-$3,830",,,,,AWR
23,M,2022-02-11 19:38:03,2020-03-02,AWR,Pillai Sunil,VP ENVIRONMENTAL QUALITY,A - Grant,$83.19,18,3533,+1%,"+$1,477",,,,,AWR
24,,2022-02-11 19:38:03,2022-02-04,AWR,Pillai Sunil,VP ENVIRONMENTAL QUALITY,D - Sale to issuer,$0.00,-37,3533,-1%,-$0,,,,,AWR
25,,2022-02-11 19:38:03,2022-02-04,AWR,Pillai Sunil,VP ENVIRONMENTAL QUALITY,F - Tax,$89.69,-162,3533,-4%,"-$14,542",,,,,AWR
26,,2022-02-11 19:28:41,2022-02-04,AWR,Hodges Granville R Jr,SVP-Operations,D - Sale to issuer,$0.00,-4,17641,0%,-$0,,,,,AWR
