,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-03 17:03:02,2022-03-01,BAC,Nguyen Thong M,"Vice Chair, Gl Stra, Ent Plat",F - Tax,$42.47,-59682,432618,-12%,"-$2,534,695",,,,,BAC
1,D,2022-03-03 17:03:02,2022-03-01,BAC,Nguyen Thong M,"Vice Chair, Gl Stra, Ent Plat",M - OptEx,$0.00,110691,432618,+34%,+$0,,,,,BAC
2,D,2022-03-03 16:52:55,2022-03-01,BAC,Greener Geoffrey S,Chief Risk Officer,F - Tax,$42.47,-61732,1094945,-5%,"-$2,621,758",,,,,BAC
3,D,2022-03-03 16:52:55,2022-03-01,BAC,Greener Geoffrey S,Chief Risk Officer,M - OptEx,$0.00,120755,1094945,+12%,+$0,,,,,BAC
4,D,2022-03-03 16:49:18,2022-03-01,BAC,Donofrio Paul M,Vice Chair,F - Tax,$42.47,-66778,939983,-7%,"-$2,836,062",,,,,BAC
5,D,2022-03-03 16:49:18,2022-03-01,BAC,Donofrio Paul M,Vice Chair,M - OptEx,$0.00,120755,939983,+15%,+$0,,,,,BAC
6,D,2022-03-03 16:43:57,2022-03-01,BAC,Athanasia Dean C,"Pres, Regional Banking",F - Tax,$42.47,-49087,337766,-13%,"-$2,084,725",,,,,BAC
7,D,2022-03-03 16:43:57,2022-03-01,BAC,Athanasia Dean C,"Pres, Regional Banking",M - OptEx,$0.00,110691,337766,+49%,+$0,,,,,BAC
8,D,2022-02-17 21:24:17,2022-02-15,BAC,Thompson Bruce R.,"Vice Chair, Head Ent Credit",F - Tax,$47.79,-72882,800271,-8%,"-$3,483,031",,,,,BAC
9,D,2022-02-17 21:24:17,2022-02-15,BAC,Thompson Bruce R.,"Vice Chair, Head Ent Credit",M - OptEx,$0.00,160041,800271,+25%,+$0,,,,,BAC
10,D,2022-02-17 21:21:05,2022-02-15,BAC,Sieg Andrew M.,"Pres, Merrill Wealth Mgmt",F - Tax,$47.79,-33877,326512,-9%,"-$1,618,982",,,,,BAC
11,D,2022-02-17 21:21:05,2022-02-15,BAC,Sieg Andrew M.,"Pres, Merrill Wealth Mgmt",M - OptEx,$0.00,66358,326512,+26%,+$0,,,,,BAC
12,D,2022-02-17 21:19:13,2022-02-15,BAC,Scrivener Thomas M,Chief Operations Exec,F - Tax,$47.79,-20594,53343,-28%,"-$984,187",,,,,BAC
13,D,2022-02-17 21:19:13,2022-02-15,BAC,Scrivener Thomas M,Chief Operations Exec,M - OptEx,$0.00,46256,53343,+653%,+$0,,,,,BAC
14,D,2022-02-17 21:17:23,2022-02-15,BAC,Nguyen Thong M,"Vice Chair, Gl Stra, Ent Plat",F - Tax,$47.79,-44876,381609,-11%,"-$2,144,624",,,,,BAC
15,D,2022-02-17 21:17:23,2022-02-15,BAC,Nguyen Thong M,"Vice Chair, Gl Stra, Ent Plat",M - OptEx,$0.00,94169,381609,+33%,+$0,,,,,BAC
16,D,2022-02-17 21:14:54,2022-02-15,BAC,Mogensen Lauren A,Global GC,F - Tax,$47.79,-26758,334857,-7%,"-$1,278,765",,,,,BAC
17,D,2022-02-17 21:14:54,2022-02-15,BAC,Mogensen Lauren A,Global GC,M - OptEx,$0.00,60331,334857,+22%,+$0,,,,,BAC
18,D,2022-02-17 21:12:52,2022-02-15,BAC,Mensah Bernard A,"Pres, International",D - Sale to issuer,$47.79,-20529,63139,-25%,"-$981,081",,,,,BAC
19,D,2022-02-17 21:12:52,2022-02-15,BAC,Mensah Bernard A,"Pres, International",F - Tax,$47.79,-40113,63139,-39%,"-$1,917,000",,,,,BAC
20,D,2022-02-17 21:12:52,2022-02-15,BAC,Mensah Bernard A,"Pres, International",M - OptEx,$0.00,105874,63139,-248%,+$0,,,,,BAC
21,D,2022-02-17 21:09:30,2022-02-15,BAC,Koder Matthew M,"Pres, Gl Corp, Invest Banking",F - Tax,$47.79,-24616,300137,-8%,"-$1,176,399",,,,,BAC
