,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,DM,2022-03-29 16:07:41,2022-03-25,BAH,Laben Nancy,"EVP, GC",S - Sale+OE,$88.63,-27164,11064,-71%,"-$2,407,580",,,,,BAH
1,,2021-11-15 16:14:55,2021-11-12,BAH,Howell Lloyd Jr,"EVP, CFO, Treasurer",S - Sale,$90.02,-3555,163235,-2%,"-$320,021",,,,,BAH
2,,2021-11-15 16:12:37,2021-11-12,BAH,Penfield Susan L,EVP,S - Sale,$90.00,-14851,10004,-60%,"-$1,336,590",,,,,BAH
3,M,2021-07-30 16:24:12,2021-07-28,BAH,Howell Lloyd Jr,"EVP, CFO, Treasurer",S - Sale,$90.20,-21445,166790,-11%,"-$1,934,283",,,,,BAH
4,DM,2021-07-19 17:30:20,2021-07-15,BAH,Dahut Karen M,EVP,S - Sale+OE,$89.49,-45000,158631,-22%,"-$4,026,875",,,,,BAH
5,,2021-06-11 17:27:24,2021-06-10,BAH,McClain Gretchen W,Dir,S - Sale,$87.55,-2000,21472,-9%,"-$175,100",,,,,BAH
6,D,2021-01-11 16:40:02,2021-01-08,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale+OE,$92.00,-15000,26782,-36%,"-$1,380,000",,,,,BAH
7,,2020-12-18 16:21:16,2020-12-16,BAH,Rozanski Horacio,"Pres, CEO",S - Sale,$90.54,-58802,493676,-11%,"-$5,323,933",,,,,BAH
8,D,2020-12-18 16:20:58,2020-12-16,BAH,Penfield Susan L,EVP,S - Sale+OE,$90.00,-35929,11578,-76%,"-$3,233,610",,,,,BAH
9,D,2020-12-18 16:20:41,2020-12-16,BAH,Laben Nancy,"EVP, GC",S - Sale+OE,$90.38,-22907,17688,-56%,"-$2,070,433",,,,,BAH
10,,2020-12-18 16:20:19,2020-12-16,BAH,Howell Lloyd Jr,"EVP, CFO, Treasurer",S - Sale,$90.00,-20685,148797,-12%,"-$1,861,650",,,,,BAH
11,,2020-12-18 16:19:58,2020-12-16,BAH,Anderson Kristine,EVP,S - Sale,$90.00,-3400,15327,-18%,"-$306,000",,,,,BAH
12,D,2020-11-06 16:14:18,2020-11-04,BAH,Howell Lloyd Jr,"EVP, CFO, Treasurer",S - Sale+OE,$86.25,-41442,169482,-20%,"-$3,574,576",,,,,BAH
13,M,2020-08-12 16:14:34,2020-08-10,BAH,Dahut Karen M,EVP,S - Sale,$85.72,-10000,125230,-7%,"-$857,177",,,,,BAH
14,DM,2020-08-12 16:13:38,2020-08-10,BAH,Labovich Gary D,EVP,S - Sale+OE,$85.11,-45000,122274,-27%,"-$3,830,126",,,,,BAH
15,,2020-06-09 16:20:15,2020-06-05,BAH,Barnes Melody C,Dir,S - Sale,$80.22,-2480,12292,-17%,"-$198,946",,,,,BAH
16,D,2020-06-05 16:08:32,2020-06-04,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale+OE,$80.20,-15000,26782,-36%,"-$1,203,000",,,,,BAH
17,D,2020-06-03 16:07:12,2020-06-01,BAH,Penfield Susan L,EVP,S - Sale+OE,$80.01,-17259,28142,-38%,"-$1,380,893",,,,,BAH
18,M,2020-06-03 16:06:22,2020-06-01,BAH,Dahut Karen M,EVP,S - Sale,$80.19,-10000,135230,-7%,"-$801,946",,,,,BAH
19,,2020-06-01 16:10:21,2020-05-29,BAH,McClain Gretchen W,Dir,S - Sale,$78.13,-2000,21666,-8%,"-$156,260",,,,,BAH
20,,2020-02-04 17:04:25,2020-01-31,BAH,Rozanski Horacio,"Pres, CEO",S - Sale,$80.00,-31092,518426,-6%,"-$2,487,360",,,,,BAH
