,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-05-20 17:07:41,2022-05-19,BE,Soderberg Shawn Marie,"EVP, GC, Secretary",S - Sale+OE,$15.72,-2397,357718,-1%,"-$37,681",,,,,BE
1,D,2022-05-20 17:04:22,2022-05-17,BE,Griffiths Glen,"EVP, Services",S - Sale+OE,$14.44,-645,337740,0%,"-$9,314",,,,,BE
2,D,2022-04-19 19:28:16,2022-04-18,BE,Soderberg Shawn Marie,"EVP, GC, Secretary",S - Sale+OE,$22.24,-7519,357084,-2%,"-$167,213",,,,,BE
3,,2022-03-25 18:06:20,2022-03-23,BE,Griffiths Glen,"EVP, Services",S - Sale,$25.00,-3057,129424,-2%,"-$76,425",,,,,BE
4,DM,2022-03-18 19:49:58,2022-03-16,BE,Venkataraman Swaminathan,"EVP of Engineering, CTO",S - Sale+OE,$22.28,-6732,164179,-4%,"-$149,957",,,,,BE
5,DM,2022-03-17 21:58:07,2022-03-16,BE,Soderberg Shawn Marie,"EVP, GC, Secretary",S - Sale+OE,$22.08,-4403,348345,-1%,"-$97,225",,,,,BE
6,D,2022-03-17 20:20:55,2022-03-16,BE,Griffiths Glen,"EVP, Services",S - Sale+OE,$21.44,-1998,131223,-1%,"-$42,837",,,,,BE
7,D,2022-03-17 20:15:48,2022-03-16,BE,Cameron Gregory D,CFO,S - Sale+OE,$21.39,-61194,100516,-38%,"-$1,308,921",,,,,BE
8,,2022-03-17 20:10:33,2022-03-16,BE,Sridhar Kr,"COB, CEO",S - Sale,$21.40,-10823,432875,-2%,"-$231,567",,,,,BE
9,D,2022-02-17 20:41:36,2022-02-16,BE,Venkataraman Swaminathan,"EVP of Engineering, CTO",S - Sale+OE,$19.64,-13758,164416,-8%,"-$270,239",,,,,BE
10,D,2022-02-17 20:38:34,2022-02-16,BE,Griffiths Glen,"EVP, Services",S - Sale+OE,$19.64,-6143,126617,-5%,"-$120,663",,,,,BE
11,D,2022-02-17 20:33:56,2022-02-16,BE,Sridhar Kr,"COB, CEO",S - Sale+OE,$19.64,-65065,443698,-13%,"-$1,278,026",,,,,BE
12,D,2022-02-17 20:22:34,2022-02-16,BE,Soderberg Shawn Marie,"EVP, GC, Secretary",S - Sale+OE,$19.64,-11093,346685,-3%,"-$217,892",,,,,BE
13,D,2021-12-20 21:09:12,2021-12-16,BE,Venkataraman Swaminathan,"EVP of Engineering, CTO",S - Sale+OE,$22.96,-4166,143132,-3%,"-$95,656",,,,,BE
14,,2021-12-20 21:00:22,2021-12-16,BE,Sridhar Kr,"COB, CEO",S - Sale,$22.85,-10524,386264,-3%,"-$240,494",,,,,BE
15,,2021-12-20 20:55:47,2021-12-16,BE,Soderberg Shawn Marie,"EVP, GC, Secretary",S - Sale,$22.93,-3059,329482,-1%,"-$70,146",,,,,BE
16,D,2021-12-16 18:59:25,2021-12-16,BE,Griffiths Glen,"EVP, Services",S - Sale+OE,$22.98,-2776,114298,-2%,"-$63,792",,,,,BE
17,,2021-11-19 17:38:30,2021-11-18,BE,Griffiths Glen,"EVP, Services",S - Sale,$31.32,-991,110647,-1%,"-$31,038",,,,,BE
18,,2021-11-17 19:10:21,2021-11-16,BE,Venkataraman Swaminathan,"EVP of Engineering, CTO",S - Sale,$30.95,-1615,140632,-1%,"-$49,983",,,,,BE
