,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-12-02 17:00:52,2021-12-02,BRSP,Long Catherine F.,Dir,A - Grant,$0.00,4543,4543,New,+$0,,,,,BRSP
1,,2021-10-15 16:24:52,2021-10-13,BRSP,Diamond Kim S,Dir,A - Grant,$0.00,5690,5690,New,+$0,,,,,BRSP
2,,2021-08-18 16:44:59,2021-08-16,BRSP,Palame David A,See Remarks,P - Purchase,$9.47,10000,204082,+5%,"+$94,700",,,,,BRSP
3,,2021-08-18 16:43:17,2021-08-16,BRSP,Saracino Frank V,See Remarks,P - Purchase,$9.29,10000,122298,+9%,"+$92,900",,,,,BRSP
4,,2021-08-18 16:41:18,2021-08-18,BRSP,Witt Andrew Elmore,See Remarks,P - Purchase,$9.43,10000,214386,+5%,"+$94,300",,,,,BRSP
5,M,2021-08-18 16:39:01,2021-08-16,BRSP,Mazzei Michael,"CEO, Pres",P - Purchase,$9.42,100000,522973,+24%,"+$942,350",,,,,BRSP
6,,2021-08-17 17:01:13,2021-08-13,BRSP,"Digitalbridge Group, Inc.",10%,S - Sale,$9.00,-9487500,35452367,-21%,"-$85,387,500",,,,,BRSP
7,,2021-06-11 18:30:24,2021-06-10,CLNC,Rice Catherine,Dir,A - Grant,$0.00,9515,45700,+26%,+$0,,,,,BRSP
8,,2021-06-11 18:30:22,2021-06-10,CLNC,Wilson Winston W.,Dir,A - Grant,$0.00,9515,52666,+22%,+$0,,,,,BRSP
9,,2021-06-11 18:30:18,2021-06-10,CLNC,Westerfield John E,Dir,A - Grant,$0.00,9515,45700,+26%,+$0,,,,,BRSP
10,,2021-06-11 18:30:13,2021-06-10,CLNC,Schwartz Vernon B,Dir,A - Grant,$0.00,9515,51913,+22%,+$0,,,,,BRSP
11,,2021-05-04 18:30:34,2021-04-30,CLNC,Witt Andrew Elmore,COO,F - Tax,$8.84,-2144,204386,-1%,"-$18,953",,,,,BRSP
12,,2021-04-06 18:00:18,2021-04-02,CLNC,Mazzei Michael,"CEO, Pres",F - Tax,$8.60,-70027,422973,-14%,"-$602,232",,,,,BRSP
13,,2021-03-16 18:00:56,2021-03-15,CLNC,Palame David A,"GC, SECRETARY",F - Tax,$9.37,-5313,194082,-3%,"-$49,783",,,,,BRSP
14,,2021-03-16 18:00:30,2021-03-15,CLNC,Saracino Frank V,See Remarks,F - Tax,$9.37,-4080,112298,-4%,"-$38,230",,,,,BRSP
15,,2021-03-16 18:00:24,2021-03-15,CLNC,Witt Andrew Elmore,COO,F - Tax,$9.37,-2171,206530,-1%,"-$20,342",,,,,BRSP
16,,2021-01-13 18:00:17,2021-01-11,CLNC,Palame David A,"GC, SECRETARY",A - Grant,$0.00,115000,199395,+136%,+$0,,,,,BRSP
17,,2021-01-13 18:00:14,2021-01-11,CLNC,Witt Andrew Elmore,COO,A - Grant,$0.00,190000,208701,>999%,+$0,,,,,BRSP
18,,2021-01-13 18:00:13,2021-01-12,CLNC,Mazzei Michael,"CEO, Pres",A - Grant,$0.00,350000,493000,+245%,+$0,,,,,BRSP
19,,2021-01-13 18:00:08,2021-01-11,CLNC,Saracino Frank V,See Remarks,A - Grant,$0.00,90000,116378,+341%,+$0,,,,,BRSP
20,,2021-01-04 19:30:08,2020-12-30,CLNC,Hedstrom Mark M.,Dir,F - Tax,$7.27,-14378,34267,-30%,"-$104,528",,,,,BRSP
21,,2020-10-02 21:26:13,2020-05-13,CLNC,Westerfield John E,Dir,A - Grant,$0.00,23585,36185,+187%,+$0,,,,,BRSP
22,,2020-10-02 21:25:36,2020-05-13,CLNC,Wilson Winston W.,Dir,A - Grant,$0.00,23585,43151,+121%,+$0,,,,,BRSP
23,,2020-10-02 21:22:06,2020-05-13,CLNC,Rice Catherine,Dir,A - Grant,$0.00,23585,36185,+187%,+$0,,,,,BRSP
24,,2020-10-02 21:16:33,2020-05-13,CLNC,Schwartz Vernon B,Dir,A - Grant,$0.00,23585,42398,+125%,+$0,,,,,BRSP
25,,2020-09-24 08:00:13,2020-09-23,CLNC,Palame David A,"GC, SECRETARY",P - Purchase,$4.70,10000,84395,+13%,"+$47,000",,,,,BRSP
26,,2020-09-14 18:44:24,2020-09-11,CLNC,Palame David A,"GC, SECRETARY",P - Purchase,$5.00,10000,74395,+16%,"+$50,000",,,,,BRSP
27,,2020-04-21 21:21:15,2020-04-20,CLNC,Tangen Darren J.,Dir,F - Tax,$4.08,-16764,138995,-11%,"-$68,397",,,,,BRSP
28,,2020-04-03 19:15:36,2020-04-02,CLNC,Mazzei Michael,"CEO, Pres",A - Grant,$0.00,143000,143000,New,+$0,,,,,BRSP
29,,2020-03-16 17:13:24,2020-03-16,CLNC,Saracino Frank V,CHIEF ACCOUNTING OFFICER,F - Tax,$7.08,-4079,26378,-13%,"-$28,879",,,,,BRSP
30,,2020-03-10 17:00:31,2020-03-08,CLNC,Traenkle Kevin P.,Dir,F - Tax,$11.96,-65387,209490,-24%,"-$782,029",,,,,BRSP
31,M,2019-11-13 16:34:06,2019-11-12,CLNC,Traenkle Kevin P.,"CEO, Pres",P - Purchase,$11.93,100000,274877,+57%,"+$1,193,000",,,,,BRSP
32,A,2019-11-13 16:33:40,2019-11-12,CLNC,Tangen Darren J.,Dir,P - Purchase,$11.72,90000,155759,+137%,"+$1,054,800",,,,,BRSP
33,A,2019-11-13 16:33:13,2019-11-12,CLNC,Palame David A,"GC, SECRETARY",P - Purchase,$12.00,25000,64395,+63%,"+$300,000",,,,,BRSP
