,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-11 16:14:25,2022-02-10,BRX,Taylor James M Jr,"Pres, CEO",S - Sale,$25.47,-25000,526661,-5%,"-$636,750",,,,,BRX
1,,2022-02-11 16:13:19,2022-02-10,BRX,Siegel Steven F,See Remarks,S - Sale,$25.96,-5125,344000,-1%,"-$133,045",,,,,BRX
2,D,2022-02-03 16:40:36,2022-02-01,BRX,Horgan Mark,"EVP, Chief Investment Officer",A - Grant,$0.00,36042,177256,+26%,+$0,,,,,BRX
3,D,2022-02-03 16:40:36,2022-02-01,BRX,Horgan Mark,"EVP, Chief Investment Officer",F - Tax,$25.13,-18399,177256,-9%,"-$462,367",,,,,BRX
4,D,2022-02-03 16:40:14,2022-02-01,BRX,Taylor James M Jr,"Pres, CEO",A - Grant,$0.00,102976,551661,+23%,+$0,,,,,BRX
5,D,2022-02-03 16:40:14,2022-02-01,BRX,Taylor James M Jr,"Pres, CEO",F - Tax,$25.13,-52569,551661,-9%,"-$1,321,059",,,,,BRX
6,D,2022-02-03 16:39:53,2022-02-01,BRX,Siegel Steven F,See Remarks,A - Grant,$0.00,28318,349125,+9%,+$0,,,,,BRX
7,D,2022-02-03 16:39:53,2022-02-01,BRX,Siegel Steven F,See Remarks,F - Tax,$25.13,-14456,349125,-4%,"-$363,279",,,,,BRX
8,D,2022-02-03 16:39:43,2022-02-01,BRX,Finnegan Brian T,See Remarks,A - Grant,$0.00,34326,155682,+28%,+$0,,,,,BRX
9,D,2022-02-03 16:39:43,2022-02-01,BRX,Finnegan Brian T,See Remarks,F - Tax,$25.13,-17523,155682,-10%,"-$440,353",,,,,BRX
10,D,2022-02-03 16:38:54,2022-02-01,BRX,Aman Angela M,"EVP, CFO",A - Grant,$0.00,37758,123309,+44%,+$0,,,,,BRX
11,D,2022-02-03 16:38:54,2022-02-01,BRX,Aman Angela M,"EVP, CFO",F - Tax,$25.13,-19275,123309,-14%,"-$484,381",,,,,BRX
12,D,2022-02-03 16:38:14,2022-02-01,BRX,Singh Carolyn Carter,See Remarks,A - Grant,$0.00,12872,233642,+6%,+$0,,,,,BRX
13,D,2022-02-03 16:38:14,2022-02-01,BRX,Singh Carolyn Carter,See Remarks,F - Tax,$25.13,-5187,233642,-2%,"-$130,349",,,,,BRX
14,,2022-01-14 16:07:29,2022-01-13,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$27.00,-5000,225957,-2%,"-$135,000",,,,,BRX
15,,2022-01-07 16:10:00,2022-01-05,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$26.02,-5000,230957,-2%,"-$130,100",,,,,BRX
16,,2022-01-07 16:09:38,2022-01-05,BRX,Aman Angela M,"EVP, CFO",S - Sale,$26.00,-10000,104826,-9%,"-$260,000",,,,,BRX
17,D,2022-01-04 17:06:57,2022-01-01,BRX,Aman Angela M,"EVP, CFO",F - Tax,$25.41,-25893,114826,-18%,"-$657,941",,,,,BRX
18,D,2022-01-04 17:06:57,2022-01-01,BRX,Aman Angela M,"EVP, CFO",M - OptEx,$0.00,54017,114826,+89%,+$0,,,,,BRX
19,D,2022-01-04 17:05:02,2022-01-01,BRX,Gallagher Steven T,Chief Accounting Officer,F - Tax,$25.41,-3594,17232,-17%,"-$91,324",,,,,BRX
20,D,2022-01-04 17:05:02,2022-01-01,BRX,Gallagher Steven T,Chief Accounting Officer,M - OptEx,$0.00,11630,17232,+208%,+$0,,,,,BRX
21,D,2022-01-04 17:04:38,2022-01-01,BRX,Siegel Steven F,See Remarks,F - Tax,$25.41,-22056,335263,-6%,"-$560,443",,,,,BRX
22,D,2022-01-04 17:04:38,2022-01-01,BRX,Siegel Steven F,See Remarks,M - OptEx,$0.00,44187,335263,+15%,+$0,,,,,BRX
23,D,2022-01-04 17:03:44,2022-01-01,BRX,Singh Carolyn Carter,See Remarks,F - Tax,$25.41,-8032,235957,-3%,"-$204,093",,,,,BRX
24,D,2022-01-04 17:03:44,2022-01-01,BRX,Singh Carolyn Carter,See Remarks,M - OptEx,$0.00,19221,235957,+9%,+$0,,,,,BRX
25,D,2022-01-04 17:03:21,2022-01-01,BRX,Horgan Mark,"EVP, Chief Investment Officer",F - Tax,$25.41,-21294,159613,-12%,"-$541,081",,,,,BRX
26,D,2022-01-04 17:03:21,2022-01-01,BRX,Horgan Mark,"EVP, Chief Investment Officer",M - OptEx,$0.00,52717,159613,+49%,+$0,,,,,BRX
27,D,2022-01-04 17:02:51,2022-01-01,BRX,Taylor James M Jr,"Pres, CEO",F - Tax,$25.41,-77687,501254,-13%,"-$1,974,027",,,,,BRX
28,D,2022-01-04 17:02:51,2022-01-01,BRX,Taylor James M Jr,"Pres, CEO",M - OptEx,$0.00,163184,501254,+48%,+$0,,,,,BRX
29,D,2022-01-04 17:01:24,2022-01-01,BRX,Finnegan Brian T,See Remarks,F - Tax,$25.41,-15490,138879,-10%,"-$393,601",,,,,BRX
30,D,2022-01-04 17:01:24,2022-01-01,BRX,Finnegan Brian T,See Remarks,M - OptEx,$0.00,41350,138879,+42%,+$0,,,,,BRX
31,,2021-12-03 16:10:41,2021-12-03,BRX,Hurwitz Daniel B,Dir,G - Gift,$0.00,-2000,54478,-4%,-$0,,,,,BRX
32,,2021-12-01 16:17:03,2021-12-01,BRX,Berman Michael B,Dir,A - Grant,$0.00,5000,55475,+10%,+$0,,,,,BRX
33,,2021-12-01 16:16:30,2021-12-01,BRX,Crosland Sheryl Maxwell,Dir,A - Grant,$0.00,5000,34090,+17%,+$0,,,,,BRX
34,,2021-11-24 16:08:28,2021-11-22,BRX,Finnegan Brian T,See Remarks,S - Sale,$24.91,-5000,113019,-4%,"-$124,550",,,,,BRX
35,,2021-11-05 16:19:35,2021-11-03,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$25.00,-5000,224768,-2%,"-$125,000",,,,,BRX
36,,2021-10-22 16:13:42,2021-10-20,BRX,Finnegan Brian T,See Remarks,S - Sale,$23.71,-5000,118019,-4%,"-$118,550",,,,,BRX
37,,2021-09-22 16:11:27,2021-09-20,BRX,Finnegan Brian T,See Remarks,S - Sale,$22.58,-5000,123019,-4%,"-$112,900",,,,,BRX
38,,2021-09-17 16:06:37,2021-09-15,BRX,Siegel Steven F,See Remarks,S - Sale,$23.40,-7500,313132,-2%,"-$175,500",,,,,BRX
39,,2021-08-20 17:57:30,2021-08-20,BRX,Finnegan Brian T,See Remarks,S - Sale,$22.57,-5000,128019,-4%,"-$112,850",,,,,BRX
40,,2021-08-18 16:12:28,2021-08-16,BRX,Siegel Steven F,See Remarks,S - Sale,$23.28,-7500,320632,-2%,"-$174,600",,,,,BRX
41,,2021-07-16 16:46:56,2021-07-15,BRX,Siegel Steven F,See Remarks,S - Sale,$22.66,-7500,328132,-2%,"-$169,950",,,,,BRX
42,,2021-06-17 16:14:35,2021-06-15,BRX,Siegel Steven F,See Remarks,S - Sale,$23.68,-7500,335632,-2%,"-$177,600",,,,,BRX
43,,2021-06-10 16:19:56,2021-06-08,BRX,Aman Angela M,"EVP, CFO",S - Sale,$24.00,-10000,86702,-10%,"-$240,000",,,,,BRX
44,,2021-06-10 16:19:04,2021-06-08,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$24.00,-5000,229768,-2%,"-$120,000",,,,,BRX
45,,2021-06-01 16:17:04,2021-06-01,BRX,Sulzberger Gabrielle,Dir,A - Grant,$0.00,5000,37161,+16%,+$0,,,,,BRX
46,,2021-06-01 16:16:19,2021-06-01,BRX,Hurwitz Daniel B,Dir,A - Grant,$0.00,5000,56478,+10%,+$0,,,,,BRX
47,,2021-05-24 16:10:11,2021-05-20,BRX,Aman Angela M,"EVP, CFO",F - Tax,$21.85,-5767,96702,-6%,"-$126,009",,,,,BRX
48,,2021-05-24 16:07:28,2021-05-20,BRX,Horgan Mark,"EVP, Chief Investment Officer",F - Tax,$21.85,-4692,128190,-4%,"-$102,520",,,,,BRX
49,,2021-05-19 16:11:47,2021-05-17,BRX,Siegel Steven F,See Remarks,S - Sale,$22.32,-7500,343132,-2%,"-$167,400",,,,,BRX
50,,2021-04-28 16:18:03,2021-04-26,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$22.00,-5000,234768,-2%,"-$110,000",,,,,BRX
51,,2021-04-28 16:16:00,2021-04-26,BRX,Aman Angela M,"EVP, CFO",S - Sale,$22.00,-7500,102469,-7%,"-$165,000",,,,,BRX
52,,2021-04-28 16:14:16,2021-04-26,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$22.00,-5000,234768,-2%,"-$110,000",,,,,BRX
53,,2021-04-16 16:12:04,2021-04-15,BRX,Siegel Steven F,See Remarks,S - Sale,$20.72,-7500,350632,-2%,"-$155,400",,,,,BRX
54,,2021-04-09 16:14:18,2021-04-09,BRX,Singh Carolyn Carter,See Remarks,S - Sale,$20.64,-10000,239768,-4%,"-$206,400",,,,,BRX
55,,2021-04-01 16:06:27,2021-04-01,BRX,Dickson Thomas W,Dir,A - Grant,$0.00,5000,35000,+17%,+$0,,,,,BRX
56,,2021-04-01 16:05:07,2021-04-01,BRX,Rahm William D.,Dir,A - Grant,$0.00,5000,40000,+14%,+$0,,,,,BRX
57,,2021-03-01 16:21:52,2021-03-01,BRX,Bowerman Julie,Dir,A - Grant,$0.00,5000,15000,+50%,+$0,,,,,BRX
58,,2021-03-01 16:19:28,2021-03-01,BRX,Schreiber John,Dir,A - Grant,$0.00,5000,80000,+7%,+$0,,,,,BRX
59,,2021-02-26 16:07:46,2021-02-24,BRX,Siegel Steven F,See Remarks,S - Sale,$20.46,-7500,358132,-2%,"-$153,450",,,,,BRX
60,,2021-02-24 16:30:09,2021-02-22,BRX,Aman Angela M,"EVP, CFO",S - Sale,$20.00,-7500,109969,-6%,"-$150,000",,,,,BRX
61,D,2021-02-04 17:06:14,2021-02-02,BRX,Aman Angela M,"EVP, CFO",A - Grant,$0.00,37928,117469,+48%,+$0,,,,,BRX
62,D,2021-02-04 17:06:14,2021-02-02,BRX,Aman Angela M,"EVP, CFO",F - Tax,$17.24,-17355,117469,-13%,"-$299,200",,,,,BRX
63,D,2021-02-04 17:05:35,2021-02-02,BRX,Finnegan Brian T,See Remarks,A - Grant,$0.00,26550,133019,+25%,+$0,,,,,BRX
64,D,2021-02-04 17:05:35,2021-02-02,BRX,Finnegan Brian T,See Remarks,F - Tax,$17.24,-9019,133019,-6%,"-$155,488",,,,,BRX
65,D,2021-02-04 17:03:37,2021-02-02,BRX,Horgan Mark,"EVP, Chief Investment Officer",A - Grant,$0.00,37928,132882,+40%,+$0,,,,,BRX
