,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-18 15:57:42,2022-05-16,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$51.97,-3500,255636,-1%,"-$181,909",,,,,CIEN
1,,2022-05-18 15:37:34,2022-05-16,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$51.97,-4500,105773,-4%,"-$233,843",,,,,CIEN
2,,2022-05-18 15:22:35,2022-05-16,CIEN,Alexander Stephen B,"SVP, CTO",S - Sale,$52.23,-2000,35600,-5%,"-$104,460",,,,,CIEN
3,,2022-05-12 16:43:01,2022-05-10,CIEN,Smith Gary B,"Pres, CEO",S - Sale,$51.62,-3542,447466,-1%,"-$182,849",,,,,CIEN
4,,2022-04-27 14:57:36,2022-04-25,CIEN,Smith Gary B,"Pres, CEO",S - Sale,$56.76,-3542,451008,-1%,"-$201,055",,,,,CIEN
5,,2022-04-18 18:18:01,2022-04-14,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$57.29,-5000,110273,-4%,"-$286,450",,,,,CIEN
6,,2022-04-18 11:07:11,2022-04-14,CIEN,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$57.29,-1000,33503,-3%,"-$57,290",,,,,CIEN
7,,2022-04-18 11:02:13,2022-04-14,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$57.29,-3500,259146,-1%,"-$200,515",,,,,CIEN
8,,2022-04-14 12:00:46,2022-04-11,CIEN,Smith Gary B,"Pres, CEO",S - Sale,$57.65,-3542,454550,-1%,"-$204,195",,,,,CIEN
9,,2022-04-07 14:06:47,2022-04-05,CIEN,Obrien Judith M,Dir,S - Sale,$61.40,-2839,68341,-4%,"-$174,315",,,,,CIEN
10,,2022-03-24 09:40:10,2022-03-22,CIEN,Phipps Jason,"SVP Global Sales, Marketing",S - Sale,$59.66,-2863,84233,-3%,"-$170,807",,,,,CIEN
11,,2022-03-24 09:21:20,2022-03-22,CIEN,Hamilton Rick,"SVP, Software, Services",S - Sale,$59.66,-2598,72142,-3%,"-$154,997",,,,,CIEN
12,,2022-03-17 16:01:29,2022-03-15,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$54.20,-5000,116538,-4%,"-$270,995",,,,,CIEN
13,,2022-03-17 15:50:12,2022-03-15,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$54.11,-3500,264158,-1%,"-$189,385",,,,,CIEN
14,,2022-03-17 15:45:03,2022-03-15,CIEN,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$54.11,-1000,34816,-3%,"-$54,110",,,,,CIEN
15,,2022-02-17 14:56:53,2022-02-15,CIEN,Alexander Stephen B,"SVP, CTO",S - Sale,$64.42,-2000,40664,-5%,"-$128,840",,,,,CIEN
16,,2022-02-17 14:22:15,2022-02-15,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$64.47,-5500,121538,-4%,"-$354,600",,,,,CIEN
17,,2022-02-17 14:14:11,2022-02-15,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$64.42,-3500,267658,-1%,"-$225,470",,,,,CIEN
18,,2022-02-17 13:59:08,2022-02-15,CIEN,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$64.42,-1000,35816,-3%,"-$64,420",,,,,CIEN
19,,2022-01-20 16:31:20,2022-01-18,CIEN,Alexander Stephen B,"SVP, CTO",S - Sale,$70.63,-2000,42664,-4%,"-$141,260",,,,,CIEN
20,,2022-01-20 16:28:14,2022-01-18,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$70.63,-3500,271158,-1%,"-$247,205",,,,,CIEN
21,,2022-01-20 16:24:08,2022-01-18,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$70.63,-5500,127038,-4%,"-$388,465",,,,,CIEN
22,,2022-01-18 16:13:14,2022-01-14,CIEN,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$71.81,-1000,36816,-3%,"-$71,810",,,,,CIEN
23,,2021-12-27 20:58:37,2021-12-22,CIEN,McFeely Scott,"SVP, Networking Platforms",S - Sale,$75.75,-8000,132538,-6%,"-$605,974",,,,,CIEN
24,,2021-12-27 18:32:30,2021-12-21,CIEN,Hamilton Rick,"SVP, Software, Services",S - Sale,$74.37,-15390,76024,-17%,"-$1,144,560",,,,,CIEN
25,,2021-12-27 17:59:44,2021-12-21,CIEN,Phipps Jason,"SVP Global Sales, Marketing",S - Sale,$74.37,-21598,88789,-20%,"-$1,606,291",,,,,CIEN
26,,2021-12-17 13:05:58,2021-12-15,CIEN,Alexander Stephen B,"SVP, CTO",S - Sale,$73.86,-2000,57492,-3%,"-$147,720",,,,,CIEN
27,,2021-12-17 12:44:38,2021-12-15,CIEN,Rothenstein David M,"SVP, GC",S - Sale,$73.86,-2500,292274,-1%,"-$184,650",,,,,CIEN
28,,2021-12-17 12:41:07,2021-12-15,CIEN,Petrik Andrew C,"VP, CONTROLLER",S - Sale,$73.86,-1000,40438,-2%,"-$73,860",,,,,CIEN
29,,2021-12-17 10:16:57,2021-12-14,CIEN,Moylan James E Jr,"SVP Finance, CFO",S - Sale,$74.10,-2000,366355,-1%,"-$148,200",,,,,CIEN
30,,2021-11-29 12:37:49,2021-11-24,CIEN,Moylan James E Jr,"SVP Finance, CFO",S - Sale,$60.35,-2000,311048,-1%,"-$120,700",,,,,CIEN
31,,2021-11-17 15:35:25,2021-11-15,CIEN,Alexander Stephen B,"SVP, CTO",S - Sale,$61.44,-2000,65703,-3%,"-$122,880",,,,,CIEN
