,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2020-12-28 17:55:17,2020-12-23,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale,$41.57,-1244,928067,0%,"-$51,709",,,,,CKH
1,M,2020-12-22 17:45:59,2020-12-18,CKH,Lorentzen Oivind,Dir,S - Sale,$41.55,-4022,45294,-8%,"-$167,114",,,,,CKH
2,M,2020-12-21 16:55:09,2020-12-17,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale,$41.59,-10182,929311,-1%,"-$423,499",,,,,CKH
3,M,2020-12-17 16:46:13,2020-12-15,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale,$41.63,-23506,939493,-2%,"-$978,623",,,,,CKH
4,M,2020-12-15 17:53:16,2020-12-11,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale,$41.85,-64902,962999,-6%,"-$2,716,315",,,,,CKH
5,D,2020-12-15 17:53:00,2020-12-11,CKH,Lorentzen Oivind,Dir,S - Sale+OE,$41.86,-60089,49316,-55%,"-$2,515,560",,,,,CKH
6,,2020-12-14 20:44:32,2020-12-10,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale,$41.99,-81334,1027901,-7%,"-$3,415,231",,,,,CKH
7,D,2020-05-20 16:45:32,2020-05-18,CKH,Lorentzen Oivind,Dir,S - Sale+OE,$24.76,-5992,48941,-11%,"-$148,362",,,,,CKH
8,,2020-03-24 19:58:53,2020-03-20,CKH,Fabrikant Charles,"Exec COB, CEO",P - Purchase,$23.54,2000,1109235,0%,"+$47,070",,,,,CKH
9,,2020-03-13 16:27:21,2020-03-11,CKH,Fabrikant Charles,"Exec COB, CEO",P - Purchase,$25.71,5649,1107235,+1%,"+$145,247",,,,,CKH
10,,2020-03-11 16:34:58,2020-03-09,CKH,Fabrikant Charles,"Exec COB, CEO",P - Purchase,$27.50,5000,1101586,0%,"+$137,500",,,,,CKH
11,D,2019-09-17 17:07:01,2019-09-13,CKH,Fabrikant Eric,COO,S - Sale+OE,$50.28,-6984,80527,-8%,"-$351,184",,,,,CKH
12,,2019-09-13 17:26:56,2019-09-11,CKH,Weins Bruce,"SVP, CFO",S - Sale,$49.25,-5000,16644,-23%,"-$246,250",,,,,CKH
13,DM,2019-09-10 19:22:51,2019-09-06,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale+OE,$47.33,-59932,1089897,-5%,"-$2,836,604",,,,,CKH
14,D,2019-04-01 16:42:07,2019-03-29,CKH,Lorentzen Oivind,Vice Chairman,S - Sale+OE,$42.51,-5992,48441,-11%,"-$254,730",,,,,CKH
15,DM,2018-11-08 17:16:50,2018-11-06,CKH,Fabrikant Charles,"Exec COB, CEO",S - Sale+OE,$50.19,-51432,1069525,-5%,"-$2,581,583",,,,,CKH
16,D,2018-06-20 16:28:38,2018-06-19,CKH,Fabrikant Eric,COO,S - Sale+OE,$55.25,-4988,57462,-8%,"-$275,587",,,,,CKH
