,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-10 16:38:19,2022-03-08,COLD,Smernoff Marc,"EVP, CFO",F - Tax,$27.02,-680,177899,0%,"-$18,374",,,,,COLD
1,D,2022-03-10 16:38:19,2022-03-08,COLD,Smernoff Marc,"EVP, CFO",M - OptEx,$0.00,2297,177899,+1%,+$0,,,,,COLD
2,D,2022-03-10 16:29:11,2022-03-08,COLD,Snyder James C Jr,"EVP, GC",F - Tax,$27.02,-453,36767,-1%,"-$12,240",,,,,COLD
3,D,2022-03-10 16:29:11,2022-03-08,COLD,Snyder James C Jr,"EVP, GC",M - OptEx,$0.00,1530,36767,+4%,+$0,,,,,COLD
4,D,2022-03-10 16:28:42,2022-03-08,COLD,Novosel Thomas C,See Remarks,F - Tax,$27.02,-1097,7839,-12%,"-$29,641",,,,,COLD
5,D,2022-03-10 16:28:42,2022-03-08,COLD,Novosel Thomas C,See Remarks,M - OptEx,$0.00,3700,7839,+89%,+$0,,,,,COLD
6,D,2022-03-10 16:28:42,2022-03-09,COLD,Novosel Thomas C,See Remarks,S - Sale+OE,$27.52,-9000,7839,-53%,"-$247,653",,,,,COLD
7,D,2022-03-10 16:27:36,2022-03-08,COLD,Harron James Andrew,"EVP, Chief Investment Officer",F - Tax,$27.02,-1438,18719,-7%,"-$38,855",,,,,COLD
8,D,2022-03-10 16:27:36,2022-03-08,COLD,Harron James Andrew,"EVP, Chief Investment Officer",M - OptEx,$0.00,4854,18719,+35%,+$0,,,,,COLD
9,D,2022-01-25 16:13:32,2022-01-23,COLD,Novosel Thomas C,See Remarks,F - Tax,$28.50,-1412,14236,-9%,"-$40,242",,,,,COLD
10,D,2022-01-25 16:13:32,2022-01-23,COLD,Novosel Thomas C,See Remarks,M - OptEx,$0.00,4688,14236,+49%,+$0,,,,,COLD
11,D,2022-01-25 16:13:06,2022-01-23,COLD,Smernoff Marc,"EVP, CFO",F - Tax,$28.25,-3759,176282,-2%,"-$106,192",,,,,COLD
12,D,2022-01-25 16:13:06,2022-01-23,COLD,Smernoff Marc,"EVP, CFO",M - OptEx,$0.00,8334,176282,+5%,+$0,,,,,COLD
13,,2022-01-11 18:30:07,2022-01-08,COLD,Snyder James C Jr,"EVP, GC",A - Grant,$0.00,12575,35710,+54%,+$0,,,,,COLD
14,,2022-01-11 18:30:07,2022-01-08,COLD,Snyder James C Jr,"EVP, GC",F - Tax,$31.00,-5882,35710,-14%,"-$182,342",,,,,COLD
15,,2022-01-11 18:29:47,2022-01-08,COLD,Novosel Thomas C,See Remarks,A - Grant,$0.00,3144,10960,+40%,+$0,,,,,COLD
16,,2022-01-11 18:29:47,2022-01-08,COLD,Novosel Thomas C,See Remarks,F - Tax,$31.00,-1113,10960,-9%,"-$34,503",,,,,COLD
17,,2022-01-11 18:29:29,2022-01-08,COLD,Rodriguez Carlos V,"EVP, COO",A - Grant,$0.00,18862,41863,+82%,+$0,,,,,COLD
18,,2022-01-11 18:29:29,2022-01-08,COLD,Rodriguez Carlos V,"EVP, COO",F - Tax,$31.00,-8331,41863,-17%,"-$258,261",,,,,COLD
19,,2022-01-11 18:29:01,2022-01-08,COLD,Smernoff Marc,"EVP, CFO",A - Grant,$0.00,18862,171707,+12%,+$0,,,,,COLD
20,,2022-01-11 18:29:01,2022-01-08,COLD,Smernoff Marc,"EVP, CFO",F - Tax,$31.00,-8709,171707,-5%,"-$269,979",,,,,COLD
21,,2022-01-11 18:25:42,2022-01-08,COLD,Harron James Andrew,"EVP, Chief Investment Officer",A - Grant,$0.00,12575,15303,+461%,+$0,,,,,COLD
22,,2022-01-11 18:25:42,2022-01-08,COLD,Harron James Andrew,"EVP, Chief Investment Officer",F - Tax,$31.35,-5630,15303,-27%,"-$176,501",,,,,COLD
23,D,2021-12-29 16:29:02,2021-12-27,COLD,Snyder James C Jr,"EVP, GC",F - Tax,$32.50,-1562,28301,-5%,"-$50,765",,,,,COLD
24,D,2021-12-29 16:29:02,2021-08-17,COLD,Snyder James C Jr,"EVP, GC",G - Gift,$36.84,-136,28301,0%,"-$5,010",,,,,COLD
25,D,2021-12-29 16:29:02,2021-12-27,COLD,Snyder James C Jr,"EVP, GC",M - OptEx,$0.00,3463,28301,+14%,+$0,,,,,COLD
26,D,2021-12-29 16:26:29,2021-12-27,COLD,Smernoff Marc,"EVP, CFO",F - Tax,$32.50,-3296,161554,-2%,"-$107,120",,,,,COLD
27,D,2021-12-29 16:26:29,2021-08-13,COLD,Smernoff Marc,"EVP, CFO",G - Gift,$37.03,-410,161554,0%,"-$15,182",,,,,COLD
28,D,2021-12-29 16:26:29,2021-12-27,COLD,Smernoff Marc,"EVP, CFO",M - OptEx,$0.00,7308,161554,+5%,+$0,,,,,COLD
29,D,2021-12-29 16:23:39,2021-12-27,COLD,Novosel Thomas C,See Remarks,F - Tax,$32.50,-1802,8929,-17%,"-$58,565",,,,,COLD
30,D,2021-12-29 16:23:39,2021-12-27,COLD,Novosel Thomas C,See Remarks,M - OptEx,$0.00,3995,8929,+81%,+$0,,,,,COLD
31,,2021-11-09 18:09:58,2021-11-08,COLD,Barrett Kelly Hefner,Trustee,P - Purchase,$29.19,3000,11839,+34%,"+$87,567",,,,,COLD
32,D,2021-06-11 17:15:18,2021-06-10,COLD,Novosel Thomas C,See Remarks,M - OptEx,$9.81,5000,6736,+288%,"+$49,050",,,,,COLD
33,D,2021-06-11 17:15:18,2021-06-10,COLD,Novosel Thomas C,See Remarks,S - Sale+OE,$39.15,-5000,6736,-43%,"-$195,725",,,,,COLD
34,D,2021-05-28 16:05:20,2021-05-27,COLD,Barrett Kelly Hefner,Trustee,M - OptEx,$37.69,2839,8839,+47%,"+$107,002",,,,,COLD
35,D,2021-05-28 16:04:44,2021-05-27,COLD,Heistand James R,Dir,M - OptEx,$37.69,2839,32037,+10%,"+$107,002",,,,,COLD
36,,2021-05-26 16:03:58,2021-05-24,COLD,Rodriguez Carlos V,"EVP, COO",S - Sale,$37.96,-5792,30647,-16%,"-$219,864",,,,,COLD
37,D,2021-05-21 16:19:02,2021-05-21,COLD,Heistand James R,Dir,S - Sale+OE,$37.80,-30000,29198,-51%,"-$1,134,000",,,,,COLD
38,,2021-05-21 16:07:39,2021-05-20,COLD,Harron James Andrew,"EVP, Chief Investment Officer",S - Sale,$37.99,-6000,8358,-42%,"-$227,910",,,,,COLD
39,,2021-05-12 16:16:57,2021-05-11,COLD,Snyder James C Jr,"EVP, GC",S - Sale,$37.77,-7047,26536,-21%,"-$266,165",,,,,COLD
40,D,2021-04-05 16:18:47,2021-04-02,COLD,Snyder James C Jr,"EVP, GC",F - Tax,$38.74,-2349,33583,-7%,"-$91,000",,,,,COLD
