,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-05-17 16:19:15,2021-05-13,CVA,Smith Jean,Dir,A - Grant,$0.00,7373,122237,+6%,+$0,,,,,CVA
1,,2021-05-17 16:18:27,2021-05-13,CVA,Broglio Ronald J,Dir,A - Grant,$0.00,7373,20940,+54%,+$0,,,,,CVA
2,,2021-05-06 16:16:18,2021-03-04,CVA,Michaelson Owen,"Pres, Covanta Europe",A - Grant,$0.00,74268,74268,New,+$0,,,,,CVA
3,D,2021-05-04 16:11:44,2021-05-04,CVA,Holsten Joseph M,Dir,C - Converted deriv,$0.00,25656,130575,-16%,$0,,,,,CVA
4,,2021-03-19 18:31:24,2021-03-17,CVA,Schantz Joseph J II,"VP, Chief Accounting Officer",F - Tax,$14.72,-2153,27549,-7%,"-$31,698",,,,,CVA
5,,2021-03-19 18:31:07,2021-03-17,CVA,Helgeson Bradford J,"EVP, CFO",F - Tax,$14.72,-25449,154581,-14%,"-$374,673",,,,,CVA
6,,2021-03-19 18:30:47,2021-03-17,CVA,Angilello Virginia D.,"SVP, CHRO",F - Tax,$14.72,-11089,46666,-19%,"-$163,258",,,,,CVA
7,,2021-03-19 18:30:27,2021-03-17,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",F - Tax,$14.72,-12511,123865,-9%,"-$184,193",,,,,CVA
8,,2021-03-19 18:30:04,2021-03-17,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",F - Tax,$14.72,-9023,68474,-12%,"-$132,841",,,,,CVA
9,,2021-03-19 18:29:41,2021-03-17,CVA,Kenyon Thomas L,"EVP, Gen'l Counsel, Sec.",F - Tax,$14.72,-3110,55141,-5%,"-$45,787",,,,,CVA
10,,2021-03-19 18:29:22,2021-03-17,CVA,Simpson Timothy,"EVP, Chief Admin. Officer",F - Tax,$14.72,-15420,149591,-9%,"-$227,021",,,,,CVA
11,A,2021-03-09 17:19:07,2021-03-04,CVA,Schantz Joseph J II,"VP, Chief Accounting Officer",A - Grant,$0.00,10722,29702,+56%,+$0,,,,,CVA
12,,2021-03-08 21:27:00,2021-03-04,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",A - Grant,$0.00,9882,77497,+15%,+$0,,,,,CVA
13,,2021-03-08 21:18:55,2021-03-04,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",A - Grant,$0.00,11619,123389,+10%,+$0,,,,,CVA
14,,2021-03-08 21:18:55,2021-03-04,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",F - Tax,$14.04,-5888,123389,-5%,"-$82,668",,,,,CVA
15,,2021-03-08 21:18:34,2021-03-04,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",A - Grant,$0.00,12987,136376,+11%,+$0,,,,,CVA
16,,2021-03-08 19:39:50,2021-03-04,CVA,Schantz Joseph J II,"VP, Chief Accounting Officer",A - Grant,$0.00,14296,33276,+75%,+$0,,,,,CVA
17,,2021-03-08 19:35:28,2021-03-04,CVA,Angilello Virginia D.,"SVP, CHRO",A - Grant,$0.00,9101,57755,+19%,+$0,,,,,CVA
18,,2021-03-08 19:32:50,2021-03-04,CVA,Simpson Timothy,"EVP, Chief Admin. Officer",A - Grant,$0.00,19274,165011,+13%,+$0,,,,,CVA
19,,2021-03-08 18:53:31,2021-03-04,CVA,Veenhof Derek,"EVP, COO",A - Grant,$0.00,29336,218012,+16%,+$0,,,,,CVA
20,,2021-03-08 18:48:14,2021-03-04,CVA,Helgeson Bradford J,"EVP, CFO",A - Grant,$0.00,26399,180030,+17%,+$0,,,,,CVA
21,,2021-03-08 18:47:33,2021-03-04,CVA,Kenyon Thomas L,"EVP, Gen'l Counsel, Sec.",A - Grant,$0.00,17156,58251,+42%,+$0,,,,,CVA
22,,2021-03-08 18:44:12,2021-03-04,CVA,Angilello Virginia D.,"SVP, CHRO",A - Grant,$0.00,3443,48654,+8%,+$0,,,,,CVA
23,,2021-03-08 18:44:12,2021-03-04,CVA,Angilello Virginia D.,"SVP, CHRO",F - Tax,$14.04,-1340,48654,-3%,"-$18,814",,,,,CVA
24,,2021-03-08 17:08:13,2021-03-04,CVA,Helgeson Bradford J,"EVP, CFO",A - Grant,$0.00,23407,153631,+18%,+$0,,,,,CVA
25,,2021-03-08 17:08:13,2021-03-04,CVA,Helgeson Bradford J,"EVP, CFO",F - Tax,$14.04,-11571,153631,-7%,"-$162,457",,,,,CVA
26,,2021-03-08 16:13:29,2021-03-04,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",A - Grant,$0.00,8848,67615,+15%,+$0,,,,,CVA
27,,2021-03-08 16:13:29,2021-03-04,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",F - Tax,$14.04,-3783,67615,-5%,"-$53,113",,,,,CVA
28,,2021-03-08 16:12:58,2021-03-04,CVA,Veenhof Derek,"EVP, COO",A - Grant,$0.00,20263,188676,+12%,+$0,,,,,CVA
29,,2021-03-08 16:12:58,2021-03-04,CVA,Veenhof Derek,"EVP, COO",F - Tax,$14.04,-6903,188676,-4%,"-$96,918",,,,,CVA
30,,2021-03-08 16:12:39,2021-03-04,CVA,Simpson Timothy,"EVP, Chief Admin. Officer",A - Grant,$0.00,16949,145737,+13%,+$0,,,,,CVA
31,,2021-03-08 16:12:39,2021-03-04,CVA,Simpson Timothy,"EVP, Chief Admin. Officer",F - Tax,$14.04,-8406,145737,-5%,"-$118,020",,,,,CVA
32,,2020-11-05 16:18:29,2020-11-05,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",S - Sale,$11.10,-3146,62550,-5%,"-$34,921",,,,,CVA
33,,2020-06-10 17:38:32,2020-06-09,CVA,Broglio Ronald J,Dir,S - Sale,$10.36,-6000,13567,-31%,"-$62,172",,,,,CVA
34,,2020-05-18 17:02:38,2020-05-14,CVA,Broglio Ronald J,Dir,A - Grant,$0.00,13080,19567,+202%,+$0,,,,,CVA
35,,2020-05-18 17:01:33,2020-05-14,CVA,Smith Jean,Dir,A - Grant,$0.00,13080,114864,+13%,+$0,,,,,CVA
36,D,2020-05-06 16:57:41,2020-05-04,CVA,Holsten Joseph M,Dir,M - OptEx,$0.00,2381,104919,+2%,+$0,,,,,CVA
37,,2020-03-19 16:54:40,2020-03-17,CVA,De Castro Michael Joseph,EVP Supply Chain,F - Tax,$9.44,-5995,123278,-5%,"-$56,563",,,,,CVA
38,,2020-03-19 16:48:55,2020-03-17,CVA,Simpson Timothy,"EVP, Gen'l Counsel, Sec.",F - Tax,$9.44,-7081,137194,-5%,"-$66,809",,,,,CVA
39,,2020-03-19 16:48:31,2020-03-17,CVA,Veenhof Derek,EVP - Asset Management,F - Tax,$9.44,-5561,175316,-3%,"-$52,468",,,,,CVA
40,,2020-03-19 16:48:07,2020-03-17,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",F - Tax,$9.44,-2901,65696,-4%,"-$27,371",,,,,CVA
41,,2020-03-19 16:47:44,2020-03-17,CVA,Jones Stephen J,"Pres, CEO",F - Tax,$9.44,-30109,565241,-5%,"-$284,078",,,,,CVA
42,,2020-03-19 16:47:23,2020-03-17,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",F - Tax,$9.44,-5231,117658,-4%,"-$49,354",,,,,CVA
43,,2020-03-19 16:46:59,2020-03-17,CVA,Angilello Virginia D.,"SVP, CHRO",F - Tax,$9.44,-2755,46551,-6%,"-$25,993",,,,,CVA
44,,2020-03-19 16:46:34,2020-03-17,CVA,Helgeson Bradford J,"EVP, CFO",F - Tax,$9.44,-9880,141795,-7%,"-$93,218",,,,,CVA
45,,2020-03-13 16:52:35,2020-03-13,CVA,Silberman Robert S,Dir,P - Purchase,$9.71,20000,120000,+20%,"+$194,200",,,,,CVA
46,,2020-03-13 16:19:59,2020-03-11,CVA,Veenhof Derek,EVP - Asset Management,A - Grant,$0.00,27854,180877,+18%,+$0,,,,,CVA
47,,2020-03-13 16:19:38,2020-03-11,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",A - Grant,$0.00,12497,68597,+22%,+$0,,,,,CVA
48,,2020-03-13 16:19:17,2020-03-11,CVA,Simpson Timothy,"EVP, Gen'l Counsel, Sec.",A - Grant,$0.00,24022,144275,+20%,+$0,,,,,CVA
49,,2020-03-13 16:18:55,2020-03-11,CVA,Mulcahy Matthew,"EVP, Head of Corp Development",A - Grant,$0.00,16110,122889,+15%,+$0,,,,,CVA
50,,2020-03-13 16:18:33,2020-03-11,CVA,Jones Stephen J,"Pres, CEO",A - Grant,$0.00,127854,595350,+27%,+$0,,,,,CVA
51,,2020-03-13 16:18:07,2020-03-11,CVA,Helgeson Bradford J,"EVP, CFO",A - Grant,$0.00,33732,151675,+29%,+$0,,,,,CVA
52,,2020-03-13 16:17:45,2020-03-11,CVA,De Castro Michael Joseph,EVP Supply Chain,A - Grant,$0.00,27854,129273,+27%,+$0,,,,,CVA
53,,2020-03-13 16:17:23,2020-03-11,CVA,Angilello Virginia D.,"SVP, CHRO",A - Grant,$0.00,11288,49306,+30%,+$0,,,,,CVA
54,,2020-02-27 21:23:40,2020-02-25,CVA,Veenhof Derek,EVP - Asset Management,A - Grant,$0.00,17626,153023,+13%,+$0,,,,,CVA
55,,2020-02-27 21:23:40,2020-02-25,CVA,Veenhof Derek,EVP - Asset Management,F - Tax,$14.85,-8602,153023,-5%,"-$127,740",,,,,CVA
56,,2020-02-27 21:23:19,2020-02-25,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",A - Grant,$0.00,7850,56100,+16%,+$0,,,,,CVA
57,,2020-02-27 21:23:19,2020-02-25,CVA,Stauder Paul E.,"Pres, Covanta Envir. Sol.",F - Tax,$14.85,-3349,56100,-6%,"-$49,733",,,,,CVA
58,,2020-02-27 21:22:58,2020-02-25,CVA,Simpson Timothy,"EVP, Gen'l Counsel, Sec.",A - Grant,$0.00,16712,120253,+16%,+$0,,,,,CVA
