,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-11-15 17:53:15,2021-11-15,EBS,Lindahl Richard S,"EVP, CFO",P - Purchase,$37.46,3000,39919,+8%,"+$112,380",,,,,EBS
1,,2021-05-27 16:37:50,2021-05-25,EBS,Zoon Kathryn C,Dir,S - Sale,$56.48,-3139,14377,-18%,"-$177,291",,,,,EBS
2,,2021-03-08 18:30:56,2021-03-04,EBS,Bailey Sue,Dir,S - Sale,$92.37,-8168,24427,-25%,"-$754,478",,,,,EBS
3,D,2021-03-03 18:07:30,2021-03-01,EBS,Havey Adam,"EVP, Business Operations",S - Sale+OE,$99.30,-37279,38190,-49%,"-$3,701,647",,,,,EBS
4,D,2021-02-09 17:23:57,2021-02-08,EBS,Kramer Robert,"Pres, CEO",S - Sale+OE,$120.03,-45397,139210,-25%,"-$5,449,002",,,,,EBS
5,DM,2021-01-22 16:14:28,2021-01-20,EBS,Kramer Robert,"Pres, CEO",S - Sale+OE,$110.03,-24132,139210,-15%,"-$2,655,177",,,,,EBS
6,D,2021-01-19 16:28:42,2021-01-15,EBS,Kramer Robert,"Pres, CEO",S - Sale+OE,$106.01,-19026,139210,-12%,"-$2,016,901",,,,,EBS
7,DM,2020-11-12 18:30:16,2020-11-09,EBS,El-Hibri Fuad,"COB, 10%",S - Sale+OE,$91.79,-39391,4788606,-1%,"-$3,615,680",,,,,EBS
8,DM,2020-11-04 20:53:31,2020-11-02,EBS,El-Hibri Fuad,COB,S - Sale+OE,$90.59,-40000,4788606,-1%,"-$3,623,600",,,,,EBS
9,M,2020-09-25 19:00:55,2020-09-23,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$99.73,-25535,4788606,-1%,"-$2,546,625",,,,,EBS
10,M,2020-09-18 18:25:02,2020-09-16,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$101.58,-40000,4814141,-1%,"-$4,063,200",,,,,EBS
11,M,2020-09-11 21:21:56,2020-09-09,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$102.73,-40000,4854141,-1%,"-$4,109,200",,,,,EBS
12,D,2020-09-04 20:08:20,2020-09-02,EBS,Sullivan Louis W,Dir,S - Sale+OE,$111.22,-28418,42762,-40%,"-$3,160,606",,,,,EBS
13,,2020-08-19 17:08:00,2020-08-18,EBS,Bailey Sue,Dir,S - Sale,$128.31,-4665,32595,-13%,"-$598,564",,,,,EBS
14,,2020-08-18 09:12:22,2020-08-17,EBS,Harsanyi Zsolt,Dir,S - Sale,$133.71,-6609,24579,-21%,"-$883,664",,,,,EBS
15,,2020-08-12 16:52:50,2020-08-11,EBS,Joulwan George A,Dir,S - Sale,$124.11,-6000,26771,-18%,"-$744,635",,,,,EBS
16,,2020-08-11 16:46:46,2020-08-07,EBS,Richard Ronald,Dir,S - Sale,$131.00,-6297,8276,-43%,"-$824,907",,,,,EBS
17,,2020-08-11 16:43:44,2020-08-10,EBS,Zoon Kathryn C,Dir,S - Sale,$130.27,-1000,12489,-7%,"-$130,270",,,,,EBS
18,,2020-06-05 16:36:36,2020-06-03,EBS,Richard Ronald,Dir,S - Sale,$87.51,-6572,4269,-61%,"-$575,142",,,,,EBS
19,,2020-06-05 16:33:47,2020-06-03,EBS,Bailey Sue,Dir,S - Sale,$87.50,-5322,37260,-12%,"-$465,691",,,,,EBS
20,,2020-05-27 17:10:39,2020-05-26,EBS,Hauer Jerome M,Dir,S - Sale,$85.15,-4385,10188,-30%,"-$373,373",,,,,EBS
21,,2020-05-27 17:07:28,2020-05-26,EBS,Zoon Kathryn C,Dir,S - Sale,$85.10,-4093,13489,-23%,"-$348,322",,,,,EBS
22,,2020-05-14 16:30:08,2020-05-12,EBS,Zoon Kathryn C,Dir,S - Sale,$85.21,-1660,14761,-10%,"-$141,454",,,,,EBS
23,,2020-05-13 19:47:30,2020-05-11,EBS,Harsanyi Zsolt,Dir,S - Sale,$81.99,-4940,24933,-17%,"-$405,025",,,,,EBS
24,,2020-05-13 19:45:48,2020-05-11,EBS,Joulwan George A,Dir,S - Sale,$85.19,-2000,29950,-6%,"-$170,371",,,,,EBS
25,,2020-05-06 17:08:40,2020-05-05,EBS,Richard Ronald,Dir,S - Sale,$80.19,-8375,8020,-51%,"-$671,629",,,,,EBS
26,M,2020-05-01 20:13:03,2020-04-29,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$74.13,-40000,7097928,-1%,"-$2,965,000",,,,,EBS
27,D,2020-04-29 16:35:52,2020-04-27,EBS,Richard Ronald,Dir,S - Sale+OE,$78.00,-7893,16395,-32%,"-$615,654",,,,,EBS
28,M,2020-04-24 16:16:11,2020-04-22,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$67.65,-40000,7137928,-1%,"-$2,706,000",,,,,EBS
29,DM,2020-04-21 18:12:10,2020-04-17,EBS,Havey Adam,"EVP, Business Operations",S - Sale+OE,$66.82,-37423,34256,-52%,"-$2,500,531",,,,,EBS
30,,2020-04-20 18:30:54,2020-04-16,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$62.47,-20000,7177928,0%,"-$1,249,400",,,,,EBS
31,M,2020-04-15 21:04:05,2020-04-13,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$62.49,-35869,7197928,0%,"-$2,241,616",,,,,EBS
32,M,2020-04-10 19:13:17,2020-04-08,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$61.40,-61078,7233797,-1%,"-$3,750,475",,,,,EBS
33,M,2020-04-08 21:17:32,2020-04-06,EBS,El-Hibri Fuad,"COB, 10%",S - Sale,$60.59,-42576,7294875,-1%,"-$2,579,575",,,,,EBS
34,,2020-04-08 20:22:14,2020-04-06,EBS,Havey Adam,"EVP, Business Operations",S - Sale,$60.00,-7972,34256,-19%,"-$478,320",,,,,EBS
35,D,2020-04-08 20:19:35,2020-04-06,EBS,Kirk Sean,"EVP, Manufacturing, Tech Ops",S - Sale+OE,$60.00,-16094,12571,-56%,"-$965,640",,,,,EBS
36,,2020-03-17 16:39:22,2020-03-16,EBS,Harsanyi Zsolt,Dir,S - Sale,$65.00,-6400,29873,-18%,"-$416,000",,,,,EBS
37,,2020-03-06 16:39:22,2020-03-04,EBS,Zoon Kathryn C,Dir,S - Sale,$60.65,-991,16421,-6%,"-$60,103",,,,,EBS
38,D,2020-03-06 16:37:46,2020-03-04,EBS,Sullivan Louis W,Dir,S - Sale+OE,$58.96,-15786,60466,-21%,"-$930,714",,,,,EBS
39,,2020-03-02 17:28:48,2020-02-27,EBS,Bailey Sue,Dir,S - Sale,$56.93,-6572,39761,-14%,"-$374,132",,,,,EBS
40,DM,2020-02-28 20:01:22,2020-02-26,EBS,El-Hibri Fuad,"COB, 10%",S - Sale+OE,$57.97,-23456,7337451,0%,"-$1,359,849",,,,,EBS
41,D,2020-02-25 16:30:42,2020-02-21,EBS,Richard Ronald,Dir,S - Sale+OE,$65.00,-5152,16395,-24%,"-$334,880",,,,,EBS
42,,2020-02-25 16:28:31,2020-02-21,EBS,Hauer Jerome M,Dir,S - Sale,$70.00,-6572,11752,-36%,"-$460,040",,,,,EBS
43,DM,2020-02-24 20:00:20,2020-02-20,EBS,El-Hibri Fuad,"COB, 10%",S - Sale+OE,$64.90,-23318,7347423,0%,"-$1,513,338",,,,,EBS
44,DM,2020-02-19 21:00:38,2020-02-14,EBS,El-Hibri Fuad,"COB, 10%",S - Sale+OE,$63.90,-20000,7347423,0%,"-$1,278,000",,,,,EBS
