,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-11-22 17:24:58,2021-11-22,EIG,McSally Michael J,Dir,P - Purchase,$39.24,3000,34829,+9%,"+$117,720",,,,,EIG
1,,2021-03-16 17:26:41,2021-03-15,EIG,Berg Tracey Lynn,"EVP, Chief Innovation Officer",S - Sale,$37.51,-8500,23510,-27%,"-$318,835",,,,,EIG
2,D,2021-03-03 12:50:32,2021-03-02,EIG,Festa Stephen V,"EVP, COO",S - Sale+OE,$33.63,-257,123826,0%,"-$8,643",,,,,EIG
3,D,2021-02-24 18:45:23,2021-02-23,EIG,Dirks Douglas D,"Pres, CEO",S - Sale+OE,$33.56,-37144,522910,-7%,"-$1,246,553",,,,,EIG
4,,2020-12-03 18:26:22,2020-12-03,EIG,De Figueiredo Joao M,Dir,P - Purchase,$30.66,813,5022,+19%,"+$24,927",,,,,EIG
5,,2020-12-01 11:14:41,2020-11-30,EIG,Kroner James R,Dir,P - Purchase,$30.78,3200,23765,+16%,"+$98,496",,,,,EIG
6,,2020-11-24 16:41:15,2020-11-23,EIG,Mockard Jeanne L,Dir,P - Purchase,$32.70,761,6581,+13%,"+$24,885",,,,,EIG
7,,2020-10-28 19:34:28,2020-10-27,EIG,McSally Michael J,Dir,P - Purchase,$32.00,5000,30152,+20%,"+$160,000",,,,,EIG
8,,2020-05-20 19:48:30,2020-05-20,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$29.38,-1360,11598,-10%,"-$39,957",,,,,EIG
9,,2020-05-15 17:30:55,2020-05-14,EIG,Blakey Richard W,Dir,P - Purchase,$25.90,500,59608,+1%,"+$12,950",,,,,EIG
10,,2020-05-07 16:05:34,2020-05-05,EIG,Dirks Douglas D,"Pres, CEO",P - Purchase,$29.26,6000,486347,+1%,"+$175,560",,,,,EIG
11,,2020-05-06 19:30:14,2020-05-06,EIG,McSally Michael J,Dir,P - Purchase,$29.54,3000,22864,+15%,"+$88,620",,,,,EIG
12,M,2020-05-05 17:03:57,2020-05-01,EIG,Dirks Douglas D,"Pres, CEO",P - Purchase,$29.42,19000,480347,+4%,"+$558,910",,,,,EIG
13,,2020-04-29 16:06:17,2020-04-29,EIG,Mutschink John M.,"SVP, CHRO",P - Purchase,$32.23,310,1530,+25%,"+$9,991",,,,,EIG
14,,2020-04-28 20:16:34,2020-04-28,EIG,Paquette Michael Scott,"EVP, CFO",P - Purchase,$29.32,7500,34413,+28%,"+$219,870",,,,,EIG
15,D,2020-02-25 18:26:47,2020-02-24,EIG,Dirks Douglas D,"Pres, CEO",S - Sale+OE,$42.47,-36200,453369,-7%,"-$1,537,414",,,,,EIG
16,,2019-10-30 17:25:41,2019-10-29,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$42.54,-363,9195,-4%,"-$15,442",,,,,EIG
17,,2019-05-30 17:38:19,2019-05-30,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$41.23,-607,9558,-6%,"-$25,027",,,,,EIG
18,,2019-03-08 16:51:45,2019-03-08,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$40.34,-1495,10492,-12%,"-$60,308",,,,,EIG
19,,2019-03-06 17:18:54,2019-03-04,EIG,Glenn Valerie R,Dir,S - Sale,$41.80,-10000,49911,-17%,"-$418,000",,,,,EIG
20,D,2018-12-19 12:37:30,2018-12-17,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$42.29,-3000,89106,-3%,"-$126,870",,,,,EIG
21,,2018-11-14 18:00:48,2018-11-14,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$45.40,-1100,7040,-14%,"-$49,943",,,,,EIG
22,DM,2018-10-17 12:28:36,2018-10-15,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$43.00,-3000,89106,-3%,"-$129,000",,,,,EIG
23,D,2018-09-18 18:53:36,2018-09-17,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$46.62,-4000,89106,-4%,"-$186,480",,,,,EIG
24,D,2018-09-17 12:50:41,2018-09-14,EIG,Festa Stephen V,"EVP, COO",S - Sale+OE,$47.00,-2268,66896,-3%,"-$106,596",,,,,EIG
25,D,2018-07-31 16:10:03,2018-07-27,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$46.00,-4000,89106,-4%,"-$184,000",,,,,EIG
26,D,2018-07-27 16:06:11,2018-07-26,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$43.00,-6000,89106,-6%,"-$258,000",,,,,EIG
27,D,2018-07-27 16:05:43,2018-07-26,EIG,Nelson John P,"EVP, Chief Admin Officer",S - Sale+OE,$44.78,-7698,72359,-10%,"-$344,710",,,,,EIG
28,DM,2018-06-19 18:19:35,2018-06-15,EIG,Ormsby Lenard T,"EVP, GC",S - Sale+OE,$40.52,-6000,89106,-6%,"-$243,090",,,,,EIG
29,,2018-06-05 16:26:05,2018-06-05,EIG,Rogers Lawrence S,"SVP, Chief Underwriting Office",S - Sale,$39.90,-880,8140,-10%,"-$35,112",,,,,EIG
