,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-03-30 18:51:51,2022-03-29,ESS,Kleiman Angela L.,"Sr. EVP, COO",S - Sale+OE,$354.21,-6309,8110,-44%,"-$2,234,710",,,,,ESS
1,D,2022-03-30 18:48:09,2022-03-29,ESS,Schall Michael J,"Pres, CEO",S - Sale+OE,$349.19,-12132,51384,-19%,"-$4,236,373",,,,,ESS
2,D,2022-03-16 16:19:16,2022-03-15,ESS,Johnson Amal M,Dir,S - Sale+OE,$334.95,-7329,1500,-83%,"-$2,454,877",,,,,ESS
3,D,2021-12-14 16:32:16,2021-12-13,ESS,Berry Adam W,"EVP, CIO",S - Sale+OE,$352.95,-3235,2863,-53%,"-$1,141,793",,,,,ESS
4,D,2021-12-09 16:42:58,2021-12-08,ESS,Farias John,"SVP, CAO",S - Sale+OE,$348.70,-1617,819,-66%,"-$563,848",,,,,ESS
5,D,2021-12-09 16:36:04,2021-12-08,ESS,Pak Barbara,"EVP, CFO",S - Sale+OE,$348.00,-5257,2195,-71%,"-$1,829,436",,,,,ESS
6,D,2021-11-26 12:42:00,2021-11-24,ESS,Lyons Irving F III,Dir,S - Sale+OE,$354.33,-2412,7872,-23%,"-$854,644",,,,,ESS
7,D,2021-10-29 19:06:18,2021-10-28,ESS,Schall Michael J,"Pres, CEO",S - Sale+OE,$343.72,-31362,45729,-41%,"-$10,779,676",,,,,ESS
8,D,2021-10-28 19:53:55,2021-10-27,ESS,Berry Adam W,"EVP, CIO",S - Sale+OE,$342.40,-11985,2863,-81%,"-$4,103,604",,,,,ESS
9,D,2021-10-28 19:50:28,2021-10-27,ESS,Kleiman Angela L.,"Sr. EVP, COO",S - Sale+OE,$341.80,-17249,7117,-71%,"-$5,895,776",,,,,ESS
10,D,2021-10-28 19:33:43,2021-10-27,ESS,Farias John,"SVP, CAO",S - Sale+OE,$340.61,-5040,819,-86%,"-$1,716,674",,,,,ESS
11,D,2021-09-10 19:20:22,2021-09-09,ESS,Robinson Thomas E,Dir,S - Sale+OE,$330.76,-7329,4545,-62%,"-$2,424,135",,,,,ESS
12,D,2021-09-01 19:20:56,2021-08-31,ESS,Robinson Thomas E,Dir,S - Sale+OE,$329.30,-2500,4545,-35%,"-$823,238",,,,,ESS
13,D,2021-08-03 20:21:05,2021-08-02,ESS,Scordelis Byron A,Dir,S - Sale+OE,$329.89,-9412,2925,-76%,"-$3,104,880",,,,,ESS
14,D,2021-07-21 16:55:33,2021-07-20,ESS,Lyons Irving F III,Dir,S - Sale+OE,$329.90,-7329,7872,-48%,"-$2,417,837",,,,,ESS
15,D,2021-07-16 12:59:14,2021-07-14,ESS,Lyons Irving F III,Dir,S - Sale+OE,$324.28,-2609,7872,-25%,"-$846,047",,,,,ESS
16,D,2021-05-21 12:34:22,2021-05-12,ESS,Robinson Thomas E,Dir,S - Sale+OE,$280.32,-2838,4545,-38%,"-$795,548",,,,,ESS
17,D,2020-02-24 16:23:41,2020-02-21,ESS,Burkart John F.,"Sr. EVP, COO",S - Sale+OE,$327.06,-6793,2257,-75%,"-$2,221,719",,,,,ESS
18,D,2020-02-21 16:37:29,2020-02-20,ESS,Lyons Irving F III,Dir,S - Sale+OE,$324.05,-2500,7872,-24%,"-$810,125",,,,,ESS
19,D,2020-02-13 17:11:39,2020-02-12,ESS,Schall Michael J,"Pres, CEO",S - Sale+OE,$319.90,-13068,45222,-22%,"-$4,180,453",,,,,ESS
20,D,2020-02-13 17:02:16,2020-02-12,ESS,Berry Adam W,Chief Investment Officer,S - Sale+OE,$319.57,-3473,2583,-57%,"-$1,109,867",,,,,ESS
21,D,2020-02-12 17:20:32,2020-02-11,ESS,Schall Michael J,"Pres, CEO",S - Sale+OE,$319.43,-4555,45222,-9%,"-$1,455,004",,,,,ESS
22,D,2020-02-12 17:16:53,2020-02-11,ESS,Burkart John F.,"Sr. EVP, COO",S - Sale+OE,$318.00,-2503,2257,-53%,"-$795,954",,,,,ESS
23,D,2020-02-12 17:12:29,2020-02-11,ESS,Kleiman Angela L.,"EVP, CFO",S - Sale+OE,$319.20,-6164,5728,-52%,"-$1,967,549",,,,,ESS
24,D,2020-02-12 16:54:17,2020-02-11,ESS,Berry Adam W,Chief Investment Officer,S - Sale+OE,$319.43,-1211,2583,-32%,"-$386,830",,,,,ESS
25,D,2020-02-10 18:07:35,2020-02-07,ESS,Farias John,"SVP, CAO",S - Sale+OE,$316.25,-822,711,-54%,"-$259,958",,,,,ESS
26,,2020-02-04 17:07:24,2020-02-03,ESS,Burkart John F.,"Sr. EVP, COO",S - Sale,$311.01,-1656,2257,-42%,"-$515,033",,,,,ESS
27,D,2020-02-03 16:29:44,2020-01-31,ESS,Lyons Irving F III,Dir,S - Sale+OE,$309.92,-2838,7872,-26%,"-$879,553",,,,,ESS
