,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-07 17:09:08,2022-03-03,EVH,Tutewohl Steve,COO,S - Sale,$27.30,-1918,108421,-2%,"-$52,361",,,,,EVH
1,D,2022-03-03 21:15:42,2022-03-01,EVH,Tutewohl Steve,COO,S - Sale+OE,$27.41,-5388,114838,-4%,"-$147,685",,,,,EVH
2,D,2022-02-18 17:07:42,2022-02-17,EVH,Williams Frank J,Dir,S - Sale+OE,$23.70,-20000,623873,-3%,"-$474,000",,,,,EVH
3,,2022-02-07 17:05:55,2022-02-03,EVH,Tutewohl Steve,COO,S - Sale,$22.85,-1707,98843,-2%,"-$39,005",,,,,EVH
4,D,2022-02-01 17:40:39,2022-02-01,EVH,Tutewohl Steve,COO,S - Sale+OE,$23.47,-6313,100550,-6%,"-$148,166",,,,,EVH
5,D,2022-01-20 17:04:04,2022-01-18,EVH,Williams Frank J,Dir,S - Sale+OE,$24.31,-20000,633873,-3%,"-$486,100",,,,,EVH
6,D,2021-12-17 17:56:17,2021-12-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$26.65,-20000,643873,-3%,"-$532,900",,,,,EVH
7,D,2021-11-18 17:00:44,2021-11-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$27.81,-20000,653873,-3%,"-$556,200",,,,,EVH
8,D,2021-10-20 16:14:18,2021-10-18,EVH,Williams Frank J,Exec COB,S - Sale+OE,$30.35,-20000,663873,-3%,"-$607,000",,,,,EVH
9,D,2021-10-19 21:15:17,2021-10-15,EVH,Blackley Seth,CEO,S - Sale+OE,$29.86,-150000,204842,-42%,"-$4,479,000",,,,,EVH
10,D,2021-10-01 17:34:54,2021-09-29,EVH,Weinberg Jonathan,GC,S - Sale+OE,$28.22,-28000,91775,-23%,"-$790,160",,,,,EVH
11,D,2021-09-20 17:32:23,2021-09-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$26.27,-20000,673873,-3%,"-$525,400",,,,,EVH
12,,2021-09-02 17:19:52,2021-09-01,EVH,Tutewohl Steve,COO,S - Sale,$25.05,-13553,100550,-12%,"-$339,503",,,,,EVH
13,D,2021-08-19 19:04:10,2021-08-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$22.88,-20000,683873,-3%,"-$457,600",,,,,EVH
14,D,2021-08-11 17:13:23,2021-08-10,EVH,Weinberg Jonathan,GC,S - Sale+OE,$24.01,-8254,91775,-8%,"-$198,179",,,,,EVH
15,DM,2021-08-10 16:46:05,2021-08-06,EVH,Weinberg Jonathan,GC,S - Sale+OE,$24.06,-17177,91775,-16%,"-$413,221",,,,,EVH
16,DM,2021-08-04 17:52:38,2021-08-02,EVH,Tutewohl Steve,COO,S - Sale+OE,$23.02,-30986,114103,-21%,"-$713,298",,,,,EVH
17,DM,2021-08-04 17:48:12,2021-08-02,EVH,Williams Frank J,Exec COB,S - Sale+OE,$23.02,-64099,693873,-8%,"-$1,475,559",,,,,EVH
18,D,2021-08-03 18:57:23,2021-07-30,EVH,Williams Frank J,Exec COB,S - Sale+OE,$23.00,-3502,725957,0%,"-$80,546",,,,,EVH
19,D,2021-07-21 17:23:27,2021-07-19,EVH,Williams Frank J,Exec COB,S - Sale+OE,$21.60,-20000,727558,-3%,"-$432,000",,,,,EVH
20,D,2021-07-13 21:27:19,2021-07-09,EVH,Williams Frank J,Exec COB,S - Sale+OE,$23.00,-7168,737558,-1%,"-$164,864",,,,,EVH
21,D,2021-07-13 21:22:00,2021-07-09,EVH,Tutewohl Steve,COO,S - Sale+OE,$22.63,-13849,114103,-11%,"-$313,451",,,,,EVH
22,D,2021-07-12 16:59:53,2021-07-08,EVH,Tutewohl Steve,COO,S - Sale+OE,$22.00,-200,114103,0%,"-$4,400",,,,,EVH
23,D,2021-07-02 16:37:37,2021-07-01,EVH,Tutewohl Steve,COO,S - Sale+OE,$21.05,-9352,114103,-8%,"-$196,860",,,,,EVH
24,D,2021-06-21 16:58:55,2021-06-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$19.70,-20000,741142,-3%,"-$394,000",,,,,EVH
25,,2021-06-15 17:09:37,2021-06-11,EVH,Scott Cheryl,Dir,S - Sale,$19.39,-6405,48640,-12%,"-$124,193",,,,,EVH
26,D,2021-05-19 20:15:45,2021-05-17,EVH,Williams Frank J,Exec COB,S - Sale+OE,$19.73,-20000,743357,-3%,"-$394,600",,,,,EVH
27,D,2021-05-06 18:03:14,2021-05-04,EVH,Weinberg Jonathan,GC,S - Sale+OE,$21.37,-20000,91775,-18%,"-$427,400",,,,,EVH
28,D,2021-05-05 18:01:50,2021-05-03,EVH,Tutewohl Steve,COO,S - Sale+OE,$21.48,-19295,114103,-14%,"-$414,550",,,,,EVH
29,D,2020-08-07 20:51:39,2020-08-05,EVH,Weinberg Jonathan,GC,S - Sale+OE,$13.01,-10000,66775,-13%,"-$130,100",,,,,EVH
30,,2019-12-05 17:16:42,2019-12-04,EVH,Blackley Seth,Pres,P - Purchase,$6.73,14749,157976,+10%,"+$99,261",,,,,EVH
31,,2019-12-05 17:15:01,2019-12-03,EVH,Williams Frank J,CEO,P - Purchase,$6.51,35000,753357,+5%,"+$227,850",,,,,EVH
32,,2019-08-19 16:06:25,2019-08-15,EVH,Samet Kenneth A,Dir,P - Purchase,$7.04,7200,39235,+22%,"+$50,688",,,,,EVH
33,A,2019-08-14 09:08:05,2019-03-11,EVH,D'Amato Michael,Dir,P - Purchase,$12.45,10000,38212,+35%,"+$124,500",,,,,EVH
34,,2019-08-13 16:16:04,2019-08-09,EVH,D'Amato Michael,Dir,P - Purchase,$7.03,15000,67368,+29%,"+$105,450",,,,,EVH
35,,2019-03-14 15:49:30,2019-03-11,EVH,D'Amato Michael,Dir,S - Sale,$12.25,-10000,38212,-21%,"-$122,500",,,,,EVH
36,D,2018-09-14 17:04:39,2018-09-13,EVH,Weinberg Jonathan,GC,S - Sale+OE,$27.12,-15000,26775,-36%,"-$406,800",,,,,EVH
37,D,2018-09-14 16:47:01,2018-09-13,EVH,Peterson Thomas III,COO,S - Sale+OE,$27.50,-70000,67868,-51%,"-$1,925,000",,,,,EVH
38,,2018-09-04 16:50:09,2018-08-30,EVH,Peterson Thomas III,COO,S - Sale,$25.00,-30000,67868,-31%,"-$750,000",,,,,EVH
39,D,2018-09-04 16:41:37,2018-08-30,EVH,Stone Lydia,Chief Accounting Officer,S - Sale+OE,$25.00,-6805,15390,-31%,"-$170,125",,,,,EVH
40,,2018-08-22 16:38:54,2018-08-20,EVH,Williams Frank J,CEO,S - Sale,$24.00,-3878,718357,-1%,"-$93,072",,,,,EVH
41,M,2018-08-20 16:37:23,2018-08-16,EVH,Williams Frank J,CEO,S - Sale,$24.02,-37909,722235,-5%,"-$910,415",,,,,EVH
42,M,2018-08-16 16:25:22,2018-08-14,EVH,Williams Frank J,CEO,S - Sale,$24.02,-41015,760144,-5%,"-$985,069",,,,,EVH
43,,2018-08-03 17:15:33,2018-08-01,EVH,Peterson Thomas III,CEO,S - Sale,$19.96,-10000,97868,-9%,"-$199,600",,,,,EVH
44,,2018-08-03 17:02:43,2018-08-01,EVH,Williams Frank J,CEO,S - Sale,$19.97,-9653,801159,-1%,"-$192,770",,,,,EVH
45,D,2018-07-10 17:28:01,2018-07-06,EVH,Blackley Seth,Pres,S - Sale+OE,$22.73,-52164,143227,-27%,"-$1,185,797",,,,,EVH
46,DM,2018-07-06 16:29:57,2018-07-03,EVH,Blackley Seth,Pres,S - Sale+OE,$22.30,-164139,163837,-50%,"-$3,660,793",,,,,EVH
47,D,2018-07-05 17:07:56,2018-07-02,EVH,Blackley Seth,Pres,S - Sale+OE,$21.22,-83697,246403,-25%,"-$1,775,632",,,,,EVH
48,,2018-07-05 16:38:35,2018-07-02,EVH,Peterson Thomas III,COO,S - Sale,$21.21,-10000,107868,-8%,"-$212,100",,,,,EVH
49,,2018-07-05 16:22:39,2018-07-02,EVH,Williams Frank J,CEO,S - Sale,$21.22,-10231,810812,-1%,"-$217,102",,,,,EVH
50,,2018-06-25 18:08:53,2018-06-21,EVH,Williams Frank J,CEO,S - Sale,$24.00,-47314,821043,-5%,"-$1,135,536",,,,,EVH
51,,2018-06-20 16:31:50,2018-06-18,EVH,Blackley Seth,Pres,S - Sale,$23.33,-16674,288227,-5%,"-$389,004",,,,,EVH
52,,2018-06-12 16:45:45,2018-06-11,EVH,Scott Cheryl,Dir,S - Sale,$22.63,-1600,9343,-15%,"-$36,208",,,,,EVH
53,,2018-06-06 17:32:48,2018-06-04,EVH,Blackley Seth,Pres,S - Sale,$20.45,-16666,304901,-5%,"-$340,746",,,,,EVH
54,,2018-06-05 18:01:13,2018-06-01,EVH,Peterson Thomas III,COO,S - Sale,$20.04,-10000,117868,-8%,"-$200,400",,,,,EVH
55,,2018-06-05 17:30:13,2018-06-01,EVH,Williams Frank J,CEO,S - Sale,$20.04,-15000,868357,-2%,"-$300,600",,,,,EVH
