,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-15 16:04:08,2022-02-15,EXPR,Lopez Patricia E,Dir,A - Grant,$4.07,10770,10770,New,"+$43,834",,,,,EXPR
1,,2021-12-15 16:01:26,2021-12-15,EXPR,Lucio Antonio,Dir,A - Grant,$3.18,20354,20354,New,"+$64,726",,,,,EXPR
2,,2021-09-17 16:07:32,2021-09-15,EXPR,Tervo Sara,"EVP, CMO",F - Tax,$5.37,-8842,213949,-4%,"-$47,482",,,,,EXPR
3,,2021-09-17 16:07:12,2021-09-15,EXPR,Akay Malissa,"EVP, Chief Merch. Officer",F - Tax,$5.37,-15402,298670,-5%,"-$82,709",,,,,EXPR
4,,2021-07-16 16:04:10,2021-07-15,EXPR,Baxter Timothy G,CEO,F - Tax,$4.79,-261635,1003620,-21%,"-$1,253,232",,,,,EXPR
5,,2021-06-29 16:10:40,2021-06-25,EXPR,Moellering Matthew C,"Pres, COO",S - Sale,$7.50,-33222,651503,-5%,"-$249,165",,,,,EXPR
6,,2021-06-29 16:05:40,2021-06-25,EXPR,Pericleous Periclis,"SVP, CFO, Treasurer",S - Sale,$8.01,-31900,214503,-13%,"-$255,519",,,,,EXPR
7,,2021-06-10 16:16:51,2021-06-09,EXPR,Mangum Mylle H,Dir,A - Grant,$5.71,28897,236849,+14%,"+$165,002",,,,,EXPR
8,,2021-06-10 16:16:26,2021-06-09,EXPR,Leever Karen,Dir,A - Grant,$5.71,21891,154971,+16%,"+$124,998",,,,,EXPR
9,,2021-06-10 16:16:02,2021-06-09,EXPR,Park Winifred,Dir,A - Grant,$5.71,21891,129100,+20%,"+$124,998",,,,,EXPR
10,,2021-06-10 16:15:30,2021-06-09,EXPR,Davenport Terry,Dir,A - Grant,$5.71,21891,153078,+17%,"+$124,998",,,,,EXPR
11,,2021-06-10 16:15:01,2021-06-09,EXPR,Devine Michael F III,Dir,A - Grant,$5.71,21891,186831,+13%,"+$124,998",,,,,EXPR
