,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2018-06-18 15:37:37,2018-06-18,FINL,Greenwell Melissa A.,"EVP, COO",D - Sale to issuer,$13.50,-40578,0,-100%,"-$547,803",,,,,FINL
1,D,2018-06-18 15:26:30,2018-06-18,FINL,Sutera Albert J.,"EVP, CITO",D - Sale to issuer,$13.50,-18703,0,-100%,"-$252,491",,,,,FINL
2,D,2018-06-18 15:25:26,2018-06-18,FINL,Higgins David A.,"VP, Corporate Controller",D - Sale to issuer,$13.50,-10079,0,-100%,"-$136,067",,,,,FINL
3,D,2018-06-18 15:24:24,2018-06-18,FINL,Hall John J.,"EVP, Divisional Pres, CMO",D - Sale to issuer,$13.50,-53073,0,-100%,"-$716,486",,,,,FINL
4,D,2018-06-18 15:22:53,2018-06-18,FINL,Wilhelm Edward W,"EVP, CFO",D - Sale to issuer,$13.50,-54802,0,-100%,"-$739,827",,,,,FINL
5,D,2018-06-18 15:21:54,2018-06-18,FINL,Sato Samuel M,CEO,D - Sale to issuer,$13.50,-206973,0,-100%,"-$2,794,136",,,,,FINL
6,,2018-06-18 15:18:07,2018-06-18,FINL,Masud Faisal,Dir,D - Sale to issuer,$13.50,-7447,0,-100%,"-$100,535",,,,,FINL
7,,2018-06-18 15:16:53,2018-06-18,FINL,Lyon Glenn S,Dir,D - Sale to issuer,$13.50,-49543,0,-100%,"-$668,831",,,,,FINL
8,,2018-06-18 15:15:06,2018-06-18,FINL,Langham Catherine A,Dir,D - Sale to issuer,$13.50,-37788,0,-100%,"-$510,138",,,,,FINL
9,,2018-06-18 15:13:42,2018-06-18,FINL,Goldsmith Stephen,Dir,D - Sale to issuer,$13.50,-52208,0,-100%,"-$704,808",,,,,FINL
10,,2018-06-18 15:12:25,2018-06-18,FINL,Crystal Richard P,Dir,D - Sale to issuer,$13.50,-38987,0,-100%,"-$526,325",,,,,FINL
11,,2018-06-18 15:11:12,2018-06-18,FINL,Carmichael William P,Dir,D - Sale to issuer,$13.50,-57094,0,-100%,"-$770,769",,,,,FINL
12,,2018-06-18 15:08:52,2018-06-18,FINL,Boone Torrence,Dir,D - Sale to issuer,$13.50,-28533,0,-100%,"-$385,196",,,,,FINL
13,,2018-05-16 10:39:16,2018-05-15,FINL,Hall John J.,"EVP, Divisional Pres, CMO",F - Tax,$13.56,-4076,53073,-7%,"-$55,271",,,,,FINL
14,,2018-05-02 10:58:25,2018-05-01,FINL,Wilhelm Edward W,"EVP, CFO",F - Tax,$13.56,-3335,54802,-6%,"-$45,223",,,,,FINL
15,D,2018-04-02 11:46:29,2018-03-30,FINL,Wilhelm Edward W,"EVP, CFO",F - Tax,$13.67,-1211,58137,-2%,"-$16,554",,,,,FINL
16,D,2018-04-02 11:45:47,2018-03-30,FINL,Sato Samuel M,CEO,F - Tax,$13.67,-4035,206973,-2%,"-$55,158",,,,,FINL
17,,2018-04-02 11:45:09,2018-03-30,FINL,Higgins David A.,"VP, Corporate Controller",F - Tax,$13.67,-193,10079,-2%,"-$2,638",,,,,FINL
18,D,2018-04-02 11:43:12,2018-03-30,FINL,Greenwell Melissa A.,"EVP, COO",F - Tax,$13.67,-1108,40578,-3%,"-$15,146",,,,,FINL
19,,2018-03-29 13:17:28,2018-03-27,FINL,Wilhelm Edward W,"EVP, CFO",F - Tax,$13.97,-1920,59348,-3%,"-$26,822",,,,,FINL
20,,2018-03-29 13:16:25,2018-03-27,FINL,Sutera Albert J.,"EVP, CITO",F - Tax,$13.97,-1682,18703,-8%,"-$23,498",,,,,FINL
