,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-05-16 17:19:21,2022-05-13,FND,Marshall Ryan,Dir,P - Purchase,$71.30,350,4249,+9%,"+$24,953",,,,,FND
1,,2022-03-02 20:36:01,2022-03-01,FND,Giles William T,Dir,P - Purchase,$96.00,2000,5899,+51%,"+$192,000",,,,,FND
2,,2022-03-02 20:19:22,2022-02-28,FND,Thornton Felicia D,Dir,P - Purchase,$96.60,800,14745,+6%,"+$77,280",,,,,FND
3,,2021-11-22 18:01:29,2021-11-18,FND,Starrett Peter,Dir,S - Sale,$133.64,-10000,138174,-7%,"-$1,336,414",,,,,FND
4,D,2021-11-18 19:28:55,2021-11-16,FND,Robbins Brian K,"EVP - BUS. DVLPMT, STRATEGY",S - Sale+OE,$136.30,-6191,32066,-16%,"-$843,833",,,,,FND
5,D,2021-11-04 19:16:31,2021-11-02,FND,Denny Steven Alan,"EVP, Store Operations",S - Sale+OE,$141.82,-4434,2440,-65%,"-$628,811",,,,,FND
6,D,2021-11-04 19:15:19,2021-11-02,FND,Christopherson David Victor,"EVP, GC",S - Sale+OE,$141.84,-6191,45414,-12%,"-$878,119",,,,,FND
7,D,2021-10-04 19:06:33,2021-09-30,FND,Denny Steven Alan,"EVP, Store Operations",S - Sale+OE,$122.61,-2510,2440,-51%,"-$307,749",,,,,FND
8,D,2021-10-04 19:02:26,2021-09-30,FND,Robbins Brian K,"EVP - BUS. DVLPMT, STRATEGY",S - Sale+OE,$122.61,-10813,32066,-25%,"-$1,325,744",,,,,FND
9,D,2021-10-04 18:56:58,2021-09-30,FND,Christopherson David Victor,"EVP, GC",S - Sale+OE,$122.60,-7853,45414,-15%,"-$962,737",,,,,FND
10,,2021-09-22 20:00:21,2021-09-20,FND,Axelrod Norman,Dir,S - Sale,$125.55,-40000,528087,-7%,"-$5,021,808",,,,,FND
11,DM,2021-09-15 19:09:26,2021-09-13,FND,Taylor Thomas V,CEO,S - Sale+OE,$129.00,-50000,296538,-14%,"-$6,450,000",,,,,FND
12,,2021-09-13 20:24:23,2021-09-09,FND,West George Vincent,Dir,S - Sale,$124.09,-120000,586568,-17%,"-$14,890,532",,,,,FND
13,,2021-08-12 20:13:25,2021-08-10,FND,Axelrod Norman,Dir,S - Sale,$120.57,-40044,568087,-7%,"-$4,828,263",,,,,FND
14,,2021-08-12 20:10:28,2021-08-10,FND,Starrett Peter,Dir,S - Sale,$120.73,-10000,148174,-6%,"-$1,207,267",,,,,FND
15,D,2021-08-12 20:08:35,2021-08-11,FND,Laube Lisa,Pres,S - Sale+OE,$122.00,-50000,126839,-28%,"-$6,100,000",,,,,FND
16,D,2021-08-12 20:06:09,2021-08-10,FND,Taylor Thomas V,CEO,S - Sale+OE,$121.33,-50000,296538,-14%,"-$6,066,340",,,,,FND
17,D,2021-08-11 17:56:13,2021-08-09,FND,Lang Trevor,"EVP, CFO",S - Sale+OE,$121.35,-13500,171058,-7%,"-$1,638,225",,,,,FND
18,,2021-08-11 17:54:47,2021-08-09,FND,Christopherson David Victor,"EVP, GC",S - Sale,$118.99,-2145,45414,-5%,"-$255,241",,,,,FND
19,,2021-07-23 19:55:41,2021-07-22,FND,Axelrod Norman,Dir,S - Sale,$115.00,-35000,608131,-5%,"-$4,025,000",,,,,FND
20,DM,2021-07-23 19:53:58,2021-07-21,FND,Taylor Thomas V,CEO,S - Sale+OE,$112.57,-101000,296538,-25%,"-$11,370,000",,,,,FND
