,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-05-20 20:29:52,2022-05-19,FNKO,Brotman Kenneth R.,Former Director,S - Sale+OE,$21.00,-12492547,3123136,-80%,"-$262,343,487",,,,,FNKO
1,D,2022-05-20 20:28:30,2022-05-19,FNKO,Kriger Adam M.,Former Director,S - Sale+OE,$21.00,-12515839,3121956,-80%,"-$262,832,619",,,,,FNKO
2,D,2022-05-20 20:27:35,2022-05-19,FNKO,"Acon Equity Genpar, L.L.C.",Former Director and 10% Owner,S - Sale+OE,$21.00,-12497267,8413490,-60%,"-$262,442,607",,,,,FNKO
3,D,2022-05-10 21:00:15,2022-05-06,FNKO,Mariotti Brian Richard,CHIEF CREATIVE OFFICER,S - Sale+OE,$19.90,-225000,1104059,-17%,"-$4,476,796",,,,,FNKO
4,D,2022-05-03 20:10:11,2022-05-02,FNKO,Daw Tracy D,GC,S - Sale+OE,$16.24,-1808,13219,-12%,"-$29,362",,,,,FNKO
5,D,2022-05-03 20:06:54,2022-04-29,FNKO,Fall Jung Jennifer,CFO,S - Sale+OE,$16.22,-2779,16910,-14%,"-$45,081",,,,,FNKO
6,D,2022-05-03 20:04:34,2022-05-02,FNKO,Perlmutter Andrew Mark,CEO,S - Sale+OE,$16.24,-3978,131461,-3%,"-$64,603",,,,,FNKO
7,D,2022-04-25 20:25:24,2022-04-21,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,$18.25,-13668,16291606,0%,"-$249,441",,,,,FNKO
8,D,2022-04-25 20:25:06,2022-04-21,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,$18.25,-13668,16291606,0%,"-$249,441",,,,,FNKO
9,D,2022-04-25 20:24:46,2022-04-21,FNKO,Kriger Adam M.,Dir,S - Sale+OE,$18.25,-13668,16307664,0%,"-$249,441",,,,,FNKO
10,D,2022-04-25 19:32:45,2022-04-22,FNKO,Daw Tracy D,GC,S - Sale+OE,$17.07,-1195,10507,-10%,"-$20,399",,,,,FNKO
11,D,2022-04-25 19:28:48,2022-04-22,FNKO,Perlmutter Andrew Mark,CEO,S - Sale+OE,$17.07,-2466,125494,-2%,"-$42,095",,,,,FNKO
12,D,2022-04-25 19:28:24,2022-04-22,FNKO,Fall Jung Jennifer,CFO,S - Sale+OE,$17.04,-1850,12004,-13%,"-$31,520",,,,,FNKO
13,D,2022-04-21 20:11:52,2022-04-19,FNKO,Mariotti Brian Richard,CHIEF CREATIVE OFFICER,S - Sale+OE,$17.65,-16820,1439024,-1%,"-$296,873",,,,,FNKO
14,DM,2022-04-13 18:04:59,2022-04-11,FNKO,Mariotti Brian Richard,CHIEF CREATIVE OFFICER,S - Sale+OE,$17.91,-108180,1439950,-7%,"-$1,937,555",,,,,FNKO
15,DM,2022-04-12 21:36:13,2022-04-08,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,$18.05,-151708,16305274,-1%,"-$2,738,025",,,,,FNKO
16,DM,2022-04-12 21:35:51,2022-04-08,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,$18.05,-151708,16305274,-1%,"-$2,738,025",,,,,FNKO
17,DM,2022-04-12 21:35:02,2022-04-08,FNKO,Kriger Adam M.,Dir,S - Sale+OE,$18.05,-151708,16321332,-1%,"-$2,738,025",,,,,FNKO
18,D,2022-04-07 20:45:10,2022-04-05,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,$18.06,-50000,16456982,0%,"-$903,000",,,,,FNKO
19,D,2022-04-07 20:44:46,2022-04-05,FNKO,Kriger Adam M.,Dir,S - Sale+OE,$18.06,-50000,16473040,0%,"-$903,000",,,,,FNKO
20,D,2022-04-07 20:44:23,2022-04-05,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,$18.06,-50000,16456982,0%,"-$903,000",,,,,FNKO
21,,2022-03-29 09:39:06,2022-03-25,FNKO,"Woodson Capital Management, LP",10%,S - Sale,$17.18,-1,3999999,0%,-$17,,,,,FNKO
22,DM,2022-03-22 20:33:43,2022-03-18,FNKO,Kriger Adam M.,Dir,S - Sale+OE,$18.12,-120243,16517140,-1%,"-$2,178,907",,,,,FNKO
23,DM,2022-03-22 20:33:02,2022-03-18,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,$18.12,-120243,16501082,-1%,"-$2,178,907",,,,,FNKO
24,DM,2022-03-22 20:32:07,2022-03-18,FNKO,Brotman Kenneth R.,Dir,S - Sale+OE,$18.12,-120243,16501082,-1%,"-$2,178,907",,,,,FNKO
25,D,2022-03-08 20:55:48,2022-03-08,FNKO,Daw Tracy D,GC,S - Sale+OE,$17.77,-546,8714,-6%,"-$9,702",,,,,FNKO
26,D,2022-03-08 20:44:57,2022-03-08,FNKO,Perlmutter Andrew Mark,CEO,S - Sale+OE,$17.77,-1170,121796,-1%,"-$20,791",,,,,FNKO
27,D,2022-03-08 20:42:19,2022-03-04,FNKO,Mariotti Brian Richard,CHIEF CREATIVE OFFICER,S - Sale+OE,$20.20,-106720,1548130,-6%,"-$2,156,267",,,,,FNKO
28,DM,2022-03-08 20:24:17,2022-03-04,FNKO,"Acon Equity Genpar, L.L.C.","Dir, 10%",S - Sale+OE,$20.09,-773377,16621325,-4%,"-$15,540,319",,,,,FNKO
