,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2009-10-30 18:58:26,2009-10-28,GETI,Druker Henry L,Dir,D - Sale to issuer,$38.00,-15097,0,-100%,"-$573,686",,,,,GETI
1,DM,2009-10-30 18:52:29,2009-10-28,GETI,Testa Thomas,"VP, CFO",D - Sale to issuer,$38.00,-57485,0,-100%,"-$2,184,430",,,,,GETI
2,M,2009-10-30 18:51:42,2009-10-28,GETI,Rubin Richard A,Dir,D - Sale to issuer,$38.00,-907999,0,-100%,"-$34,503,962",,,,,GETI
3,DM,2009-10-30 18:50:53,2009-10-28,GETI,Redmond William E Jr,"Pres, CEO",D - Sale to issuer,$38.00,-198022,0,-100%,"-$7,524,836",,,,,GETI
4,DM,2009-10-30 18:50:08,2009-10-28,GETI,Opalewski Vincent J,"VP, GM General Chemical",D - Sale to issuer,$38.00,-45768,0,-100%,"-$1,739,184",,,,,GETI
5,DM,2009-10-30 18:49:13,2009-10-28,GETI,Novo Robert,"VP of HR, EHS",D - Sale to issuer,$38.00,-69435,0,-100%,"-$2,638,530",,,,,GETI
6,M,2009-10-30 18:48:27,2009-10-28,GETI,McGovern John F,Dir,D - Sale to issuer,$38.00,-21171,0,-100%,"-$804,498",,,,,GETI
7,M,2009-10-30 18:47:44,2009-10-28,GETI,Johnson Jr John G,Dir,D - Sale to issuer,$38.00,-18592,0,-100%,"-$706,496",,,,,GETI
8,DM,2009-10-30 18:46:52,2009-10-28,GETI,Grierson Douglas,"VP, Controller",D - Sale to issuer,$38.00,-17852,0,-100%,"-$678,376",,,,,GETI
9,M,2009-10-30 18:45:50,2009-10-28,GETI,Flaherty Kathleen R,Dir,D - Sale to issuer,$38.00,-15158,0,-100%,"-$576,004",,,,,GETI
10,M,2009-10-30 18:41:45,2009-10-28,GETI,Asp Gt Holding Corp.,10%,P - Purchase,$38.00,2840134,11122777,+34%,"+$107,925,092",,,,,GETI
11,,2009-06-16 13:18:07,2009-06-15,GETI,Redmond William E Jr,"Pres, CEO",A - Grant,$0.00,1560,137064,+1%,+$0,,,,,GETI
12,,2009-06-16 13:16:55,2009-06-15,GETI,Opalewski Vincent J,"VP, GM General Chemical",A - Grant,$0.00,600,32510,+2%,+$0,,,,,GETI
13,,2009-06-16 13:16:55,2009-06-12,GETI,Opalewski Vincent J,"VP, GM General Chemical",P - Purchase,$21.25,300,32510,+1%,"+$6,375",,,,,GETI
14,,2009-06-16 13:15:36,2009-06-15,GETI,Novo Robert,"VP of HR, EHS",A - Grant,$0.00,767,51283,+2%,+$0,,,,,GETI
15,,2009-06-15 15:35:15,2009-06-12,GETI,Testa Thomas,"VP, CFO",F - Tax,$21.55,-437,36943,-1%,"-$9,417",,,,,GETI
16,,2009-06-15 15:33:43,2009-06-12,GETI,Redmond William E Jr,"Pres, CEO",F - Tax,$21.55,-3055,135504,-2%,"-$65,835",,,,,GETI
17,,2009-06-15 15:32:33,2009-06-12,GETI,Rubin Richard A,Dir,P - Purchase,$21.00,1485,904934,0%,"+$31,185",,,,,GETI
18,,2009-06-15 15:30:20,2009-06-12,GETI,Novo Robert,"VP of HR, EHS",F - Tax,$21.55,-1123,50516,-2%,"-$24,201",,,,,GETI
19,,2009-06-10 17:13:10,2009-06-10,GETI,Johnson Jr John G,Dir,P - Purchase,$22.00,300,14180,+2%,"+$6,600",,,,,GETI
20,,2009-06-10 17:11:57,2009-06-08,GETI,Novo Robert,"VP of HR, EHS",P - Purchase,$22.93,300,51639,+1%,"+$6,880",,,,,GETI
21,,2009-06-10 17:10:50,2009-06-05,GETI,Opalewski Vincent J,"VP, GM General Chemical",P - Purchase,$23.01,300,31610,+1%,"+$6,903",,,,,GETI
22,,2009-06-10 17:09:10,2009-06-10,GETI,Redmond William E Jr,"Pres, CEO",P - Purchase,$22.40,350,138559,0%,"+$7,840",,,,,GETI
23,A,2009-06-10 17:07:03,2009-06-08,GETI,Redmond William E Jr,"Pres, CEO",P - Purchase,$22.96,490,138209,0%,"+$11,250",,,,,GETI
24,,2009-06-08 11:59:40,2009-05-08,GETI,Redmond William E Jr,"Pres, CEO",P - Purchase,$22.96,490,138209,0%,"+$11,250",,,,,GETI
25,,2009-06-02 09:28:11,2009-06-01,GETI,Redmond William E Jr,"Pres, CEO",P - Purchase,$23.33,220,137719,0%,"+$5,133",,,,,GETI
26,,2009-05-29 12:13:30,2009-05-29,GETI,Novo Robert,"VP, HR, EHS",P - Purchase,$23.00,500,51339,+1%,"+$11,498",,,,,GETI
27,,2009-05-27 10:01:30,2009-05-26,GETI,Imbriaco James,"VP, GC",F - Tax,$20.45,-319,22479,-1%,"-$6,524",,,,,GETI
28,,2009-05-27 09:59:58,2009-05-26,GETI,Grierson Douglas,"VP, Controller",F - Tax,$20.45,-216,10429,-2%,"-$4,417",,,,,GETI
29,,2009-05-27 09:58:48,2009-05-26,GETI,Novo Robert,"VP, HR, EHS",F - Tax,$20.45,-451,50839,-1%,"-$9,223",,,,,GETI
30,,2009-05-27 09:57:14,2009-05-26,GETI,Redmond William E Jr,"Pres, CEO",F - Tax,$20.45,-2277,137499,-2%,"-$46,565",,,,,GETI
31,,2009-05-27 09:56:04,2009-05-26,GETI,Opalewski Vincent J,"VP, GM General Chemical",F - Tax,$20.45,-319,31310,-1%,"-$6,524",,,,,GETI
32,,2009-05-27 09:55:03,2009-05-26,GETI,Testa Thomas,"VP, CFO",F - Tax,$20.45,-428,37380,-1%,"-$8,753",,,,,GETI
33,,2009-05-22 13:28:29,2009-05-22,GETI,Redmond William E Jr,"Pres, CEO",P - Purchase,$20.45,500,139776,0%,"+$10,225",,,,,GETI
34,A,2009-05-21 07:11:47,2009-05-19,GETI,Grierson Douglas,"VP, Controller",F - Tax,$20.21,-255,10645,-2%,"-$5,154",,,,,GETI
35,A,2009-05-21 07:10:54,2009-05-19,GETI,Redmond William E Jr,"Pres, CEO",F - Tax,$20.21,-1778,139276,-1%,"-$35,933",,,,,GETI
36,A,2009-05-21 07:09:29,2009-05-19,GETI,Imbriaco James,"VP, GC",F - Tax,$20.21,-393,22798,-2%,"-$7,943",,,,,GETI
37,,2009-05-20 09:57:03,2009-05-19,GETI,Testa Thomas,"VP, CFO",F - Tax,$20.21,-557,37808,-1%,"-$11,257",,,,,GETI
38,,2009-05-20 09:50:03,2009-05-19,GETI,Novo Robert,"VP, HR, EHS",F - Tax,$20.21,-553,51290,-1%,"-$11,176",,,,,GETI
39,,2009-05-20 09:40:24,2009-05-19,GETI,Redmond William E Jr,"Pres, CEO",F - Tax,$20.21,-1778,139276,-1%,"-$35,933",,,,,GETI
40,,2009-05-20 09:00:31,2009-05-19,GETI,Imbriaco James,"VP, GC",F - Tax,$20.21,-393,22798,-2%,"-$7,943",,,,,GETI
41,,2009-05-20 08:51:49,2009-05-19,GETI,Grierson Douglas,"VP, Controller",F - Tax,$20.21,-255,10645,-2%,"-$5,154",,,,,GETI
42,AD,2009-05-18 07:24:21,2009-05-13,GETI,Redmond William E Jr,"Pres, CEO",A - Grant,$0.00,22995,141054,+19%,+$0,,,,,GETI
43,D,2009-05-15 13:24:59,2009-05-13,GETI,Opalewski Vincent J,"VP, GM General Chemical",A - Grant,$0.00,8687,31629,+38%,+$0,,,,,GETI
44,D,2009-05-15 13:21:56,2009-05-13,GETI,Grierson Douglas,"VP, Controller",A - Grant,$0.00,3066,10900,+39%,+$0,,,,,GETI
