,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2022-01-31 17:29:48,2022-01-28,GPMT,Alpart Stephen,Chief Investment Officer,F - Tax,$11.94,-13518,124961,-10%,"-$161,405",,,,,GPMT
1,M,2022-01-31 17:29:22,2022-01-28,GPMT,Urbaszek Marcin,CFO,F - Tax,$11.94,-4506,58007,-7%,"-$53,802",,,,,GPMT
2,M,2022-01-31 17:28:58,2022-01-28,GPMT,Plust Steven,COO,F - Tax,$11.94,-11462,165978,-6%,"-$136,856",,,,,GPMT
3,M,2022-01-31 17:25:32,2022-01-28,GPMT,Morral Peter M.,Chief Development Officer,F - Tax,$11.94,-13779,53868,-20%,"-$164,521",,,,,GPMT
4,M,2022-01-31 17:21:27,2022-01-28,GPMT,Taylor John A,"Pres, CEO",F - Tax,$11.94,-23391,240118,-9%,"-$279,289",,,,,GPMT
5,M,2022-01-31 17:17:37,2022-01-28,GPMT,Karber Michael J.,"GC, Secretary",F - Tax,$11.94,-2383,19150,-11%,"-$28,453",,,,,GPMT
6,D,2022-01-03 21:13:40,2021-12-31,GPMT,Woodhouse Hope B,Dir,M - OptEx,$0.00,5005,37129,+16%,+$0,,,,,GPMT
7,D,2022-01-03 21:13:13,2021-12-31,GPMT,Dehne Tanuja M,Dir,F - Tax,$11.71,-1751,22252,-7%,"-$20,504",,,,,GPMT
8,D,2022-01-03 21:13:13,2021-12-31,GPMT,Dehne Tanuja M,Dir,M - OptEx,$0.00,5005,22252,+29%,+$0,,,,,GPMT
9,D,2022-01-03 21:12:55,2021-12-31,GPMT,Sanders William Reid,Dir,M - OptEx,$0.00,5005,92892,+6%,+$0,,,,,GPMT
10,D,2022-01-03 21:12:32,2021-12-31,GPMT,Kasnet Stephen G,Dir,F - Tax,$11.71,-5255,49216,-10%,"-$61,536",,,,,GPMT
11,D,2022-01-03 21:12:32,2021-12-31,GPMT,Kasnet Stephen G,Dir,M - OptEx,$0.00,15015,49216,+44%,+$0,,,,,GPMT
12,D,2022-01-03 21:12:12,2022-01-01,GPMT,Alpart Stephen,Chief Investment Officer,F - Tax,$11.71,-10844,138479,-7%,"-$126,983",,,,,GPMT
13,D,2022-01-03 21:12:12,2022-01-01,GPMT,Alpart Stephen,Chief Investment Officer,M - OptEx,$0.00,20020,138479,+17%,+$0,,,,,GPMT
14,D,2022-01-03 21:11:44,2022-01-01,GPMT,Morral Peter M.,Chief Development Officer,F - Tax,$11.71,-10844,67647,-14%,"-$126,983",,,,,GPMT
15,D,2022-01-03 21:11:44,2022-01-01,GPMT,Morral Peter M.,Chief Development Officer,M - OptEx,$0.00,20020,67647,+42%,+$0,,,,,GPMT
16,D,2022-01-03 21:11:21,2022-01-01,GPMT,Plust Steven,COO,F - Tax,$11.71,-9291,177440,-5%,"-$108,798",,,,,GPMT
17,D,2022-01-03 21:11:21,2022-01-01,GPMT,Plust Steven,COO,M - OptEx,$0.00,20020,177440,+13%,+$0,,,,,GPMT
18,D,2022-01-03 21:10:55,2022-01-01,GPMT,Taylor John A,"Pres, CEO",F - Tax,$11.71,-19873,263509,-7%,"-$232,713",,,,,GPMT
19,D,2022-01-03 21:10:55,2022-01-01,GPMT,Taylor John A,"Pres, CEO",M - OptEx,$0.00,37537,263509,+17%,+$0,,,,,GPMT
20,D,2022-01-03 21:10:37,2022-01-01,GPMT,Urbaszek Marcin,CFO,F - Tax,$11.71,-6633,62513,-10%,"-$77,672",,,,,GPMT
21,D,2022-01-03 21:10:37,2022-01-01,GPMT,Urbaszek Marcin,CFO,M - OptEx,$0.00,11177,62513,+22%,+$0,,,,,GPMT
22,D,2022-01-03 20:20:26,2022-01-01,GPMT,Karber Michael J.,"GC, Secretary",F - Tax,$11.71,-3569,21533,-14%,"-$41,793",,,,,GPMT
23,D,2022-01-03 20:20:26,2022-01-01,GPMT,Karber Michael J.,"GC, Secretary",M - OptEx,$0.00,7190,21533,+50%,+$0,,,,,GPMT
24,,2021-08-23 16:29:14,2021-08-13,GPMT,Taylor John A,"Pres, CEO",P - Purchase,$13.41,7400,245845,+3%,"+$99,238",,,,,GPMT
25,,2021-08-23 16:27:29,2021-08-20,GPMT,Sanders William Reid,Dir,P - Purchase,$13.20,8262,99887,+9%,"+$109,050",,,,,GPMT
26,,2021-08-23 16:25:29,2021-08-19,GPMT,Alpart Stephen,Chief Investment Officer,P - Purchase,$12.97,3900,129303,+3%,"+$50,583",,,,,GPMT
27,,2021-08-13 16:15:33,2021-08-12,GPMT,Sanders William Reid,Dir,P - Purchase,$12.99,2000,91625,+2%,"+$25,972",,,,,GPMT
28,,2021-08-12 17:01:20,2021-08-12,GPMT,Plust Steven,COO,P - Purchase,$12.94,8000,166711,+5%,"+$103,492",,,,,GPMT
29,,2021-08-12 16:56:07,2021-08-12,GPMT,Urbaszek Marcin,CFO,P - Purchase,$12.73,8000,58063,+16%,"+$101,840",,,,,GPMT
30,D,2021-06-03 16:05:59,2021-06-02,GPMT,Kasnet Stephen G,Dir,F - Tax,$14.80,-6623,39456,-14%,"-$98,020",,,,,GPMT
31,D,2021-06-03 16:04:20,2021-06-02,GPMT,Dehne Tanuja M,Dir,F - Tax,$14.80,-4531,18998,-19%,"-$67,059",,,,,GPMT
32,,2021-05-24 16:17:41,2021-05-24,GPMT,Taylor John A,"Pres, CEO",P - Purchase,$14.21,9000,238445,+4%,"+$127,890",,,,,GPMT
33,DM,2021-02-01 16:08:34,2021-01-28,GPMT,Karber Michael J.,"GC, Secretary",F - Tax,$9.40,-3797,17912,-17%,"-$35,676",,,,,GPMT
34,DM,2021-02-01 16:07:30,2021-01-28,GPMT,Urbaszek Marcin,CFO,F - Tax,$9.44,-6864,50063,-12%,"-$64,764",,,,,GPMT
35,DM,2021-02-01 16:06:24,2021-01-28,GPMT,Taylor John A,"Pres, CEO",F - Tax,$9.42,-35611,229445,-13%,"-$335,418",,,,,GPMT
36,DM,2021-02-01 16:05:23,2021-01-28,GPMT,Plust Steven,COO,F - Tax,$9.43,-15791,158711,-9%,"-$148,917",,,,,GPMT
37,DM,2021-02-01 16:04:22,2021-01-28,GPMT,Morral Peter M.,Chief Development Officer,F - Tax,$9.44,-16624,58471,-22%,"-$156,854",,,,,GPMT
38,DM,2021-02-01 16:03:16,2021-01-28,GPMT,Alpart Stephen,Chief Investment Officer,F - Tax,$9.43,-18738,125403,-13%,"-$176,704",,,,,GPMT
39,,2020-06-24 16:07:55,2020-06-23,GPMT,Taylor John A,"Pres, CEO",S - Sale,$7.17,-13806,265056,-5%,"-$99,040",,,,,GPMT
40,,2020-06-24 16:06:08,2020-06-23,GPMT,Sandberg Rebecca B,Secretary,S - Sale,$7.17,-1532,31798,-5%,"-$10,977",,,,,GPMT
41,,2020-06-24 16:03:47,2020-06-23,GPMT,Urbaszek Marcin,CFO,S - Sale,$7.17,-2219,56927,-4%,"-$15,917",,,,,GPMT
42,,2020-06-24 16:02:02,2020-06-23,GPMT,Alpart Stephen,Chief Investment Officer,S - Sale,$7.18,-2971,144141,-2%,"-$21,319",,,,,GPMT
43,,2020-06-04 16:25:29,2020-06-02,GPMT,Woodhouse Hope B,Dir,A - Grant,$0.00,12450,32124,+63%,+$0,,,,,GPMT
44,,2020-06-04 16:21:56,2020-06-02,GPMT,Sanders William Reid,Dir,A - Grant,$0.00,12450,89625,+16%,+$0,,,,,GPMT
45,,2020-06-04 16:18:52,2020-06-02,GPMT,Kasnet Stephen G,Dir,A - Grant,$0.00,18924,46079,+70%,+$0,,,,,GPMT
46,,2020-06-04 16:15:49,2020-06-02,GPMT,Kamarck Martin,Dir,A - Grant,$0.00,12948,22529,+135%,+$0,,,,,GPMT
47,,2020-06-04 16:11:42,2020-06-02,GPMT,Dehne Tanuja M,Dir,A - Grant,$0.00,12948,23529,+122%,+$0,,,,,GPMT
48,,2020-01-31 16:09:57,2020-01-29,GPMT,Urbaszek Marcin,CFO,A - Grant,$0.00,13535,59146,+30%,+$0,,,,,GPMT
49,M,2020-01-31 16:09:57,2020-01-29,GPMT,Urbaszek Marcin,CFO,S - Sale,$18.40,-4337,59146,-7%,"-$79,788",,,,,GPMT
50,,2020-01-31 16:08:28,2020-01-29,GPMT,Taylor John A,"Pres, CEO",A - Grant,$0.00,64970,278862,+30%,+$0,,,,,GPMT
51,M,2020-01-31 16:08:28,2020-01-29,GPMT,Taylor John A,"Pres, CEO",S - Sale,$18.38,-22824,278862,-8%,"-$419,483",,,,,GPMT
52,,2020-01-31 16:06:59,2020-01-29,GPMT,Plust Steven,COO,A - Grant,$0.00,40606,174502,+30%,+$0,,,,,GPMT
53,,2020-01-31 16:05:40,2020-01-29,GPMT,Sandberg Rebecca B,Secretary,A - Grant,$0.00,3789,33330,+13%,+$0,,,,,GPMT
54,M,2020-01-31 16:05:40,2020-01-29,GPMT,Sandberg Rebecca B,Secretary,S - Sale,$18.43,-966,33330,-3%,"-$17,800",,,,,GPMT
55,,2020-01-31 16:04:07,2020-01-29,GPMT,Karber Michael J.,GC,A - Grant,$0.00,10286,21709,+90%,+$0,,,,,GPMT
56,M,2020-01-31 16:04:07,2020-01-29,GPMT,Karber Michael J.,GC,S - Sale,$18.42,-2056,21709,-9%,"-$37,866",,,,,GPMT
57,,2020-01-31 16:02:29,2020-01-29,GPMT,Alpart Stephen,Chief Investment Officer,A - Grant,$0.00,40606,147112,+38%,+$0,,,,,GPMT
58,M,2020-01-31 16:02:29,2020-01-29,GPMT,Alpart Stephen,Chief Investment Officer,S - Sale,$18.41,-11705,147112,-7%,"-$215,497",,,,,GPMT
59,,2019-08-15 16:01:29,2019-08-13,GPMT,Plust Steven,COO,P - Purchase,$18.56,10600,133896,+9%,"+$196,723",,,,,GPMT
60,,2019-06-26 17:34:49,2019-06-24,GPMT,Taylor John A,"Pres, CEO",S - Sale,$18.91,-14555,236716,-6%,"-$275,274",,,,,GPMT
61,,2019-06-26 17:32:31,2019-06-24,GPMT,Sandberg Rebecca B,"GC, Secretary",S - Sale,$18.92,-1610,30507,-5%,"-$30,462",,,,,GPMT
62,,2019-06-26 17:30:21,2019-06-24,GPMT,Alpart Stephen,Chief Investment Officer,S - Sale,$18.92,-3128,118211,-3%,"-$59,186",,,,,GPMT
63,,2019-06-26 17:28:08,2019-06-24,GPMT,Urbaszek Marcin,CFO,S - Sale,$18.92,-2337,49948,-4%,"-$44,210",,,,,GPMT
64,,2019-05-15 16:57:28,2019-05-14,GPMT,Woodhouse Hope B,Dir,A - Grant,$19.24,3248,19674,+20%,"+$62,492",,,,,GPMT
65,,2019-05-15 16:55:45,2019-05-14,GPMT,Kamarck Martin,Dir,A - Grant,$19.24,3378,9581,+54%,"+$64,993",,,,,GPMT
66,,2019-05-15 16:54:23,2019-05-14,GPMT,Dehne Tanuja M,Dir,A - Grant,$19.24,3378,10581,+47%,"+$64,993",,,,,GPMT
67,,2019-05-15 16:52:53,2019-05-14,GPMT,Sanders William Reid,Dir,A - Grant,$19.24,3248,67175,+5%,"+$62,492",,,,,GPMT
68,,2019-05-15 16:50:53,2019-05-14,GPMT,Kasnet Stephen G,Dir,A - Grant,$19.24,4937,27155,+22%,"+$94,988",,,,,GPMT
69,,2019-02-01 18:38:14,2019-01-30,GPMT,Sandberg Rebecca B,"GC, Secretary",S - Sale,$19.48,-424,32117,-1%,"-$8,257",,,,,GPMT
70,,2019-02-01 18:34:24,2019-01-30,GPMT,Urbaszek Marcin,CFO,S - Sale,$19.55,-1966,52285,-4%,"-$38,440",,,,,GPMT
71,,2019-02-01 18:31:23,2019-01-30,GPMT,Plust Steven,COO,S - Sale,$19.55,-4523,123296,-4%,"-$88,445",,,,,GPMT
72,,2019-02-01 18:28:30,2019-01-30,GPMT,Alpart Stephen,Chief Investment Officer,S - Sale,$19.56,-5520,121339,-4%,"-$107,944",,,,,GPMT
73,,2019-02-01 18:25:07,2019-01-30,GPMT,Taylor John A,"Pres, CEO",S - Sale,$19.50,-10734,251271,-4%,"-$209,304",,,,,GPMT
74,A,2019-02-01 18:13:41,2019-01-28,GPMT,Sandberg Rebecca B,"GC, Secretary",A - Grant,$19.31,3625,32541,+13%,"+$69,999",,,,,GPMT
75,A,2019-02-01 18:10:50,2019-01-28,GPMT,Urbaszek Marcin,CFO,A - Grant,$19.31,12946,54157,+31%,"+$249,987",,,,,GPMT
76,,2019-01-29 20:41:45,2019-01-28,GPMT,Urbaszek Marcin,CFO,A - Grant,$19.31,12946,45581,+40%,"+$249,987",,,,,GPMT
