,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,DM,2009-06-30 17:15:04,2009-06-26,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.86,-11600,913537,-1%,"-$21,629",2,-4,-33,-21,GSL
1,D,2009-06-17 18:15:45,2009-06-15,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$2.05,-3000,925137,0%,"-$6,150",-1,-1,-35,-32,GSL
2,D,2009-06-10 17:39:48,2009-06-08,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$2.20,-4700,928137,-1%,"-$10,340",-1,-8,-27,-40,GSL
3,DM,2009-06-08 17:39:34,2009-06-04,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$2.21,-31253,1886877,-2%,"-$68,936",-1,-3,-20,-37,GSL
4,DM,2009-06-03 17:51:18,2009-06-01,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$2.01,-149300,1930880,-7%,"-$300,089",6,4,-11,-28,GSL
5,D,2009-06-01 17:25:37,2009-05-28,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.94,-21719,1113390,-2%,"-$42,136",3,9,-8,-32,GSL
6,D,2009-05-28 17:49:29,2009-05-26,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.96,-47296,1135109,-4%,"-$92,688",1,6,-2,-23,GSL
7,D,2009-05-26 16:48:36,2009-05-22,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.83,-5040,1182405,0%,"-$9,245",0,3,-4,-27,GSL
8,DM,2009-05-21 17:25:54,2009-05-19,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.87,-261923,1187445,-18%,"-$489,681",4,5,4,-41,GSL
9,D,2009-05-15 16:59:50,2009-05-13,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.95,-14000,1449368,-1%,"-$27,329",5,6,12,-35,GSL
10,DM,2009-05-11 18:31:20,2009-05-07,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.85,-57965,1463368,-4%,"-$107,246",-2,-7,15,-42,GSL
11,DM,2009-05-07 21:49:19,2009-05-05,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.91,-82969,1521333,-5%,"-$158,067",-3,-3,15,-42,GSL
12,ADM,2009-05-07 21:48:04,2009-05-01,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.77,-336716,1604302,-17%,"-$595,361",-3,-3,15,-42,GSL
13,DM,2009-05-05 18:31:25,2009-05-01,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$1.77,-316716,1624302,-16%,"-$559,761",4,1,11,-39,GSL
14,DM,2009-02-17 18:18:18,2008-10-31,GSL,Integrated Core Strategies (Us) LLC,10%,S - Sale+OE,$3.00,-68700,0,-100%,"-$206,036",-6,-25,-13,-35,GSL
15,D,2009-02-17 18:18:18,2008-10-24,GSL,Integrated Core Strategies (Us) LLC,10%,P - Purchase,$3.58,10,0,-100%,+$36,-6,-25,-13,-35,GSL
16,DM,2008-10-31 19:49:10,2008-10-29,GSL,Millenco LLC,10%,S - Sale+OE,$3.09,-118166,2009718,-6%,"-$365,691",-2,7,-7,-30,GSL
17,DM,2008-10-24 18:53:04,2008-10-22,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$4.00,-17784,2127874,-1%,"-$71,136",-4,-10,-18,-18,GSL
18,D,2008-10-16 18:49:45,2008-10-14,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$4.11,-99900,2145658,-4%,"-$410,295",-2,4,-18,-32,GSL
19,DM,2008-10-14 19:11:09,2008-10-10,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$3.87,-39836,2245558,-2%,"-$154,023",-7,-10,-28,-41,GSL
20,D,2008-10-10 18:53:53,2008-10-08,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$3.81,-44000,2285394,-2%,"-$167,645",10,3,-9,-27,GSL
21,D,2008-10-08 18:06:13,2008-10-06,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$5.00,-20300,2329394,-1%,"-$101,500",6,7,-11,-32,GSL
22,D,2008-10-06 19:17:25,2008-10-02,GSL,"Millenco, L.L.C.",10%,S - Sale+OE,$6.15,-4156,2349694,0%,"-$25,559",-7,-20,-31,-42,GSL
