,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-02-28 18:06:38,2022-02-25,HLI,Zuber Paul Andrew,Dir,S - Sale,$103.40,-2000,2829,-41%,"-$206,800",,,,,HLI
1,,2022-02-16 17:17:54,2022-02-14,HLI,Zuber Paul Andrew,Dir,S - Sale,$109.91,-1000,4829,-17%,"-$109,910",,,,,HLI
2,,2021-12-20 16:12:50,2021-12-16,HLI,Schriesheim Robert A,Dir,P - Purchase,$102.59,116,27945,0%,"+$11,900",,,,,HLI
3,D,2021-11-04 16:48:04,2021-11-02,HLI,Alley J Lindsey,CFO,C - Converted deriv,$0.00,10000,0,-100%,$0,,,,,HLI
4,D,2021-11-04 16:48:04,2021-11-02,HLI,Alley J Lindsey,CFO,S - Sale+OE,$116.93,-10000,0,-100%,"-$1,169,300",,,,,HLI
5,,2021-09-20 17:27:17,2021-09-16,HLI,Schriesheim Robert A,Dir,P - Purchase,$90.64,131,27829,0%,"+$11,874",,,,,HLI
6,D,2021-06-29 16:25:41,2021-06-25,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,9000,0,-100%,$0,,,,,HLI
7,D,2021-06-29 16:25:41,2021-06-25,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$80.45,-9000,0,-100%,"-$724,050",,,,,HLI
8,D,2021-06-17 17:04:06,2021-06-16,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,1000,0,-100%,$0,,,,,HLI
9,D,2021-06-17 17:04:06,2021-06-16,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$80.08,-1000,0,-100%,"-$80,080",,,,,HLI
10,,2021-06-17 17:00:59,2021-06-16,HLI,Schriesheim Robert A,Dir,P - Purchase,$79.35,141,27698,+1%,"+$11,188",,,,,HLI
11,D,2021-06-16 17:03:26,2021-06-15,HLI,Preiser David A,CO-Pres,C - Converted deriv,$0.00,25000,0,-100%,$0,,,,,HLI
12,D,2021-06-16 17:03:26,2021-06-15,HLI,Preiser David A,CO-Pres,S - Sale+OE,$79.39,-25000,0,-100%,"-$1,984,750",,,,,HLI
13,D,2021-06-16 17:01:54,2021-06-15,HLI,Beiser Scott L,"CEO, 10%",C - Converted deriv,$0.00,15000,0,-100%,$0,,,,,HLI
14,D,2021-06-16 17:01:54,2021-06-15,HLI,Beiser Scott L,"CEO, 10%",S - Sale+OE,$79.50,-15000,0,-100%,"-$1,192,500",,,,,HLI
15,M,2021-06-09 20:26:34,2016-06-16,HLI,Schriesheim Robert A,Dir,P - Purchase,$47.63,1898,25952,+8%,"+$90,410",,,,,HLI
16,D,2021-06-02 16:44:29,2021-06-01,HLI,Adelson Scott Joseph,CO-Pres,C - Converted deriv,$0.00,12383,0,-100%,$0,,,,,HLI
17,D,2021-06-02 16:44:29,2021-06-01,HLI,Adelson Scott Joseph,CO-Pres,S - Sale+OE,$75.00,-12383,0,-100%,"-$928,725",,,,,HLI
18,D,2021-06-02 16:42:51,2021-06-01,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,10000,0,-100%,$0,,,,,HLI
19,D,2021-06-02 16:42:51,2021-06-01,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$75.24,-10000,0,-100%,"-$752,400",,,,,HLI
20,,2021-05-28 16:53:22,2021-05-26,HLI,Walker Cyrus D.,Dir,A - Grant,$0.00,661,2248,+42%,+$0,,,,,HLI
21,,2021-05-28 16:52:34,2021-05-26,HLI,Bassey Ekpedeme M,Dir,A - Grant,$0.00,661,2248,+42%,+$0,,,,,HLI
22,,2021-05-28 16:51:50,2021-05-26,HLI,Zucker Gillian Beth,Dir,A - Grant,$0.00,1195,4066,+42%,+$0,,,,,HLI
23,,2021-05-28 16:50:55,2021-05-26,HLI,Zuber Paul Andrew,Dir,A - Grant,$0.00,1195,5829,+26%,+$0,,,,,HLI
24,,2021-05-28 16:49:23,2021-05-26,HLI,Kosecoff Jacqueline B,Dir,A - Grant,$0.00,1195,11937,+11%,+$0,,,,,HLI
25,,2021-05-28 16:48:37,2021-05-26,HLI,Schriesheim Robert A,Dir,A - Grant,$0.00,1605,25659,+7%,+$0,,,,,HLI
26,D,2021-05-25 16:57:12,2021-05-21,HLI,Adelson Scott Joseph,CO-Pres,C - Converted deriv,$0.00,540,0,-100%,$0,,,,,HLI
27,D,2021-05-25 16:57:12,2021-05-21,HLI,Adelson Scott Joseph,CO-Pres,S - Sale+OE,$75.00,-540,0,-100%,"-$40,500",,,,,HLI
28,D,2021-05-21 16:40:01,2021-05-19,HLI,Crain Christopher M,GC,C - Converted deriv,$0.00,110,0,-100%,$0,,,,,HLI
29,D,2021-05-21 16:40:01,2021-05-19,HLI,Crain Christopher M,GC,G - Gift,$0.00,-110,0,-100%,-$0,,,,,HLI
30,D,2021-03-09 16:24:44,2021-03-08,HLI,Beiser Scott L,"CEO, 10%",C - Converted deriv,$0.00,10000,0,-100%,$0,,,,,HLI
31,D,2021-03-09 16:24:44,2021-03-08,HLI,Beiser Scott L,"CEO, 10%",G - Gift,$0.00,-10000,0,-100%,-$0,,,,,HLI
32,D,2020-12-14 16:26:11,2020-12-11,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,10000,0,-100%,$0,,,,,HLI
33,D,2020-12-14 16:26:11,2020-12-11,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$70.24,-10000,0,-100%,"-$702,400",,,,,HLI
34,D,2020-12-03 16:16:27,2020-12-02,HLI,Crain Christopher M,GC,C - Converted deriv,$0.00,100,0,-100%,$0,,,,,HLI
35,D,2020-12-03 16:16:27,2020-12-02,HLI,Crain Christopher M,GC,G - Gift,$0.00,-100,0,-100%,-$0,,,,,HLI
36,D,2020-11-16 17:24:47,2020-11-13,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,2435,0,-100%,$0,,,,,HLI
37,D,2020-11-16 17:24:47,2020-11-13,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$65.20,-2435,0,-100%,"-$158,762",,,,,HLI
38,DM,2020-11-12 08:05:17,2020-11-09,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,2286,0,-100%,$0,,,,,HLI
39,DM,2020-11-12 08:05:17,2020-11-09,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$65.06,-2286,0,-100%,"-$148,718",,,,,HLI
40,,2020-11-09 17:28:43,2020-11-05,HLI,Walker Cyrus D.,Dir,A - Grant,$0.00,1587,1587,New,+$0,,,,,HLI
41,,2020-11-09 17:21:47,2020-11-05,HLI,Bassey Ekpedeme M,Dir,A - Grant,$0.00,1587,1587,New,+$0,,,,,HLI
42,DM,2020-11-09 16:28:20,2020-11-05,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,300,0,-100%,$0,,,,,HLI
43,DM,2020-11-09 16:28:20,2020-11-05,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$65.02,-300,0,-100%,"-$19,505",,,,,HLI
44,D,2020-11-02 17:23:39,2020-10-30,HLI,Preiser David A,CO-Pres,C - Converted deriv,$0.00,1600,0,-100%,$0,,,,,HLI
45,D,2020-11-02 17:23:39,2020-10-30,HLI,Preiser David A,CO-Pres,G - Gift,$0.00,-1600,0,-100%,-$0,,,,,HLI
46,D,2020-10-28 16:53:55,2020-10-27,HLI,Gold Irwin,"Exec COB, 10%",C - Converted deriv,$0.00,4979,0,-100%,$0,,,,,HLI
47,D,2020-10-28 16:53:55,2020-10-27,HLI,Gold Irwin,"Exec COB, 10%",S - Sale+OE,$65.09,-4979,0,-100%,"-$324,083",,,,,HLI
48,D,2020-08-06 19:17:04,2020-08-05,HLI,Alley J Lindsey,CFO,C - Converted deriv,$0.00,4000,0,-100%,$0,,,,,HLI
