,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-09-24 16:40:28,2021-09-23,HR,Bryant John M Jr,"EVP, GC",S - Sale,$31.01,-2896,186682,-2%,"-$89,805",,,,,HR
1,,2021-03-17 11:21:46,2021-03-16,HR,Hull Robert E,EVP - Investments,S - Sale,$31.00,-11447,155335,-7%,"-$354,857",,,,,HR
2,,2021-03-12 17:32:25,2021-03-12,HR,Bryant John M Jr,"EVP, GC",S - Sale,$30.00,-11476,189578,-6%,"-$344,280",,,,,HR
3,,2021-03-08 12:08:05,2021-03-05,HR,Braman Edward Hall,Dir,P - Purchase,$28.89,2000,17776,+13%,"+$57,780",,,,,HR
4,,2020-12-16 14:33:34,2020-12-16,HR,Callaway Amanda L,"SVP, Chief Accounting Officer",S - Sale,$30.02,-317,65598,0%,"-$9,516",,,,,HR
5,M,2020-08-21 15:53:44,2020-08-19,HR,Braman Edward Hall,Dir,P - Purchase,$27.85,2000,15776,+15%,"+$55,697",,,,,HR
6,,2020-08-11 11:11:56,2020-08-10,HR,Braman Edward Hall,Dir,P - Purchase,$29.01,3500,13776,+34%,"+$101,518",,,,,HR
7,,2020-03-10 16:42:13,2020-03-10,HR,Hull Robert E,EVP - Investments,S - Sale,$36.25,-1616,135390,-1%,"-$58,584",,,,,HR
8,,2019-12-19 09:59:55,2019-12-18,HR,Meredith Todd J,"Pres, CEO",S - Sale,$32.58,-9707,471565,-2%,"-$316,254",,,,,HR
9,M,2019-12-16 17:20:30,2019-12-13,HR,Meredith Todd J,"Pres, CEO",S - Sale,$32.38,-14000,481272,-3%,"-$453,250",,,,,HR
10,,2019-12-11 16:59:16,2019-12-09,HR,Hull Robert E,EVP - Investments,S - Sale,$33.57,-1606,107659,-1%,"-$53,913",,,,,HR
11,,2019-12-10 16:47:18,2019-12-10,HR,Sullivan Bruce D,Dir,S - Sale,$33.49,-2000,30559,-6%,"-$66,980",,,,,HR
12,,2019-05-23 16:45:28,2019-05-23,HR,Bryant John M Jr,"EVP, GC",S - Sale,$32.08,-13079,152985,-8%,"-$419,574",,,,,HR
13,,2018-12-21 14:59:56,2018-12-21,HR,Hull Robert E,EVP - Investments,S - Sale,$29.67,-4600,102631,-4%,"-$136,504",,,,,HR
14,,2018-12-13 18:16:13,2018-12-12,HR,Singleton John Knox,Dir,S - Sale,$30.18,-13593,30756,-31%,"-$410,239",,,,,HR
15,,2018-12-04 16:36:53,2018-12-04,HR,Sullivan Bruce D,Dir,S - Sale,$31.13,-3000,28833,-9%,"-$93,390",,,,,HR
16,,2018-11-29 11:16:01,2018-11-28,HR,Lyle Peter F Sr,Dir,S - Sale,$30.44,-3298,5787,-36%,"-$100,391",,,,,HR
17,,2018-11-28 15:35:46,2018-11-28,HR,Hull Robert E,EVP - Investments,S - Sale,$30.26,-4618,87131,-5%,"-$139,761",,,,,HR
18,,2018-11-26 14:47:43,2018-11-21,HR,Singleton John Knox,Dir,S - Sale,$29.91,-12048,44349,-21%,"-$360,363",,,,,HR
19,,2018-08-09 15:38:52,2018-08-09,HR,Bryant John M Jr,"EVP, GC",S - Sale,$30.56,-2561,146795,-2%,"-$78,274",,,,,HR
20,,2018-06-20 16:47:16,2018-06-18,HR,Singleton John Knox,Dir,S - Sale,$27.25,-18341,54549,-25%,"-$499,792",,,,,HR
